Date,POLYMED
2011-12-07,30.583959579467773
2011-12-08,33.02102279663086
2011-12-09,29.974695205688477
2011-12-12,29.032062530517578
2011-12-13,27.1180477142334
2011-12-14,27.238752365112305
2011-12-15,25.813304901123047
2011-12-16,24.99136734008789
2011-12-19,23.422224044799805
2011-12-20,23.634889602661133
2011-12-21,22.991140365600586
2011-12-22,23.910783767700195
2011-12-23,24.318876266479492
2011-12-26,25.623626708984375
2011-12-27,24.830432891845703
2011-12-28,22.830202102661133
2011-12-29,23.27852439880371
2011-12-30,25.03160285949707
2012-01-02,24.255651473999023
2012-01-03,26.324857711791992
2012-01-04,25.060338973999023
2012-01-05,25.060338973999023
2012-01-06,24.24990463256836
2012-01-09,24.933889389038086
2012-01-10,26.29611587524414
2012-01-11,27.58936882019043
2012-01-12,27.24449920654297
2012-01-13,27.06631851196289
2012-01-16,27.836517333984375
2012-01-17,27.439922332763672
2012-01-18,27.58936882019043
2012-01-19,25.88227653503418
2012-01-20,27.58936882019043
2012-01-23,28.8538818359375
2012-01-24,28.61821746826172
2012-01-25,29.710296630859375
2012-01-27,31.038036346435547
2012-01-30,29.463144302368164
2012-01-31,28.11241340637207
2012-02-01,29.84824562072754
2012-02-02,31.038036346435547
2012-02-03,29.526371002197266
2012-02-06,29.526371002197266
2012-02-07,30.9920597076416
2012-02-08,30.58971405029297
2012-02-09,31.946182250976562
2012-02-10,32.30829620361328
2012-02-13,31.612810134887695
2012-02-14,32.30255126953125
2012-02-15,32.768123626708984
2012-02-16,33.25093078613281
2012-02-17,31.848472595214844
2012-02-21,30.9288272857666
2012-02-22,31.03228759765625
2012-02-23,30.49774169921875
2012-02-24,30.233346939086914
2012-02-27,30.060916900634766
2012-02-28,29.88848114013672
2012-02-29,29.88848114013672
2012-03-01,29.77352523803711
2012-03-02,30.03217124938965
2012-03-05,30.233346939086914
2012-03-06,29.09528923034668
2012-03-07,28.73892593383789
2012-03-09,28.73892593383789
2012-03-12,28.73892593383789
2012-03-13,29.83100128173828
2012-03-14,28.761913299560547
2012-03-15,29.348188400268555
2012-03-16,29.88273048400879
2012-03-19,29.313701629638672
2012-03-20,28.238866806030273
2012-03-21,27.58936882019043
2012-03-22,28.82514190673828
2012-03-23,29.210241317749023
2012-03-26,28.01470375061035
2012-03-27,27.58936882019043
2012-03-28,27.07206153869629
2012-03-29,27.008838653564453
2012-03-30,29.526371002197266
2012-04-02,27.635345458984375
2012-04-03,27.738807678222656
2012-04-04,27.554880142211914
2012-04-09,28.037694931030273
2012-04-10,28.50901222229004
2012-04-11,27.664087295532227
2012-04-12,27.04332733154297
2012-04-13,26.83066177368164
2012-04-16,27.169776916503906
2012-04-17,27.583621978759766
2012-04-18,28.072181701660156
2012-04-19,29.681560516357422
2012-04-20,29.88848114013672
2012-04-23,30.8598575592041
2012-04-24,29.917219161987305
2012-04-25,29.491880416870117
2012-04-26,28.394058227539062
2012-04-27,29.147016525268555
2012-04-30,30.1988582611084
2012-05-02,31.038036346435547
2012-05-03,29.55510711669922
2012-05-04,28.750423431396484
2012-05-07,28.73892593383789
2012-05-08,28.06068229675293
2012-05-09,27.888254165649414
2012-05-10,28.02619743347168
2012-05-11,28.894115447998047
2012-05-14,28.031944274902344
2012-05-15,28.64695930480957
2012-05-16,28.721681594848633
2012-05-17,28.595232009887695
2012-05-18,28.612470626831055
2012-05-21,28.2561092376709
2012-05-22,28.73892593383789
2012-05-23,28.50901222229004
2012-05-24,28.72742462158203
2012-05-25,28.73317527770996
2012-05-28,28.73892593383789
2012-05-29,28.60097885131836
2012-05-30,28.888368606567383
2012-05-31,28.8538818359375
2012-06-01,28.767662048339844
2012-06-04,28.2503604888916
2012-06-05,29.078046798706055
2012-06-06,30.388534545898438
2012-06-07,29.70454978942871
2012-06-08,29.716045379638672
2012-06-11,30.060916900634766
2012-06-12,32.29680633544922
2012-06-13,32.58418273925781
2012-06-14,31.158735275268555
2012-06-15,30.147132873535156
2012-06-18,30.71616554260254
2012-06-19,32.19334030151367
2012-06-20,32.187591552734375
2012-06-21,32.17609786987305
2012-06-22,32.22208023071289
2012-06-25,32.325538635253906
2012-06-26,31.90020751953125
2012-06-27,31.74500846862793
2012-06-28,31.29668617248535
2012-06-29,34.22230529785156
2012-07-02,33.88893127441406
2012-07-03,33.337158203125
2012-07-04,32.44623947143555
2012-07-05,33.59579849243164
2012-07-06,33.348655700683594
2012-07-09,33.27967071533203
2012-07-10,33.79122543334961
2012-07-11,33.98090744018555
2012-07-12,34.30278015136719
2012-07-13,34.36600112915039
2012-07-16,34.86029815673828
2012-07-17,33.854454040527344
2012-07-18,33.17046356201172
2012-07-19,32.87732696533203
2012-07-20,32.8140983581543
2012-07-23,32.27381134033203
2012-07-24,33.66477966308594
2012-07-25,33.854454040527344
2012-07-26,32.64167022705078
2012-07-27,32.4749870300293
2012-07-30,32.90032196044922
2012-07-31,32.42900466918945
2012-08-01,30.96331787109375
2012-08-02,30.1988582611084
2012-08-03,29.68730354309082
2012-08-06,30.836864471435547
2012-08-07,32.187591552734375
2012-08-08,32.82558822631836
2012-08-09,31.91170310974121
2012-08-10,33.3428955078125
2012-08-13,33.089988708496094
2012-08-14,32.64741134643555
2012-08-16,33.70500946044922
2012-08-17,34.02114486694336
2012-08-21,34.64189910888672
2012-08-22,34.60165786743164
2012-08-23,34.4752197265625
2012-08-24,34.14183044433594
2012-08-27,33.8716926574707
2012-08-28,33.957916259765625
2012-08-29,35.394859313964844
2012-08-30,35.739723205566406
2012-08-31,35.06148910522461
2012-09-03,35.62477493286133
2012-09-04,35.84893798828125
2012-09-05,35.25115966796875
2012-09-06,35.26840591430664
2012-09-07,35.06148910522461
2012-09-10,35.92940139770508
2012-09-11,36.090335845947266
2012-09-12,36.096092224121094
2012-09-13,36.043853759765625
2012-09-14,35.463531494140625
2012-09-17,36.56034851074219
2012-09-18,35.451927185058594
2012-09-20,38.26649856567383
2012-09-21,36.56614303588867
2012-09-24,37.14066696166992
2012-09-25,36.59516143798828
2012-09-26,38.411582946777344
2012-09-27,38.347740173339844
2012-09-28,38.31291961669922
2012-10-01,37.77902603149414
2012-10-03,37.69778060913086
2012-10-04,38.121421813964844
2012-10-05,37.84285354614258
2012-10-08,37.13486862182617
2012-10-09,36.084476470947266
2012-10-10,35.86395263671875
2012-10-11,36.39205551147461
2012-10-12,37.31476974487305
2012-10-15,37.59332275390625
2012-10-16,38.14462661743164
2012-10-17,36.78086853027344
2012-10-18,37.58751678466797
2012-10-19,38.30131530761719
2012-10-22,37.24512481689453
2012-10-23,38.74816131591797
2012-10-25,38.14462661743164
2012-10-29,38.06338882446289
2012-10-30,38.06338882446289
2012-10-31,36.53133010864258
2012-11-01,37.13486862182617
2012-11-02,36.67641067504883
2012-11-05,37.6107292175293
2012-11-06,37.86606979370117
2012-11-07,39.015113830566406
2012-11-08,39.46196365356445
2012-11-09,38.79458999633789
2012-11-12,39.31108474731445
2012-11-15,39.45616149902344
2012-11-16,39.1253662109375
2012-11-19,42.11983871459961
2012-11-20,46.75661849975586
2012-11-21,48.2480583190918
2012-11-22,47.82441329956055
2012-11-23,46.135677337646484
2012-11-26,45.16653060913086
2012-11-27,44.46434783935547
2012-11-29,46.512882232666016
2012-11-30,48.54402160644531
2012-12-03,48.776153564453125
2012-12-04,48.16680145263672
2012-12-05,49.04889678955078
2012-12-06,49.38547897338867
2012-12-07,49.79751205444336
2012-12-10,48.422157287597656
2012-12-11,49.1707649230957
2012-12-12,47.96369934082031
2012-12-13,48.05654525756836
2012-12-14,47.122222900390625
2012-12-17,47.60388946533203
2012-12-18,48.219032287597656
2012-12-19,49.40869903564453
2012-12-20,48.36991882324219
2012-12-21,48.74712371826172
2012-12-24,49.42609786987305
2012-12-26,48.172603607177734
2012-12-27,48.433753967285156
2012-12-28,48.74712371826172
2012-12-31,48.602046966552734
2013-01-01,48.7529296875
2013-01-02,49.727874755859375
2013-01-03,49.29262924194336
