Date,ULTRACEMCO
2002-08-12,275.1207275390625
2002-08-13,276.7228088378906
2002-08-14,276.9898681640625
2002-08-15,276.9898681640625
2002-08-16,276.8563537597656
2002-08-19,277.0343933105469
2002-08-20,277.2568359375
2002-08-21,281.5292053222656
2002-08-22,279.9715576171875
2002-08-23,280.01605224609375
2002-08-26,281.2621765136719
2002-08-27,280.99517822265625
2002-08-28,280.28314208984375
2002-08-29,283.7543640136719
2002-08-30,280.1496276855469
2002-09-02,278.8589782714844
2002-09-03,276.8563537597656
2002-09-04,279.9270935058594
2002-09-05,286.0685729980469
2002-09-06,283.2203063964844
2002-09-09,279.74908447265625
2002-09-10,279.74908447265625
2002-09-11,279.4375305175781
2002-09-12,285.9350280761719
2002-09-13,281.7962646484375
2002-09-16,282.0633239746094
2002-09-17,280.23858642578125
2002-09-18,279.03704833984375
2002-09-19,275.56561279296875
2002-09-20,276.8118591308594
2002-09-23,275.65472412109375
2002-09-24,277.70196533203125
2002-09-25,277.5238952636719
2002-09-26,276.7228088378906
2002-09-27,275.8327941894531
2002-09-30,275.43218994140625
2002-10-01,275.1207275390625
2002-10-02,275.1207275390625
2002-10-03,276.7673034667969
2002-10-04,275.7882995605469
2002-10-07,275.5212707519531
2002-10-08,275.8327941894531
2002-10-09,275.3876953125
2002-10-10,275.7882995605469
2002-10-11,274.2751770019531
2002-10-14,273.6521911621094
2002-10-15,273.6521911621094
2002-10-16,274.49761962890625
2002-10-17,271.42694091796875
2002-10-18,273.3851013183594
2002-10-21,272.9844970703125
2002-10-22,271.07086181640625
2002-10-23,267.777587890625
2002-10-24,264.75140380859375
2002-10-25,273.87457275390625
2002-10-28,277.9244384765625
2002-10-29,267.33258056640625
2002-10-30,266.93206787109375
2002-10-31,269.24615478515625
2002-11-01,272.00543212890625
2002-11-04,277.9244384765625
2002-11-05,275.6993408203125
2002-11-06,275.6993408203125
2002-11-07,276.7228088378906
2002-11-08,275.6993408203125
2002-11-11,275.7437438964844
2002-11-12,278.9034423828125
2002-11-13,277.7909240722656
2002-11-14,279.9270935058594
2002-11-15,277.9688720703125
2002-11-18,280.01605224609375
2002-11-19,280.01605224609375
2002-11-20,274.5421447753906
2002-11-21,268.93475341796875
2002-11-22,269.646728515625
2002-11-25,266.4425354003906
2002-11-26,264.0837707519531
2002-11-27,265.0184020996094
2002-11-28,259.9004821777344
2002-11-29,259.9004821777344
2002-12-02,259.2328796386719
2002-12-03,263.060302734375
2002-12-04,262.3482360839844
2002-12-05,263.81683349609375
2002-12-06,267.6441345214844
2002-12-09,262.79327392578125
2002-12-10,264.30633544921875
2002-12-11,265.4634094238281
2002-12-12,265.240966796875
2002-12-13,263.8612976074219
2002-12-16,260.3010559082031
2002-12-17,251.4448699951172
2002-12-18,254.07054138183594
2002-12-19,256.4291687011719
2002-12-20,253.04698181152344
2002-12-23,254.47109985351562
2002-12-24,255.62814331054688
2002-12-25,255.62814331054688
2002-12-26,261.5471496582031
2002-12-27,275.65472412109375
2002-12-30,274.9872131347656
2002-12-31,280.28314208984375
2003-01-01,278.0578918457031
2003-01-02,278.14697265625
2003-01-03,274.9427490234375
2003-01-06,274.9427490234375
2003-01-07,275.8327941894531
2003-01-08,280.3721618652344
2003-01-09,280.01605224609375
2003-01-10,278.36944580078125
2003-01-13,274.3642272949219
2003-01-14,279.74908447265625
2003-01-15,279.9270935058594
2003-01-16,279.57110595703125
2003-01-17,279.1260070800781
2003-01-20,278.324951171875
2003-01-21,287.84869384765625
2003-01-22,295.90386962890625
2003-01-23,295.414306640625
2003-01-24,290.3409729003906
2003-01-27,289.7623596191406
2003-01-28,289.53985595703125
2003-01-29,289.3618469238281
2003-01-30,289.49542236328125
2003-01-31,289.5843505859375
2003-02-03,294.0346984863281
2003-02-04,298.7076110839844
2003-02-05,297.7284851074219
2003-02-06,298.841064453125
2003-02-07,297.5060119628906
2003-02-10,293.2781677246094
2003-02-11,302.712890625
2003-02-12,302.8019104003906
2003-02-13,302.8019104003906
2003-02-14,300.3097839355469
2003-02-17,301.8673400878906
2003-02-18,302.13427734375
2003-02-19,304.8935546875
2003-02-20,303.2024230957031
2003-02-21,302.1788635253906
2003-02-24,307.11865234375
2003-02-25,307.2967529296875
2003-02-26,312.5481262207031
2003-02-27,312.9042663574219
2003-02-28,312.4146423339844
2003-03-03,307.2522277832031
2003-03-04,307.11865234375
2003-03-05,304.2705383300781
2003-03-06,302.5793762207031
2003-03-07,296.83837890625
2003-03-10,292.9666748046875
2003-03-11,293.6342468261719
2003-03-12,295.6368408203125
2003-03-13,293.3671569824219
2003-03-14,293.3671569824219
2003-03-17,293.0111389160156
2003-03-18,293.0111389160156
2003-03-19,299.6422119140625
2003-03-20,299.3750915527344
2003-03-21,299.3750915527344
2003-03-24,300.97723388671875
2003-03-25,298.841064453125
2003-03-26,298.7520751953125
2003-03-27,300.71026611328125
2003-03-28,294.70220947265625
2003-03-31,294.07916259765625
2003-04-01,295.59234619140625
2003-04-02,298.573974609375
2003-04-03,302.3123474121094
2003-04-04,302.4903869628906
2003-04-07,302.3123474121094
2003-04-08,301.3778076171875
2003-04-09,294.47967529296875
2003-04-10,298.39599609375
2003-04-11,301.6448059082031
