Date,VINATIORGA
2009-07-28,13.110167503356934
2009-07-29,14.003159523010254
2009-07-30,13.636473655700684
2009-07-31,13.381949424743652
2009-08-03,13.200761795043945
2009-08-04,12.94192123413086
2009-08-05,13.071341514587402
2009-08-06,13.804717063903809
2009-08-07,13.02388858795166
2009-08-10,13.287040710449219
2009-08-11,13.494112968444824
2009-08-12,13.373319625854492
2009-08-13,13.373319625854492
2009-08-14,13.407832145690918
2009-08-17,13.459598541259766
2009-08-18,13.463913917541504
2009-08-19,13.666669845581055
2009-08-20,13.399203300476074
2009-08-21,13.545878410339355
2009-08-24,13.481168746948242
2009-08-25,14.214544296264648
2009-08-26,14.896154403686523
2009-08-27,16.604488372802734
2009-08-28,16.4146671295166
2009-08-31,17.070398330688477
2009-09-01,16.427614212036133
2009-09-02,16.68213653564453
2009-09-03,16.39741325378418
2009-09-04,16.39741325378418
2009-09-07,17.9375057220459
2009-09-08,18.369787216186523
2009-09-09,17.54452133178711
2009-09-10,17.299997329711914
2009-09-11,16.841514587402344
2009-09-14,16.531497955322266
2009-09-15,16.885181427001953
2009-09-16,16.902650833129883
2009-09-17,18.422182083129883
2009-09-18,17.91567039489746
2009-09-22,18.649242401123047
2009-09-23,17.59691619873047
2009-09-24,17.736648559570312
2009-09-25,17.644947052001953
2009-09-29,17.435361862182617
2009-09-30,17.77594566345215
2009-10-01,17.6711483001709
2009-10-05,17.41789436340332
2009-10-06,17.413528442382812
2009-10-07,17.326194763183594
2009-10-08,17.221403121948242
2009-10-09,16.893918991088867
2009-10-12,17.369863510131836
2009-10-13,17.369863510131836
2009-10-14,18.422182083129883
2009-10-15,19.409013748168945
2009-10-16,20.93727684020996
2009-10-20,22.159889221191406
2009-10-21,23.70562744140625
2009-10-22,24.417362213134766
2009-10-23,24.31693458557129
2009-10-26,24.68808364868164
2009-10-27,24.36496353149414
2009-10-28,23.792959213256836
2009-10-29,23.19911766052246
2009-10-30,25.24396324157715
2009-11-03,24.523334503173828
2009-11-04,23.562488555908203
2009-11-05,23.45330047607422
2009-11-06,23.911888122558594
2009-11-09,24.392305374145508
2009-11-10,23.911888122558594
2009-11-11,24.021072387695312
2009-11-12,24.108417510986328
2009-11-13,23.82453155517578
2009-11-16,24.7417049407959
2009-11-17,26.510528564453125
2009-11-18,25.134775161743164
2009-11-19,26.008270263671875
2009-11-20,26.1611328125
2009-11-23,26.13929557800293
2009-11-24,25.98642921447754
2009-11-25,25.418663024902344
2009-11-26,24.981914520263672
2009-11-27,24.719867706298828
2009-11-30,25.615196228027344
2009-12-01,25.440500259399414
2009-12-02,25.00374984741211
2009-12-03,24.89456558227539
2009-12-04,25.091102600097656
2009-12-07,24.807218551635742
2009-12-08,24.82905387878418
2009-12-09,24.676191329956055
2009-12-10,24.981914520263672
2009-12-11,24.676191329956055
2009-12-14,24.414146423339844
2009-12-15,23.95555877685547
2009-12-16,23.82453155517578
2009-12-17,24.086585998535156
2009-12-18,23.95555877685547
2009-12-21,23.67167854309082
2009-12-22,23.62799644470215
2009-12-23,23.86821174621582
2009-12-24,23.518814086914062
2009-12-29,26.510528564453125
2009-12-30,29.08733367919922
2009-12-31,29.262035369873047
2010-01-04,29.85164451599121
2010-01-05,29.371217727661133
2010-01-06,30.3975830078125
2010-01-07,29.960826873779297
2010-01-08,29.371217727661133
2010-01-11,29.43673324584961
2010-01-12,29.676944732666016
2010-01-13,29.19651985168457
2010-01-14,29.43673324584961
2010-01-15,30.63778305053711
2010-01-18,36.577537536621094
2010-01-19,39.96232986450195
2010-01-20,38.71759796142578
2010-01-21,37.69124984741211
2010-01-22,37.80043411254883
2010-01-25,36.2499885559082
2010-01-27,33.36745071411133
2010-01-28,31.467607498168945
2010-01-29,33.957061767578125
2010-02-01,34.13175964355469
2010-02-02,33.105411529541016
2010-02-03,33.54216003417969
2010-02-04,33.69500732421875
2010-02-05,32.45028305053711
2010-02-06,33.25825881958008
2010-02-08,34.1972770690918
2010-02-09,33.62949752807617
2010-02-10,32.99622344970703
2010-02-11,32.90885925292969
2010-02-15,32.38478469848633
2010-02-16,32.734169006347656
2010-02-17,32.62498092651367
2010-02-18,32.45028305053711
2010-02-19,31.94803237915039
2010-02-22,31.533117294311523
2010-02-23,30.812480926513672
2010-02-24,30.63778305053711
2010-02-25,30.594104766845703
2010-02-26,31.68598175048828
2010-03-02,32.559471130371094
2010-03-03,34.43748474121094
2010-03-04,33.847869873046875
2010-03-05,33.32377624511719
2010-03-08,33.105411529541016
2010-03-09,34.85239791870117
2010-03-10,33.62949752807617
2010-03-11,33.804203033447266
2010-03-12,33.105411529541016
2010-03-15,32.53763198852539
2010-03-16,33.21458435058594
2010-03-17,32.7996826171875
2010-03-18,32.71232604980469
2010-03-19,32.69049072265625
2010-03-22,32.27558898925781
2010-03-23,32.36294174194336
2010-03-25,32.49395751953125
2010-03-26,32.12272262573242
2010-03-29,31.423921585083008
2010-03-30,31.314741134643555
2010-03-31,31.292905807495117
2010-04-01,32.01353073120117
2010-04-05,32.51580047607422
2010-04-06,31.96985626220703
2010-04-07,32.66865539550781
2010-04-08,34.13175964355469
2010-04-09,36.271820068359375
2010-04-12,35.00525665283203
2010-04-13,34.63401412963867
2010-04-15,33.34561538696289
2010-04-16,33.58583450317383
2010-04-19,32.69049072265625
2010-04-20,32.99622344970703
2010-04-21,33.607669830322266
2010-04-22,34.61217498779297
2010-04-23,35.027095794677734
2010-04-26,34.39380645751953
2010-04-27,33.58583450317383
2010-04-28,33.03989028930664
2010-04-29,32.97438049316406
2010-04-30,33.08357238769531
2010-05-03,32.53763198852539
2010-05-04,32.253746032714844
2010-05-05,32.734169006347656
2010-05-06,32.2319221496582
2010-05-07,31.445768356323242
2010-05-10,31.904354095458984
2010-05-11,31.904354095458984
2010-05-12,31.7951602935791
2010-05-13,32.253746032714844
2010-05-14,31.68598175048828
2010-05-17,30.746973037719727
2010-05-18,31.94803237915039
2010-05-19,31.554954528808594
2010-05-20,31.009014129638672
2010-05-21,31.533117294311523
2010-05-24,30.943510055541992
2010-05-25,30.004493713378906
2010-05-26,29.89531898498535
2010-05-27,29.04366111755371
2010-05-28,30.135528564453125
2010-05-31,29.917150497436523
2010-06-01,29.873483657836914
2010-06-02,30.091856002807617
2010-06-03,29.982664108276367
2010-06-04,30.877992630004883
2010-06-07,30.659618377685547
2010-06-08,30.55042839050293
2010-06-09,30.594104766845703
2010-06-10,30.812480926513672
2010-06-11,30.244709014892578
2010-06-14,30.50675392150879
2010-06-15,30.28839111328125
2010-06-16,30.375741958618164
2010-06-17,30.50675392150879
2010-06-18,30.28839111328125
2010-06-21,30.310230255126953
2010-06-22,30.353904724121094
2010-06-23,29.69878387451172
2010-06-24,32.38478469848633
2010-06-25,31.81700325012207
2010-06-28,31.336585998535156
2010-06-29,30.834320068359375
2010-06-30,30.659618377685547
2010-07-01,32.16640853881836
2010-07-02,31.423921585083008
2010-07-05,32.86519241333008
2010-07-06,33.149070739746094
2010-07-07,33.47663497924805
2010-07-08,33.62949752807617
2010-07-09,33.389286041259766
2010-07-12,33.149070739746094
2010-07-13,33.854373931884766
2010-07-14,33.21519470214844
2010-07-15,36.543338775634766
2010-07-16,35.573543548583984
2010-07-19,35.970279693603516
2010-07-20,36.36701583862305
2010-07-21,36.16864013671875
2010-07-22,35.838043212890625
2010-07-23,35.94823455810547
2010-07-26,35.28702163696289
