Date,MEDPLUS
2021-12-23,1121.1500244140625
2021-12-24,1076.050048828125
2021-12-27,1037.25
2021-12-28,1002.6500244140625
2021-12-29,1075.949951171875
2021-12-30,1030.8499755859375
2021-12-31,1037.3499755859375
2022-01-03,1044.449951171875
2022-01-04,1039.949951171875
2022-01-05,1032.1500244140625
2022-01-06,1017.2999877929688
2022-01-07,1015.5999755859375
2022-01-10,1076.699951171875
2022-01-11,1060.3499755859375
2022-01-12,1113.8499755859375
2022-01-13,1095.800048828125
2022-01-14,1132.3499755859375
2022-01-17,1195.4000244140625
2022-01-18,1186.0999755859375
2022-01-19,1252.5
2022-01-20,1290.0
2022-01-21,1225.6500244140625
2022-01-24,1233.0
2022-01-25,1203.5
2022-01-27,1160.6500244140625
2022-01-28,1099.949951171875
2022-01-31,1085.6500244140625
2022-02-01,1084.6500244140625
2022-02-02,1110.550048828125
2022-02-03,1139.050048828125
2022-02-04,1182.8499755859375
2022-02-07,1153.949951171875
2022-02-08,1124.6500244140625
2022-02-09,1188.25
2022-02-10,1189.3499755859375
2022-02-11,1148.550048828125
2022-02-14,1074.0
2022-02-15,1060.199951171875
2022-02-16,1132.6500244140625
2022-02-17,1057.5999755859375
2022-02-18,1025.5999755859375
2022-02-21,988.5
2022-02-22,952.0999755859375
2022-02-23,988.6500244140625
2022-02-24,967.4000244140625
2022-02-25,1000.4000244140625
2022-02-28,1029.449951171875
2022-03-02,1088.9000244140625
2022-03-03,1045.25
2022-03-04,993.0
2022-03-07,926.4500122070312
2022-03-08,950.1500244140625
2022-03-09,975.2000122070312
2022-03-10,1002.2999877929688
2022-03-11,1005.5999755859375
2022-03-14,1007.8499755859375
2022-03-15,994.0499877929688
2022-03-16,999.4500122070312
2022-03-17,998.2999877929688
2022-03-21,998.8499755859375
2022-03-22,979.9500122070312
2022-03-23,968.0999755859375
2022-03-24,969.0999755859375
2022-03-25,957.4000244140625
2022-03-28,971.0
2022-03-29,1007.4000244140625
2022-03-30,1011.2000122070312
2022-03-31,1014.5
2022-04-01,1017.4000244140625
2022-04-04,1016.6500244140625
2022-04-05,997.6500244140625
2022-04-06,997.75
2022-04-07,994.6500244140625
2022-04-08,1011.0
2022-04-11,1028.0999755859375
2022-04-12,989.9000244140625
2022-04-13,988.9000244140625
2022-04-18,977.3499755859375
2022-04-19,979.0
2022-04-20,996.4500122070312
2022-04-21,996.6500244140625
2022-04-22,996.0499877929688
2022-04-25,993.1500244140625
