Date,ABLBL
2025-06-24,152.36094665527344
2025-06-25,153.69386291503906
2025-06-26,151.60496520996094
2025-06-27,159.17477416992188
2025-06-30,156.25030517578125
2025-07-01,155.15609741210938
2025-07-02,155.80267333984375
2025-07-03,154.79800415039062
2025-07-04,158.62767028808594
2025-07-07,162.60655212402344
2025-07-08,164.2975616455078
2025-07-09,160.00039672851562
2025-07-10,162.4473876953125
2025-07-11,157.91146850585938
2025-07-14,155.63357543945312
2025-07-15,154.42001342773438
2025-07-16,154.2210693359375
2025-07-17,152.44052124023438
2025-07-18,154.12159729003906
2025-07-21,152.7190399169922
2025-07-22,152.49026489257812
2025-07-23,150.74951171875
2025-07-24,148.97891235351562
2025-07-25,145.00997924804688
2025-07-28,140.7824249267578
2025-07-29,143.3289031982422
2025-07-30,143.17970275878906
2025-07-31,142.7420196533203
2025-08-01,137.21139526367188
2025-08-04,136.09732055664062
2025-08-05,135.15232849121094
2025-08-06,135.92820739746094
2025-08-07,134.7146453857422
2025-08-08,131.44203186035156
2025-08-11,132.80479431152344
2025-08-12,133.80946350097656
2025-08-13,134.82406616210938
2025-08-14,131.23313903808594
2025-08-18,136.93287658691406
2025-08-19,142.0457305908203
2025-08-20,140.05628967285156
2025-08-21,138.5841064453125
2025-08-22,142.0556640625
2025-08-25,143.3686981201172
2025-08-26,138.16632080078125
2025-08-28,133.31210327148438
2025-08-29,134.29685974121094
2025-09-01,138.40505981445312
2025-09-02,140.2154541015625
2025-09-03,142.29440307617188
2025-09-04,141.2598876953125
2025-09-05,140.85206604003906
2025-09-08,142.68234252929688
2025-09-09,148.3621826171875
2025-09-10,144.44300842285156
2025-09-11,143.65716552734375
2025-09-12,144.71156311035156
2025-09-15,142.81166076660156
2025-09-16,141.4091033935547
2025-09-17,144.5126190185547
2025-09-18,145.41781616210938
2025-09-19,140.6929168701172
2025-09-22,141.86666870117188
2025-09-23,139.26051330566406
2025-09-24,135.17222595214844
2025-09-25,134.87380981445312
2025-09-26,131.46192932128906
2025-09-29,134.6151885986328
2025-09-30,132.2079620361328
2025-10-01,133.19273376464844
2025-10-03,135.72926330566406
2025-10-06,145.9450225830078
2025-10-07,147.1187744140625
2025-10-08,138.77310180664062
2025-10-09,142.51324462890625
2025-10-10,142.0656280517578
2025-10-13,138.33543395996094
2025-10-14,137.012451171875
2025-10-15,136.63446044921875
2025-10-16,136.37583923339844
2025-10-17,135.70936584472656
2025-10-20,137.0820770263672
2025-10-21,138.46473693847656
2025-10-23,139.37986755371094
2025-10-24,137.70875549316406
2025-10-27,135.64968872070312
2025-10-28,135.63973999023438
2025-10-29,134.9036407470703
2025-10-30,133.8492431640625
2025-10-31,132.89431762695312
2025-11-03,135.48057556152344
2025-11-04,136.4056854248047
2025-11-06,131.72055053710938
2025-11-07,129.76095581054688
2025-11-10,129.3033905029297
2025-11-11,127.19458770751953
2025-11-12,129.2735595703125
2025-11-13,133.70999145507812
2025-11-14,133.7597198486328
2025-11-17,137.81817626953125
2025-11-18,139.18093872070312
2025-11-19,136.584716796875
2025-11-20,131.53155517578125
2025-11-21,127.27416229248047
2025-11-24,126.38886260986328
2025-11-25,128.4678192138672
2025-11-26,131.94932556152344
2025-11-27,131.53155517578125
2025-11-28,129.48243713378906
2025-12-01,128.9154510498047
2025-12-02,130.3279571533203
2025-12-03,131.73048400878906
2025-12-04,131.54150390625
2025-12-05,127.8709945678711
2025-12-08,127.86103820800781
2025-12-09,128.4678192138672
2025-12-10,127.94062042236328
2025-12-11,128.14952087402344
2025-12-12,126.9856948852539
2025-12-15,127.96051788330078
2025-12-16,126.2297134399414
2025-12-17,126.55796813964844
2025-12-18,121.8827896118164
2025-12-19,115.79512023925781
2025-12-22,119.29652404785156
2025-12-23,119.8038330078125
2025-12-24,122.3801498413086
2025-12-26,122.42988586425781
2025-12-29,122.30056762695312
2025-12-30,123.32513427734375
2025-12-31,126.90612030029297
2026-01-01,125.76219177246094
2026-01-02,124.51879119873047
2026-01-05,122.89740753173828
2026-01-06,119.44573211669922
2026-01-07,118.85884857177734
2026-01-08,117.37671661376953
2026-01-09,116.8694076538086
2026-01-12,119.85356140136719
2026-01-13,117.76465606689453
2026-01-14,117.17778015136719
2026-01-15,117.17778015136719
2026-01-16,115.4967041015625
2026-01-19,115.3176498413086
2026-01-20,112.64186096191406
2026-01-21,113.26853942871094
2026-01-22,105.93746185302734
2026-01-23,102.97319793701172
2026-01-27,101.90885162353516
2026-01-28,103.05278015136719
2026-01-29,103.42082977294922
2026-01-30,104.47522735595703
2026-02-02,104.09723663330078
2026-02-03,112.40312957763672
2026-02-04,115.78517150878906
2026-02-05,113.48736572265625
2026-02-06,110.59274291992188
2026-02-09,114.35277557373047
2026-02-10,113.68631744384766
2026-02-11,114.63129425048828
2026-02-12,113.54705810546875
2026-02-13,112.07486724853516
2026-02-16,110.3739013671875
2026-02-17,109.90638732910156
2026-02-18,108.56351470947266
2026-02-19,106.2060317993164
2026-02-20,105.9275131225586
2026-02-23,106.11650848388672
2026-02-24,103.88834381103516
2026-02-25,103.86844635009766
2026-02-26,102.35647583007812
2026-02-27,101.54080963134766
2026-03-02,100.27751159667969
2026-03-04,99.34248352050781
2026-03-05,103.4904556274414
2026-03-06,101.44133758544922
2026-03-09,97.08447265625
2026-03-10,103.46061706542969
2026-03-11,102.20726776123047
2026-03-12,100.56598663330078
2026-03-13,96.9054183959961
2026-03-16,95.24424743652344
2026-03-17,96.77610778808594
2026-03-18,98.27813720703125
2026-03-19,92.84696960449219
2026-03-20,92.73755645751953
2026-03-23,90.96695709228516
2026-03-24,91.54389190673828
2026-03-25,92.58834838867188
2026-03-27,91.4941635131836
2026-03-30,87.76396942138672
2026-04-01,93.02601623535156
2026-04-02,92.97628784179688
2026-04-06,95.57250213623047
2026-04-07,97.44257354736328
2026-04-08,100.29741668701172
2026-04-09,99.09380340576172
2026-04-10,100.62567138671875
2026-04-13,102.45594787597656
2026-04-15,106.64371490478516
2026-04-16,105.02232360839844
2026-04-17,105.28094482421875
2026-04-20,104.17681121826172
2026-04-21,105.8777847290039
2026-04-22,108.54362487792969
2026-04-23,105.56941223144531
2026-04-24,104.60454559326172
2026-04-27,105.28094482421875
2026-04-28,103.45066833496094
2026-04-29,104.3757553100586
2026-04-30,102.23711395263672
2026-05-01,102.23711395263672
2026-05-04,102.14759063720703
2026-05-05,104.23649597167969
2026-05-06,107.03164672851562
2026-05-07,117.58560943603516
2026-05-08,113.45752716064453
2026-05-11,107.09133911132812
2026-05-12,101.12303161621094
2026-05-13,100.88429260253906
2026-05-14,102.31668853759766
2026-05-15,103.53024291992188
2026-05-18,103.02294158935547
2026-05-19,102.6946792602539
2026-05-20,100.92407989501953
2026-05-21,102.85383605957031
2026-05-22,101.48112487792969
2026-05-25,101.84917449951172
2026-05-26,101.58059692382812
2026-05-27,101.46123504638672
2026-05-28,101.46123504638672
2026-05-29,99.6408920288086
2026-06-01,98.70586395263672
2026-06-02,98.55665588378906
2026-06-03,97.70120239257812
2026-06-04,100.27751159667969
2026-06-05,101.01361083984375
2026-06-08,96.98500061035156
2026-06-09,98.20850372314453
2026-06-10,96.8556900024414
2026-06-11,94.8761978149414
2026-06-12,97.820556640625
2026-06-15,99.5911636352539
2026-06-16,100.17804718017578
2026-06-17,98.77549743652344
2026-06-18,98.78543853759766
2026-06-19,96.66669464111328
2026-06-22,98.00955963134766
2026-06-23,96.74626922607422
2026-06-24,99.94926452636719
2026-06-25,97.05463409423828
2026-06-26,97.05463409423828
2026-06-29,95.87091064453125
2026-06-30,95.71176147460938
2026-07-01,95.61228942871094
2026-07-02,97.77082824707031
2026-07-03,97.37294006347656
2026-07-06,96.07980346679688
2026-07-07,94.5777816772461
2026-07-08,93.03597259521484
2026-07-09,94.7568359375
2026-07-10,95.04530334472656
2026-07-13,98.71580505371094
2026-07-14,96.72637176513672
2026-07-15,96.40806579589844
2026-07-16,94.92593383789062
2026-07-17,94.37883758544922
2026-07-20,94.85630798339844
2026-07-21,94.38878631591797
2026-07-22,93.31449127197266
2026-07-23,92.35955810546875
2026-07-24,93.51343536376953
2026-07-27,94.9657211303711
2026-07-28,93.37417602539062
2026-07-29,94.92593383789062
2026-07-30,93.95111083984375
2026-07-31,94.1699447631836
2026-08-03,95.40340423583984
2026-08-04,94.07048034667969
2026-08-05,94.1003189086914
2026-08-06,94.16000366210938
2026-08-07,93.86000061035156
2026-08-10,91.55000305175781
2026-08-11,91.4800033569336
2026-08-12,90.29000091552734
2026-08-13,89.95999908447266
2026-08-14,88.7699966430664
2026-08-17,89.91999816894531
2026-08-18,88.72000122070312
2026-08-19,86.88999938964844
2026-08-20,86.5
2026-08-21,86.12000274658203
2026-08-24,85.12999725341797
2026-08-25,85.44000244140625
2026-08-26,86.04000091552734
2026-08-27,85.22000122070312
2026-08-28,84.5999984741211
2026-08-31,86.70999908447266
2026-09-01,85.33000183105469
2026-09-02,82.77999877929688
2026-09-03,83.48999786376953
2026-09-04,86.06999969482422
2026-09-07,85.55000305175781
2026-09-08,84.5199966430664
2026-09-09,84.26000213623047
2026-09-10,84.0
2026-09-11,83.61000061035156
2026-09-14,83.61000061035156
2026-09-15,82.94999694824219
2026-09-16,82.4000015258789
2026-09-17,82.41000366210938
2026-09-18,81.16999816894531
2026-09-21,80.88999938964844
