Date,AFCONS
2024-11-04,468.1010437011719
2024-11-05,487.3502197265625
2024-11-06,482.760009765625
2024-11-07,470.32208251953125
2024-11-08,484.536865234375
2024-11-11,487.3995666503906
2024-11-12,452.5042419433594
2024-11-13,463.2146911621094
2024-11-14,468.6439514160156
2024-11-18,461.7833251953125
2024-11-19,473.9251403808594
2024-11-21,481.5260925292969
2024-11-22,490.85455322265625
2024-11-25,521.4558715820312
2024-11-26,519.1361083984375
2024-11-27,489.0283508300781
2024-11-28,502.947021484375
2024-11-29,497.36968994140625
2024-12-02,487.7450866699219
2024-12-03,487.0047302246094
2024-12-04,490.5090637207031
2024-12-05,519.3828735351562
2024-12-06,538.5333251953125
2024-12-09,517.9515380859375
2024-12-10,526.9837646484375
2024-12-11,517.6553955078125
2024-12-12,519.4815673828125
2024-12-13,515.7798461914062
2024-12-16,533.00537109375
2024-12-17,533.1534423828125
2024-12-18,523.134033203125
2024-12-19,508.6723937988281
2024-12-20,513.5587158203125
2024-12-23,520.172607421875
2024-12-24,526.2434692382812
2024-12-26,526.3422241210938
2024-12-27,521.4558715820312
2024-12-30,514.1016845703125
2024-12-31,538.2865600585938
2025-01-01,532.6598510742188
2025-01-02,527.72412109375
2025-01-03,536.262939453125
2025-01-06,521.8507690429688
2025-01-07,520.0244750976562
2025-01-08,521.1104125976562
2025-01-09,509.2153015136719
2025-01-10,492.3846435546875
2025-01-13,473.6783752441406
2025-01-14,489.96612548828125
2025-01-15,504.6251525878906
2025-01-16,517.4579467773438
2025-01-17,513.5093994140625
2025-01-20,516.96435546875
2025-01-21,499.5413818359375
2025-01-22,490.9532775878906
2025-01-23,489.7193603515625
2025-01-24,480.4895935058594
2025-01-27,440.7572937011719
2025-01-28,454.2810974121094
2025-01-29,451.76385498046875
2025-01-30,447.27239990234375
2025-01-31,466.3241882324219
2025-02-01,467.0151672363281
2025-02-03,433.69927978515625
2025-02-04,422.5939636230469
2025-02-05,458.0321960449219
2025-02-06,452.89910888671875
2025-02-07,460.50006103515625
2025-02-10,452.1587219238281
2025-02-11,444.75518798828125
2025-02-12,448.802490234375
2025-02-13,433.00823974609375
2025-02-14,418.79345703125
2025-02-17,425.4566345214844
2025-02-18,429.5532531738281
2025-02-19,442.1392822265625
2025-02-20,450.036376953125
2025-02-21,446.8775634765625
2025-02-24,441.6950988769531
2025-02-25,442.4354248046875
2025-02-27,436.9568176269531
2025-02-28,407.786865234375
2025-03-03,401.2717590332031
2025-03-04,419.4350891113281
2025-03-05,415.1904296875
2025-03-06,432.4159851074219
2025-03-07,444.90325927734375
2025-03-10,455.6630859375
2025-03-11,450.4805908203125
2025-03-12,454.6265869140625
2025-03-13,444.3110046386719
2025-03-17,444.90325927734375
2025-03-18,444.90325927734375
2025-03-19,449.93768310546875
2025-03-20,463.9550476074219
2025-03-21,479.2063293457031
2025-03-24,483.40167236328125
2025-03-25,471.4079284667969
2025-03-26,462.42498779296875
2025-03-27,471.80279541015625
2025-03-28,480.7364196777344
2025-04-01,463.2640380859375
2025-04-02,466.077392578125
2025-04-03,463.9550476074219
2025-04-04,450.9248046875
2025-04-07,420.9158020019531
2025-04-08,427.430908203125
2025-04-09,417.0659484863281
2025-04-11,422.6926574707031
2025-04-15,437.2035827636719
2025-04-16,439.37530517578125
2025-04-17,438.0920104980469
2025-04-21,438.6842956542969
2025-04-22,436.26580810546875
2025-04-23,432.3666076660156
2025-04-24,428.0725402832031
