Date,HINDALCO
1996-01-01,57.75780487060547
1996-01-02,57.88351821899414
1996-01-03,57.632144927978516
1996-01-04,57.00678253173828
1996-01-05,56.85279846191406
1996-01-08,56.58570861816406
1996-01-09,56.563697814941406
1996-01-10,56.563697814941406
1996-01-11,56.87793731689453
1996-01-12,57.00364303588867
1996-01-15,56.563697814941406
1996-01-16,55.71524429321289
1996-01-17,57.00678253173828
1996-01-18,56.62968826293945
1996-01-19,56.82139587402344
1996-01-22,56.73338317871094
1996-01-23,56.56999588012695
1996-01-24,56.47256851196289
1996-01-25,56.85594177246094
1996-01-26,56.85594177246094
1996-01-29,56.9407844543457
1996-01-30,57.236183166503906
1996-01-31,56.9407844543457
1996-02-01,58.41774368286133
1996-02-02,60.96308898925781
1996-02-05,63.12822723388672
1996-02-06,63.08739471435547
1996-02-07,63.18791580200195
1996-02-08,65.111083984375
1996-02-09,68.24723815917969
1996-02-12,69.35337829589844
1996-02-13,70.28040313720703
1996-02-14,76.52440643310547
1996-02-15,72.5995101928711
1996-02-16,72.45182800292969
1996-02-19,70.44066619873047
1996-02-20,70.27726745605469
1996-02-21,70.27726745605469
1996-02-22,70.76748657226562
1996-02-23,71.77620697021484
1996-02-26,72.27269744873047
1996-02-27,70.6574935913086
1996-02-28,72.3355484008789
1996-02-29,70.92774963378906
1996-03-01,70.63549041748047
1996-03-04,72.15013885498047
1996-03-05,72.15013885498047
1996-03-06,72.19099426269531
1996-03-07,71.5248031616211
1996-03-08,71.01886749267578
1996-03-11,69.35337829589844
1996-03-12,68.91344451904297
1996-03-13,68.88200378417969
1996-03-14,69.43824768066406
1996-03-15,69.0737075805664
1996-03-18,68.61807250976562
1996-03-19,69.62049102783203
1996-03-20,69.62049102783203
1996-03-21,69.13026428222656
1996-03-22,69.13341522216797
1996-03-25,67.37995147705078
1996-03-26,67.83245086669922
1996-03-27,70.55064392089844
1996-03-28,70.70465087890625
1996-03-29,70.86175537109375
1996-04-01,71.3331069946289
1996-04-02,70.82089233398438
1996-04-03,71.08173370361328
1996-04-04,71.22942352294922
1996-04-05,71.22942352294922
1996-04-08,71.710205078125
1996-04-09,72.57122802734375
1996-04-10,72.9043197631836
1996-04-11,72.5900650024414
1996-04-12,73.53282165527344
1996-04-15,76.20072937011719
1996-04-16,75.46854400634766
1996-04-17,77.8945083618164
1996-04-18,78.70838928222656
1996-04-19,80.46499633789062
1996-04-22,79.5505599975586
1996-04-23,78.72724914550781
1996-04-24,80.32989501953125
1996-04-25,80.21674346923828
1996-04-26,79.28662109375
1996-04-29,79.50341796875
1996-04-30,82.21220397949219
1996-05-01,82.91608428955078
1996-05-02,83.41573333740234
1996-05-03,83.06695556640625
1996-05-06,82.5327377319336
1996-05-07,83.44717407226562
1996-05-08,84.83926391601562
1996-05-09,84.00968170166016
1996-05-10,85.48974609375
1996-05-13,82.52330780029297
1996-05-14,83.17692565917969
1996-05-15,83.89026641845703
1996-05-16,85.15979766845703
1996-05-17,85.03096771240234
1996-05-20,83.83368682861328
1996-05-21,83.27433776855469
1996-05-22,82.83440399169922
1996-05-23,82.70870971679688
1996-05-24,84.27047729492188
1996-05-27,82.76839447021484
1996-05-28,83.24919128417969
1996-05-29,82.96009063720703
1996-05-30,83.27433776855469
1996-05-31,83.85882568359375
1996-06-03,83.94367980957031
1996-06-04,83.33721160888672
1996-06-05,83.58857727050781
1996-06-06,83.44717407226562
1996-06-07,83.50687408447266
1996-06-10,83.21147918701172
1996-06-11,82.64583587646484
1996-06-12,84.21707916259766
1996-06-13,83.27433776855469
1996-06-14,83.80226135253906
1996-06-17,84.02852630615234
1996-06-18,83.2806167602539
1996-06-19,83.15807342529297
1996-06-20,82.81867980957031
1996-06-21,83.37489318847656
1996-06-24,80.06592559814453
1996-06-25,79.89620971679688
1996-06-26,77.00519561767578
1996-06-27,77.70282745361328
1996-06-28,78.36902618408203
1996-07-01,77.05233764648438
1996-07-02,76.44271850585938
1996-07-03,73.9224624633789
1996-07-04,74.26498413085938
