Date,FSL
2007-02-22,61.6593017578125
2007-02-23,62.04685592651367
2007-02-26,63.44203186035156
2007-02-27,64.02336120605469
2007-02-28,60.76793670654297
2007-03-01,60.49665069580078
2007-03-02,61.23299026489258
2007-03-05,54.83840560913086
2007-03-06,54.95466613769531
2007-03-07,50.11029052734375
2007-03-08,50.691619873046875
2007-03-09,49.64522933959961
2007-03-12,53.90829086303711
2007-03-13,60.49665069580078
2007-03-14,56.001060485839844
2007-03-15,57.62876892089844
2007-03-16,56.58238220214844
2007-03-19,56.969940185546875
2007-03-20,55.962303161621094
2007-03-21,58.59764099121094
2007-03-22,59.76029968261719
2007-03-23,57.31873321533203
2007-03-26,54.17957305908203
2007-03-28,55.18720626831055
2007-03-29,57.124961853027344
2007-03-30,56.001060485839844
2007-04-02,54.41210174560547
2007-04-03,55.07094192504883
2007-04-04,55.26471710205078
2007-04-05,55.10969161987305
2007-04-09,55.88479232788086
2007-04-10,56.81492614746094
2007-04-11,57.202476501464844
2007-04-12,57.55126190185547
2007-04-13,58.44261932373047
2007-04-16,59.37274932861328
2007-04-17,61.03921890258789
2007-04-18,59.992828369140625
2007-04-19,60.57415771484375
2007-04-20,60.806678771972656
2007-04-23,66.96874237060547
2007-04-24,65.34103393554688
2007-04-25,66.3099136352539
2007-04-26,65.767333984375
2007-04-27,63.86833953857422
2007-04-30,63.28700637817383
2007-05-03,69.10027313232422
2007-05-04,68.20890045166016
2007-05-07,68.55770111083984
2007-05-08,65.99987030029297
2007-05-09,66.77497100830078
2007-05-10,66.42617797851562
2007-05-11,65.92234802246094
2007-05-14,67.7825927734375
2007-05-15,71.19305419921875
2007-05-16,69.44906616210938
2007-05-17,69.68159484863281
2007-05-18,69.10027313232422
2007-05-21,68.79022979736328
2007-05-22,66.15487670898438
2007-05-23,63.48078918457031
2007-05-24,64.87596130371094
2007-05-25,65.57356262207031
2007-05-28,65.26351928710938
2007-05-29,64.68218994140625
2007-05-30,63.7520751953125
2007-05-31,63.9846076965332
2007-06-01,66.03861999511719
2007-06-04,65.5348129272461
2007-06-05,65.5348129272461
2007-06-06,65.26351928710938
2007-06-07,65.49604034423828
2007-06-08,64.21713256835938
2007-06-11,63.82957458496094
2007-06-12,63.32576370239258
2007-06-13,63.09323501586914
2007-06-14,64.41090393066406
2007-06-15,65.61231231689453
2007-06-18,64.52717590332031
2007-06-19,64.44965362548828
2007-06-20,66.03861999511719
2007-06-21,67.82135772705078
2007-06-22,66.54243469238281
2007-06-25,64.7984619140625
2007-06-26,64.91472625732422
2007-06-27,64.44965362548828
2007-06-28,64.7984619140625
2007-06-29,65.26351928710938
2007-07-02,66.50367736816406
2007-07-03,65.61231231689453
2007-07-04,65.10848999023438
2007-07-05,63.86833953857422
2007-07-06,63.51953887939453
2007-07-09,64.10086059570312
2007-07-10,63.6745719909668
2007-07-11,62.97697830200195
2007-07-12,62.78319549560547
2007-07-13,62.55066680908203
2007-07-16,62.08560562133789
2007-07-17,60.806678771972656
2007-07-18,61.155479431152344
2007-07-19,61.93058395385742
2007-07-20,63.82957458496094
2007-07-23,63.55829620361328
2007-07-24,62.82194519042969
2007-07-25,61.46551513671875
2007-07-26,63.209503173828125
2007-07-27,59.91532516479492
2007-07-30,61.19424057006836
2007-07-31,63.40327835083008
2007-08-01,61.23299026489258
2007-08-02,60.535404205322266
2007-08-03,60.806678771972656
2007-08-06,62.04685592651367
2007-08-07,61.34926223754883
2007-08-08,64.2558822631836
