Date,M&M
1996-01-01,24.5134334564209
1996-01-02,24.163938522338867
1996-01-03,15.411563873291016
1996-01-04,15.3326416015625
1996-01-05,15.411563873291016
1996-01-08,15.163530349731445
1996-01-09,14.690023422241211
1996-01-10,14.938053131103516
1996-01-11,14.86288833618164
1996-01-12,15.171050071716309
1996-01-15,15.171050071716309
1996-01-16,15.253727912902832
1996-01-17,15.171050071716309
1996-01-18,15.407800674438477
1996-01-19,15.182321548461914
1996-01-22,15.182321548461914
1996-01-23,15.580667495727539
1996-01-24,15.3326416015625
1996-01-25,15.78360652923584
1996-01-26,15.78360652923584
1996-01-29,15.952715873718262
1996-01-30,16.91100311279297
1996-01-31,16.91100311279297
1996-02-01,17.64381217956543
1996-02-02,17.463428497314453
1996-02-05,18.188720703125
1996-02-06,18.00833511352539
1996-02-07,18.316495895385742
1996-02-08,18.94032096862793
1996-02-09,18.959110260009766
1996-02-12,18.613378524780273
1996-02-13,19.451406478881836
1996-02-14,20.969640731811523
1996-02-15,21.041046142578125
1996-02-16,20.64645767211914
1996-02-19,21.044801712036133
1996-02-20,21.063596725463867
1996-02-21,21.063596725463867
1996-02-22,21.123720169067383
1996-02-23,21.24773406982422
1996-02-26,21.94672393798828
1996-02-27,22.153409957885742
1996-02-28,21.570919036865234
1996-02-29,20.845623016357422
1996-03-01,21.018497467041016
1996-03-04,20.466068267822266
1996-03-05,20.466068267822266
1996-03-06,20.638938903808594
1996-03-07,20.623903274536133
1996-03-08,20.552505493164062
1996-03-11,19.455169677734375
1996-03-12,19.207141876220703
1996-03-13,19.616764068603516
1996-03-14,19.879817962646484
1996-03-15,20.14287567138672
1996-03-18,19.541601181030273
1996-03-19,19.48147201538086
1996-03-20,19.48147201538086
1996-03-21,19.76708221435547
1996-03-22,19.022994995117188
1996-03-25,19.560388565063477
1996-03-26,19.165800094604492
1996-03-27,18.94032096862793
1996-03-28,19.624277114868164
1996-03-29,19.278539657592773
1996-04-01,19.24095916748047
1996-04-02,20.499887466430664
1996-04-03,21.089893341064453
1996-04-04,20.56378173828125
1996-04-05,20.56378173828125
1996-04-08,21.014734268188477
1996-04-09,21.533340454101562
1996-04-10,20.84938621520996
1996-04-11,20.680273056030273
1996-04-12,20.537473678588867
1996-04-15,20.762954711914062
1996-04-16,21.45442771911621
1996-04-17,21.59346580505371
1996-04-18,22.093286514282227
1996-04-19,21.796396255493164
1996-04-22,21.2364559173584
1996-04-23,20.54874038696289
1996-04-24,21.740026473999023
1996-04-25,21.270280838012695
1996-04-26,21.270280838012695
1996-04-29,21.68366050720215
1996-04-30,21.751306533813477
1996-05-01,21.871557235717773
1996-05-02,21.81519317626953
1996-05-03,21.796396255493164
1996-05-06,21.796396255493164
1996-05-07,21.94672393798828
1996-05-08,21.879077911376953
1996-05-09,21.871557235717773
1996-05-10,21.285316467285156
1996-05-13,21.803918838500977
1996-05-14,21.55588150024414
1996-05-15,21.99933624267578
1996-05-16,23.119218826293945
1996-05-17,22.807300567626953
1996-05-20,21.924175262451172
1996-05-21,21.901620864868164
1996-05-22,22.078248977661133
1996-05-23,21.803918838500977
1996-05-24,22.393922805786133
1996-05-27,22.30373191833496
1996-05-28,22.623157501220703
1996-05-29,22.675769805908203
1996-05-30,22.442773818969727
1996-05-31,22.43901824951172
1996-06-03,22.698320388793945
1996-06-04,22.683292388916016
1996-06-05,22.893739700317383
1996-06-06,23.746803283691406
1996-06-07,23.66412925720215
1996-06-10,24.423242568969727
1996-06-11,23.90839958190918
1996-06-12,24.41948890686035
1996-06-13,24.91554069519043
1996-06-14,27.106456756591797
1996-06-17,26.5126895904541
1996-06-18,26.74568748474121
1996-06-19,28.181243896484375
1996-06-20,27.7227725982666
1996-06-21,27.41085433959961
1996-06-24,27.222957611083984
1996-06-25,27.095182418823242
1996-06-26,26.73065185546875
1996-06-27,26.76823616027832
1996-06-28,27.046327590942383
1996-07-01,26.911043167114258
1996-07-02,27.03505516052246
1996-07-03,26.576576232910156
1996-07-04,26.016637802124023
1996-07-05,25.948989868164062
1996-07-08,26.110584259033203
1996-07-09,25.866315841674805
1996-07-10,25.945234298706055
1996-07-11,26.193256378173828
1996-07-12,26.054218292236328
1996-07-15,25.253767013549805
1996-07-16,23.461193084716797
1996-07-17,24.1301212310791
1996-07-18,24.11884117126465
1996-07-19,24.092533111572266
1996-07-22,24.67879295349121
1996-07-23,26.054218292236328
1996-07-24,25.52057456970215
1996-07-25,25.539369583129883
1996-07-26,25.381532669067383
1996-07-29,25.276309967041016
1996-07-30,25.76861000061035
1996-07-31,25.71599769592285
1996-08-01,26.41873550415039
1996-08-02,26.433767318725586
1996-08-05,26.97116470336914
1996-08-06,27.264301300048828
1996-08-07,26.83587646484375
1996-08-08,26.7757568359375
1996-08-09,26.678043365478516
1996-08-12,26.3548583984375
1996-08-13,26.30224609375
1996-08-14,26.245872497558594
1996-08-15,26.245872497558594
1996-08-16,26.189504623413086
1996-08-19,25.509305953979492
1996-08-20,25.13726234436035
1996-08-21,25.550643920898438
1996-08-22,25.824981689453125
1996-08-23,26.21581268310547
1996-08-26,26.41498374938965
1996-08-27,26.478870391845703
1996-08-28,26.918548583984375
1996-08-29,27.05759048461914
1996-08-30,26.75320053100586
1996-09-02,26.76823616027832
1996-09-03,26.41498374938965
1996-09-04,26.625429153442383
1996-09-05,26.88849449157715
1996-09-06,26.640459060668945
1996-09-09,26.632946014404297
1996-09-10,26.704345703125
1996-09-11,26.632946014404297
1996-09-12,26.21581268310547
1996-09-13,26.09930992126465
1996-09-16,25.689682006835938
1996-09-17,25.821212768554688
1996-09-18,25.84752655029297
1996-09-19,25.712238311767578
1996-09-20,25.6182861328125
1996-09-23,24.449548721313477
1996-09-24,24.622421264648438
1996-09-25,24.85541343688965
1996-09-26,24.547258377075195
1996-09-27,23.979795455932617
1996-09-30,23.882095336914062
1996-10-01,23.878332138061523
1996-10-02,23.878332138061523
1996-10-03,23.724252700805664
1996-10-04,22.871191024780273
1996-10-07,22.544240951538086
1996-10-08,23.547630310058594
1996-10-09,23.54012107849121
1996-10-10,24.081262588500977
1996-10-11,24.299230575561523
1996-10-14,24.024892807006836
1996-10-15,24.291715621948242
1996-10-16,23.930950164794922
1996-10-17,24.02113914489746
1996-10-18,24.006103515625
1996-10-21,24.006103515625
1996-10-22,24.31801986694336
1996-10-23,24.765220642089844
1996-10-24,24.761463165283203
1996-10-25,24.26540756225586
1996-10-28,24.464582443237305
1996-10-29,23.6039981842041
1996-10-30,23.6039981842041
1996-10-31,23.85954475402832
