Date,GULFOILLUB
2014-07-31,189.75637817382812
2014-08-01,199.20828247070312
2014-08-04,203.14024353027344
2014-08-05,200.4936981201172
2014-08-06,201.70355224609375
2014-08-07,199.62413024902344
2014-08-08,191.9870147705078
2014-08-11,195.42750549316406
2014-08-12,192.478515625
2014-08-13,201.36329650878906
2014-08-14,204.42572021484375
2014-08-18,210.96640014648438
2014-08-19,222.0818634033203
2014-08-20,219.73777770996094
2014-08-21,217.2046356201172
2014-08-22,209.4163055419922
2014-08-25,209.3784942626953
2014-08-26,202.04380798339844
2014-08-27,210.6261444091797
2014-08-28,218.11207580566406
2014-09-01,214.48252868652344
2014-09-02,216.3351287841797
2014-09-03,237.28050231933594
2014-09-04,232.89480590820312
2014-09-05,233.4619598388672
2014-09-08,236.0328369140625
2014-09-09,232.8570098876953
2014-09-10,233.84002685546875
2014-09-11,233.61322021484375
2014-09-12,238.2634735107422
2014-09-15,250.9668731689453
2014-09-16,235.16329956054688
2014-09-17,232.93264770507812
2014-09-18,235.99510192871094
2014-09-19,240.00267028808594
2014-09-22,239.66241455078125
2014-09-23,232.2142791748047
2014-09-24,224.38807678222656
2014-09-25,221.40127563476562
2014-09-26,221.5904083251953
2014-09-29,223.0648651123047
2014-09-30,224.87960815429688
2014-10-01,224.01004028320312
2014-10-07,221.77938842773438
2014-10-08,225.9381866455078
2014-10-09,235.91055297851562
2014-10-10,243.18051147460938
2014-10-13,239.18392944335938
2014-10-14,243.90367126464844
2014-10-15,243.90367126464844
2014-10-16,235.41578674316406
2014-10-17,233.779052734375
2014-10-20,234.61648559570312
2014-10-21,242.76181030273438
2014-10-22,247.5196075439453
2014-10-27,238.0040283203125
2014-10-28,239.75489807128906
2014-10-29,246.98672485351562
2014-10-30,248.24278259277344
2014-10-31,251.70651245117188
2014-11-03,250.60264587402344
2014-11-05,249.6891326904297
2014-11-07,248.20469665527344
2014-11-10,252.92449951171875
2014-11-11,258.291259765625
2014-11-12,258.4815368652344
2014-11-13,269.21514892578125
2014-11-14,282.80340576171875
2014-11-17,291.9764709472656
2014-11-18,291.4435729980469
2014-11-19,288.0559997558594
2014-11-20,289.1979064941406
2014-11-21,289.35015869140625
2014-11-24,288.3985900878906
2014-11-25,286.723876953125
2014-11-26,291.0628967285156
2014-11-27,313.06298828125
2014-11-28,350.2118225097656
2014-12-01,376.8935241699219
2014-12-02,384.39190673828125
2014-12-03,371.3745422363281
2014-12-04,358.8139343261719
2014-12-05,363.4195251464844
2014-12-08,364.7897033691406
2014-12-09,374.11505126953125
2014-12-10,398.3227233886719
2014-12-11,396.6479797363281
2014-12-12,386.86590576171875
2014-12-15,404.83135986328125
2014-12-16,415.3365783691406
2014-12-17,387.8175048828125
2014-12-18,413.16705322265625
2014-12-19,394.40228271484375
2014-12-22,385.60980224609375
2014-12-23,380.1669616699219
2014-12-24,380.62371826171875
2014-12-26,377.5787353515625
2014-12-29,388.2742004394531
2014-12-30,389.1877136230469
2014-12-31,394.8590087890625
2015-01-01,392.6894226074219
2015-01-02,395.65838623046875
2015-01-05,390.6340637207031
2015-01-06,384.73443603515625
2015-01-07,389.4541931152344
2015-01-08,389.7966613769531
2015-01-09,391.3572998046875
2015-01-12,410.0459289550781
2015-01-13,416.9351501464844
2015-01-14,408.2950134277344
2015-01-15,407.45770263671875
2015-01-16,412.48187255859375
2015-01-19,408.5234069824219
2015-01-20,409.0182189941406
2015-01-21,399.0078430175781
2015-01-22,403.5753173828125
2015-01-23,399.88323974609375
2015-01-27,402.0527648925781
2015-01-28,400.8728332519531
2015-01-29,412.6341552734375
2015-01-30,407.4956970214844
2015-02-02,403.9939880371094
2015-02-03,400.4161376953125
2015-02-04,397.4853515625
2015-02-05,403.8037109375
2015-02-06,388.5787048339844
2015-02-09,381.19464111328125
2015-02-10,374.8382263183594
2015-02-11,372.9731750488281
2015-02-12,372.3641662597656
2015-02-13,367.834716796875
2015-02-16,369.6617126464844
2015-02-18,363.8382263183594
2015-02-19,360.48870849609375
2015-02-20,367.94891357421875
2015-02-23,370.8035888671875
2015-02-24,364.5613708496094
2015-02-25,361.3260498046875
2015-02-26,355.2361145019531
2015-02-27,358.9661865234375
2015-03-02,355.95928955078125
2015-03-03,360.3363952636719
2015-03-04,354.5129089355469
2015-03-05,361.89703369140625
2015-03-09,365.01812744140625
2015-03-10,363.3814392089844
2015-03-11,369.81402587890625
2015-03-12,370.955810546875
2015-03-13,367.910888671875
2015-03-16,363.57177734375
2015-03-17,363.7239685058594
2015-03-18,358.9661865234375
2015-03-19,358.0527038574219
2015-03-20,357.5578918457031
2015-03-23,356.83477783203125
2015-03-24,356.9488525390625
2015-03-25,356.1115417480469
2015-03-26,357.0250244140625
2015-03-27,358.54754638671875
2015-03-30,363.114990234375
2015-03-31,388.350341796875
2015-04-01,385.76202392578125
2015-04-06,376.28460693359375
2015-04-07,377.5025939941406
2015-04-08,376.81744384765625
2015-04-09,379.29156494140625
2015-04-10,370.84161376953125
2015-04-13,369.2430725097656
2015-04-15,373.88665771484375
2015-04-16,363.1530456542969
2015-04-17,360.45062255859375
2015-04-20,353.56134033203125
2015-04-21,352.57171630859375
2015-04-22,347.2049255371094
2015-04-23,350.1737976074219
2015-04-24,346.13922119140625
2015-04-27,342.71356201171875
2015-04-28,353.4852600097656
2015-04-29,350.7447204589844
2015-04-30,343.36065673828125
2015-05-04,341.114990234375
2015-05-05,349.6409606933594
2015-05-06,342.8277893066406
2015-05-07,340.0873107910156
2015-05-08,338.717041015625
2015-05-11,340.201416015625
2015-05-12,347.31915283203125
2015-05-13,342.6374816894531
2015-05-14,358.0527038574219
2015-05-15,351.9246520996094
2015-05-18,352.00079345703125
2015-05-19,362.27764892578125
2015-05-20,362.3918151855469
2015-05-21,357.7862854003906
2015-05-22,366.69287109375
2015-05-25,370.1565856933594
2015-05-26,366.9212341308594
2015-05-27,365.3987121582031
2015-05-28,351.0872802734375
2015-05-29,353.6374206542969
2015-06-01,358.12890625
2015-06-02,349.22222900390625
2015-06-03,344.61663818359375
2015-06-04,344.7689514160156
