Date,LUXIND
2015-12-01,684.919921875
2015-12-02,719.1644287109375
2015-12-03,755.1167602539062
2015-12-04,718.1105346679688
2015-12-07,682.2068481445312
2015-12-08,648.0989379882812
2015-12-09,615.698974609375
2015-12-10,584.9187622070312
2015-12-11,558.901123046875
2015-12-14,586.8413696289062
2015-12-15,700.12451171875
2015-12-16,781.2808227539062
2015-12-17,761.14794921875
2015-12-18,775.6889038085938
2015-12-21,734.4862060546875
2015-12-22,706.8191528320312
2015-12-23,702.9156494140625
2015-12-24,715.3486328125
2015-12-28,692.9223022460938
2015-12-29,678.654541015625
2015-12-30,667.2266845703125
2015-12-31,695.3132934570312
2016-01-01,703.7548828125
2016-01-04,702.6324462890625
2016-01-05,737.2674560546875
2016-01-06,732.8075561523438
2016-01-07,703.8817138671875
2016-01-08,700.13427734375
2016-01-11,703.4230346679688
2016-01-12,696.874755859375
2016-01-13,686.081298828125
2016-01-14,674.06787109375
2016-01-15,657.0187377929688
2016-01-18,614.5765991210938
2016-01-19,624.4235229492188
2016-01-20,598.6010131835938
2016-01-21,590.3936157226562
2016-01-22,599.0596923828125
2016-01-25,587.5733642578125
2016-01-27,592.4430541992188
2016-01-28,587.6123046875
2016-01-29,589.3786010742188
2016-02-01,589.7008056640625
2016-02-02,597.0005493164062
2016-02-03,589.4859619140625
2016-02-04,586.36328125
2016-02-05,592.1307373046875
2016-02-08,593.3701782226562
2016-02-09,586.6950073242188
2016-02-10,584.391845703125
2016-02-11,546.9462890625
2016-02-12,570.7095947265625
2016-02-15,595.292724609375
2016-02-16,575.6867065429688
2016-02-17,570.1923828125
2016-02-18,551.9429321289062
2016-02-19,546.4973754882812
2016-02-22,554.9194946289062
2016-02-23,545.8143310546875
2016-02-24,544.2235717773438
2016-02-25,530.0045776367188
2016-02-26,537.0213623046875
2016-02-29,537.5484008789062
2016-03-01,546.1265258789062
2016-03-02,547.307373046875
2016-03-03,551.5037841796875
2016-03-04,544.2235717773438
2016-03-08,540.075927734375
2016-03-09,648.0892944335938
2016-03-10,651.348876953125
2016-03-11,648.6455078125
2016-03-14,649.2212524414062
2016-03-15,589.9447631835938
2016-03-16,673.9701538085938
2016-03-17,641.7946166992188
2016-03-18,640.7211303710938
2016-03-21,669.237060546875
2016-03-22,660.164794921875
2016-03-23,654.6216430664062
2016-03-28,645.041015625
2016-03-29,634.8642578125
2016-03-30,647.1724243164062
2016-03-31,645.6373901367188
2016-04-01,661.2498779296875
2016-04-04,668.5233764648438
2016-04-05,656.4107666015625
2016-04-06,662.1298217773438
2016-04-07,675.8848876953125
2016-04-08,679.7366943359375
2016-04-11,674.7214965820312
2016-04-12,681.66259765625
2016-04-13,691.8981323242188
2016-04-18,665.7861328125
2016-04-20,657.9553833007812
2016-04-21,657.25146484375
2016-04-22,649.9878540039062
2016-04-25,648.7363891601562
2016-04-26,645.6373901367188
2016-04-27,644.49365234375
2016-04-28,639.8011474609375
2016-04-29,636.0665893554688
2016-05-02,631.7455444335938
2016-05-03,628.1672973632812
2016-05-04,616.2404174804688
2016-05-05,642.997802734375
2016-05-06,635.137939453125
2016-05-09,633.5637817382812
2016-05-10,635.1964111328125
2016-05-11,636.4771728515625
2016-05-12,636.4380493164062
2016-05-13,635.8612670898438
2016-05-16,630.08349609375
2016-05-17,630.0053100585938
2016-05-18,649.9096069335938
2016-05-19,645.8524780273438
2016-05-20,646.2338256835938
2016-05-23,657.2222900390625
2016-05-24,650.2810668945312
2016-05-25,650.8090209960938
2016-05-26,627.4830932617188
2016-05-27,642.958740234375
2016-05-30,663.7427978515625
2016-05-31,666.0402221679688
2016-06-01,665.6297607421875
2016-06-02,685.2406616210938
2016-06-03,683.5493774414062
2016-06-06,677.5370483398438
2016-06-07,666.2455444335938
