Date,POWERMECH
2015-08-26,289.99615478515625
2015-08-27,314.3705749511719
2015-08-28,308.3140869140625
2015-08-31,303.9137878417969
2015-09-01,290.6141662597656
2015-09-02,300.799072265625
2015-09-03,301.88671875
2015-09-04,297.1651306152344
2015-09-07,289.8725280761719
2015-09-08,291.60296630859375
2015-09-09,289.1309509277344
2015-09-10,287.0049743652344
2015-09-11,285.991455078125
2015-09-14,290.1939392089844
2015-09-15,288.4882507324219
2015-09-16,282.2339172363281
2015-09-18,281.1709289550781
2015-09-21,286.7577819824219
2015-09-22,284.3598937988281
2015-09-23,289.1309509277344
2015-09-24,286.8072204589844
2015-09-28,284.16204833984375
2015-09-29,284.5823669433594
2015-09-30,285.3487243652344
2015-10-01,297.3876037597656
2015-10-05,299.1921691894531
2015-10-06,299.2169189453125
2015-10-07,302.7765808105469
2015-10-08,293.35809326171875
2015-10-09,288.73541259765625
2015-10-12,291.92431640625
2015-10-13,295.9537658691406
2015-10-14,301.9361267089844
2015-10-15,300.7496032714844
2015-10-16,304.58123779296875
2015-10-19,304.6307678222656
2015-10-20,298.0303649902344
2015-10-21,302.2575378417969
2015-10-23,307.99267578125
2015-10-26,302.10919189453125
2015-10-27,303.716064453125
2015-10-28,303.0732421875
2015-10-29,299.68658447265625
2015-10-30,292.36932373046875
2015-11-02,293.4075622558594
2015-11-03,299.8843688964844
2015-11-04,299.58770751953125
2015-11-05,298.4258728027344
2015-11-06,296.1268615722656
2015-11-09,296.7449035644531
2015-11-10,305.5205993652344
2015-11-13,301.2192687988281
2015-11-16,298.77191162109375
2015-11-17,307.6960144042969
2015-11-18,304.08685302734375
2015-11-19,300.6754150390625
2015-11-20,302.9991149902344
2015-11-23,301.76312255859375
2015-11-24,307.59716796875
2015-11-26,313.8266906738281
2015-11-27,310.68719482421875
2015-11-30,303.3205261230469
2015-12-01,303.8396911621094
2015-12-02,302.5541687011719
2015-12-03,300.03265380859375
2015-12-04,296.6707458496094
2015-12-07,301.9114685058594
2015-12-08,303.2957763671875
2015-12-09,300.452880859375
2015-12-10,303.5676574707031
2015-12-11,300.9720153808594
2015-12-14,302.87554931640625
2015-12-15,304.0621032714844
2015-12-16,306.5094299316406
2015-12-17,308.98150634765625
2015-12-18,311.65130615234375
2015-12-21,311.873779296875
2015-12-22,313.03570556640625
2015-12-23,313.703125
2015-12-24,314.84027099609375
2015-12-28,315.75494384765625
2015-12-29,325.1734619140625
2015-12-30,324.4812316894531
2015-12-31,326.285888671875
2016-01-01,326.3352966308594
2016-01-04,323.6902160644531
2016-01-05,326.4341125488281
2016-01-06,326.38470458984375
2016-01-07,326.40948486328125
2016-01-08,327.4477233886719
2016-01-11,339.46185302734375
2016-01-12,334.22113037109375
2016-01-13,329.9444580078125
2016-01-14,321.29229736328125
2016-01-15,319.80908203125
2016-01-18,287.7960205078125
2016-01-19,295.4346618652344
2016-01-20,284.1868591308594
2016-01-21,297.6595764160156
2016-01-22,304.7790222167969
2016-01-25,301.76312255859375
2016-01-27,300.724853515625
2016-01-28,295.0144348144531
2016-01-29,292.1468811035156
2016-02-01,296.3493347167969
2016-02-02,291.60296630859375
2016-02-03,288.1174011230469
