Date,IXIGO
2024-06-18,165.72000122070312
2024-06-19,184.86000061035156
2024-06-20,167.77000427246094
2024-06-21,169.0
2024-06-24,166.57000732421875
2024-06-25,160.22000122070312
2024-06-26,162.60000610351562
2024-06-27,161.9499969482422
2024-06-28,156.9499969482422
2024-07-01,158.6699981689453
2024-07-02,157.69000244140625
2024-07-03,156.38999938964844
2024-07-04,163.92999267578125
2024-07-05,170.42999267578125
2024-07-08,171.32000732421875
2024-07-09,171.47999572753906
2024-07-10,168.41000366210938
2024-07-11,170.49000549316406
2024-07-12,172.22000122070312
2024-07-15,171.94000244140625
2024-07-16,173.24000549316406
2024-07-18,173.11000061035156
2024-07-19,170.77999877929688
2024-07-22,172.13999938964844
2024-07-23,170.92999267578125
2024-07-24,171.9600067138672
2024-07-25,173.36000061035156
2024-07-26,177.1199951171875
2024-07-29,181.0500030517578
2024-07-30,176.1999969482422
2024-07-31,173.66000366210938
2024-08-01,169.6699981689453
2024-08-02,176.66000366210938
2024-08-05,167.02999877929688
2024-08-06,163.80999755859375
2024-08-07,165.4600067138672
2024-08-08,166.1199951171875
2024-08-09,163.1300048828125
2024-08-12,160.5800018310547
2024-08-13,157.88999938964844
2024-08-14,153.6199951171875
2024-08-16,155.27000427246094
2024-08-19,157.02999877929688
2024-08-20,164.67999267578125
2024-08-21,166.6300048828125
2024-08-22,166.75
2024-08-23,168.38999938964844
2024-08-26,165.94000244140625
2024-08-27,169.3300018310547
2024-08-28,168.72999572753906
2024-08-29,165.58999633789062
2024-08-30,164.7899932861328
2024-09-02,161.92999267578125
2024-09-03,159.08999633789062
2024-09-04,158.52999877929688
2024-09-05,159.60000610351562
2024-09-06,156.9600067138672
2024-09-09,154.36000061035156
2024-09-10,157.0
2024-09-11,150.72999572753906
2024-09-12,156.7100067138672
2024-09-13,155.94000244140625
2024-09-16,155.2100067138672
2024-09-17,152.64999389648438
2024-09-18,151.85000610351562
2024-09-19,147.1699981689453
2024-09-20,144.77000427246094
2024-09-23,139.49000549316406
2024-09-24,145.38999938964844
2024-09-25,146.75
2024-09-26,144.6199951171875
2024-09-27,146.47999572753906
2024-09-30,152.10000610351562
2024-10-01,151.2100067138672
2024-10-03,150.0500030517578
2024-10-04,147.82000732421875
2024-10-07,144.1199951171875
2024-10-08,145.35000610351562
2024-10-09,145.99000549316406
2024-10-10,145.0800018310547
2024-10-11,153.5500030517578
2024-10-14,154.6999969482422
2024-10-15,162.75
2024-10-16,163.75999450683594
2024-10-17,161.0500030517578
2024-10-18,163.97000122070312
2024-10-21,158.83999633789062
2024-10-22,146.86000061035156
2024-10-23,150.02999877929688
2024-10-24,148.89999389648438
2024-10-25,143.8699951171875
2024-10-28,146.80999755859375
2024-10-29,146.58999633789062
2024-10-30,151.57000732421875
2024-10-31,146.3800048828125
2024-11-01,149.47999572753906
2024-11-04,145.0500030517578
2024-11-05,145.16000366210938
