Date,LALPATHLAB
2015-12-23,384.3857727050781
2015-12-24,417.489501953125
2015-12-28,389.2080078125
2015-12-29,377.86279296875
2015-12-30,375.8127136230469
2015-12-31,374.81103515625
2016-01-01,374.4150085449219
2016-01-04,378.3986511230469
2016-01-05,380.6816711425781
2016-01-06,389.4410095214844
2016-01-07,374.5080871582031
2016-01-08,375.9525451660156
2016-01-11,371.36322021484375
2016-01-12,373.7626647949219
2016-01-13,372.57464599609375
2016-01-14,379.49359130859375
2016-01-15,367.6590881347656
2016-01-18,359.6219787597656
2016-01-19,336.4888610839844
2016-01-20,335.6269836425781
2016-01-21,339.6338806152344
2016-01-22,343.6874694824219
2016-01-25,348.8126525878906
2016-01-27,353.3553466796875
2016-01-28,353.0990905761719
2016-01-29,360.7169494628906
2016-02-01,372.3416748046875
2016-02-02,371.8057861328125
2016-02-03,366.5176086425781
2016-02-04,373.99566650390625
2016-02-05,372.8542175292969
2016-02-08,373.0638122558594
2016-02-09,370.33819580078125
2016-02-10,374.0888671875
2016-02-11,372.36492919921875
2016-02-12,373.9723815917969
2016-02-15,384.548828125
2016-02-16,391.6308898925781
2016-02-17,396.5929260253906
2016-02-18,399.5747985839844
2016-02-19,403.6282653808594
2016-02-22,394.6826171875
2016-02-23,396.91900634765625
2016-02-24,386.8551025390625
2016-02-25,389.6739501953125
2016-02-26,386.01641845703125
2016-02-29,385.1778869628906
2016-03-01,386.1329040527344
2016-03-02,397.4315490722656
2016-03-03,416.48773193359375
2016-03-04,400.22705078125
2016-03-08,393.5411376953125
2016-03-09,407.14605712890625
2016-03-10,402.766357421875
2016-03-11,401.95098876953125
2016-03-14,414.9502868652344
2016-03-15,422.4283142089844
2016-03-16,410.9665832519531
2016-03-17,422.1953430175781
2016-03-18,429.9062805175781
2016-03-21,427.8329772949219
2016-03-22,437.966796875
2016-03-23,429.3239440917969
2016-03-28,434.0530090332031
2016-03-29,431.8864440917969
2016-03-30,433.5870361328125
2016-03-31,430.1859130859375
2016-04-01,439.1082763671875
2016-04-04,460.3310546875
2016-04-05,460.8668212890625
2016-04-06,460.3078308105469
2016-04-07,461.6589050292969
2016-04-08,467.50628662109375
2016-04-11,476.1490783691406
2016-04-12,476.61505126953125
2016-04-13,471.44329833984375
2016-04-18,459.8651123046875
2016-04-20,459.8883972167969
2016-04-21,455.6018981933594
2016-04-22,449.7080383300781
2016-04-25,451.4552307128906
2016-04-26,453.0626525878906
2016-04-27,464.0351867675781
2016-04-28,462.45098876953125
2016-04-29,458.9798889160156
2016-05-02,450.43023681640625
2016-05-03,457.1394958496094
2016-05-04,453.97113037109375
2016-05-05,456.0445556640625
2016-05-06,452.6666259765625
2016-05-09,457.4422607421875
2016-05-10,444.9789123535156
2016-05-11,446.2835388183594
2016-05-12,445.1885681152344
2016-05-13,443.953857421875
2016-05-16,446.12042236328125
2016-05-17,454.0410461425781
2016-05-18,458.7934875488281
2016-05-19,456.6502380371094
2016-05-20,454.2507629394531
2016-05-23,448.6829528808594
2016-05-24,447.0523376464844
2016-05-25,452.3404235839844
2016-05-26,456.6502380371094
2016-05-27,438.66571044921875
2016-05-30,440.71575927734375
2016-05-31,437.80377197265625
2016-06-01,442.113525390625
2016-06-02,448.9392395019531
2016-06-03,462.33447265625
2016-06-06,460.9833984375
2016-06-07,464.17498779296875
2016-06-08,461.1463928222656
2016-06-09,460.82025146484375
2016-06-10,460.3543395996094
2016-06-13,464.0351867675781
2016-06-14,456.09124755859375
2016-06-15,445.65447998046875
2016-06-16,436.4991760253906
2016-06-17,418.0252685546875
2016-06-20,405.16583251953125
2016-06-21,392.42291259765625
2016-06-22,394.75250244140625
2016-06-23,390.3496398925781
2016-06-24,382.3124084472656
2016-06-27,390.16314697265625
2016-06-28,391.7239990234375
2016-06-29,398.5497741699219
2016-06-30,394.7757873535156
2016-07-01,390.535888671875
2016-07-04,410.8267822265625
2016-07-05,425.5732421875
2016-07-07,432.4223327636719
2016-07-08,442.9986572265625
2016-07-11,463.5458984375
2016-07-12,463.1032409667969
2016-07-13,451.1756286621094
2016-07-14,454.71673583984375
2016-07-15,457.9548645019531
2016-07-18,459.2826843261719
2016-07-19,457.3026428222656
2016-07-20,461.9734191894531
2016-07-21,460.8757629394531
2016-07-22,457.2558288574219
2016-07-25,454.2431945800781
2016-07-26,453.7059631347656
2016-07-27,452.2113037109375
2016-07-28,449.2218933105469
2016-07-29,454.2431945800781
2016-08-01,454.99041748046875
2016-08-02,446.3259582519531
2016-08-03,436.1901550292969
2016-08-04,434.67205810546875
2016-08-05,434.1583251953125
2016-08-08,432.0797119140625
2016-08-09,425.6806945800781
2016-08-10,422.5278015136719
2016-08-11,424.2560119628906
2016-08-12,435.9098815917969
2016-08-16,430.1647033691406
2016-08-17,428.366455078125
2016-08-18,432.5936279296875
2016-08-19,434.83551025390625
2016-08-22,433.3409423828125
2016-08-23,430.4217224121094
2016-08-24,435.5128479003906
2016-08-25,436.8440246582031
2016-08-26,430.5617370605469
2016-08-29,432.28997802734375
2016-08-30,469.77374267578125
2016-08-31,505.2724609375
2016-09-01,495.673828125
2016-09-02,542.4292602539062
2016-09-06,526.408203125
2016-09-07,530.8455200195312
2016-09-08,526.3848266601562
2016-09-09,533.2744140625
2016-09-12,537.1746215820312
2016-09-14,530.2149658203125
2016-09-15,528.8604736328125
2016-09-16,559.945068359375
2016-09-19,582.902587890625
2016-09-20,561.1360473632812
2016-09-21,557.2360229492188
2016-09-22,554.3866577148438
2016-09-23,548.6883544921875
2016-09-26,544.9750366210938
2016-09-27,542.896484375
2016-09-28,534.7691650390625
2016-09-29,505.83294677734375
2016-09-30,499.83087158203125
2016-10-03,503.2874450683594
2016-10-04,500.74169921875
2016-10-05,496.51446533203125
2016-10-06,496.3978271484375
2016-10-07,490.2790222167969
2016-10-10,489.0877990722656
2016-10-13,483.87982177734375
2016-10-14,484.8607482910156
2016-10-17,472.1559753417969
2016-10-18,478.5317687988281
2016-10-19,479.95635986328125
2016-10-20,501.34893798828125
2016-10-21,524.212890625
2016-10-24,551.1639404296875
2016-10-25,537.4781494140625
2016-10-26,536.4271850585938
2016-10-27,550.41650390625
2016-10-28,550.2530517578125
2016-11-01,542.7798461914062
2016-11-02,546.4696044921875
2016-11-03,557.6564331054688
2016-11-04,538.3424682617188
2016-11-07,547.40380859375
2016-11-08,553.2657470703125
2016-11-09,554.50341796875
2016-11-10,560.59912109375
2016-11-11,551.7946166992188
2016-11-15,515.6886596679688
2016-11-16,526.151123046875
2016-11-17,522.2744140625
2016-11-18,553.8261108398438
2016-11-21,577.2275390625
2016-11-22,556.792236328125
2016-11-23,562.3740234375
2016-11-24,554.9239501953125
2016-11-25,544.3211059570312
2016-11-28,541.6119384765625
2016-11-29,547.5205688476562
2016-11-30,539.9771118164062
2016-12-01,543.9940185546875
2016-12-02,531.125732421875
2016-12-05,537.3382568359375
2016-12-06,546.32958984375
2016-12-07,526.5015869140625
2016-12-08,522.8817749023438
2016-12-09,517.3233642578125
