Date,KARURVYSYA
1996-01-01,1.1110680103302002
1996-01-02,1.0768266916275024
1996-01-03,1.0862727165222168
1996-01-04,1.057935357093811
1996-01-05,1.0392794609069824
1996-01-08,1.0390440225601196
1996-01-09,1.0390440225601196
1996-01-10,1.041877269744873
1996-01-11,1.0390440225601196
1996-01-12,1.043766736984253
1996-01-15,1.0343207120895386
1996-01-16,1.05557382106781
1996-01-17,1.0527400970458984
1996-01-18,1.0388072729110718
1996-01-19,0.9870913624763489
1996-01-22,0.9823682904243469
1996-01-23,0.9776456952095032
1996-01-24,0.9209700226783752
1996-01-25,0.873741090297699
1996-01-26,0.873741090297699
1996-01-29,0.9150667786598206
1996-01-30,0.9351391196250916
1996-01-31,0.9068015217781067
1996-02-01,0.9351391196250916
1996-02-02,0.9918140769004822
1996-02-05,1.0012599229812622
1996-02-06,1.0295981168746948
1996-02-07,1.0201517343521118
1996-02-08,1.0650197267532349
1996-02-09,1.141530990600586
1996-02-12,1.1932471990585327
1996-02-13,1.2166259288787842
1996-02-14,1.2610210180282593
1996-02-15,1.3800384998321533
1996-02-16,1.3675230741500854
1996-02-19,1.3051799535751343
1996-02-20,1.2322113513946533
1996-02-21,1.2322113513946533
1996-02-22,1.3280868530273438
1996-02-23,1.3398938179016113
1996-02-26,1.368703842163086
1996-02-27,1.3401299715042114
1996-02-28,1.322655200958252
1996-02-29,1.2421293258666992
1996-03-01,1.2744814157485962
1996-03-04,1.2341004610061646
1996-03-05,1.2341004610061646
1996-03-06,1.195844292640686
1996-03-07,1.213792085647583
1996-03-08,1.1901769638061523
1996-03-11,1.1854538917541504
1996-03-12,1.1275984048843384
1996-03-13,1.1913583278656006
1996-03-14,1.204345941543579
1996-03-15,1.190413475036621
1996-03-18,1.1535742282867432
1996-03-19,1.0862727165222168
1996-03-20,1.0862727165222168
1996-03-21,1.1268903017044067
1996-03-22,1.1051641702651978
1996-03-25,1.0862727165222168
1996-03-26,1.0659641027450562
1996-03-27,1.1134294271469116
1996-03-28,1.125709056854248
1996-03-29,1.161603331565857
1996-04-01,1.125709056854248
1996-04-02,1.1275984048843384
1996-04-03,1.1528658866882324
1996-04-04,1.1500322818756104
1996-04-05,1.1500322818756104
1996-04-08,1.1566442251205444
1996-04-09,1.2071795463562012
1996-04-10,1.2088325023651123
1996-04-11,1.2064712047576904
1996-04-12,1.2114306688308716
1996-04-15,1.2289050817489624
1996-04-16,1.2421293258666992
1996-04-17,1.294081449508667
1996-04-18,1.3115566968917847
1996-04-19,1.31793212890625
1996-04-22,1.2768429517745972
1996-04-23,1.2421293258666992
1996-04-24,1.322655200958252
1996-04-25,1.3219470977783203
1996-04-26,1.3231275081634521
1996-04-29,1.3129736185073853
1996-04-30,1.3398938179016113
1996-05-01,1.3465059995651245
1996-05-02,1.317696452140808
1996-05-03,1.3153347969055176
1996-05-06,1.286996841430664
1996-05-07,1.2985681295394897
1996-05-08,1.2997488975524902
1996-05-09,1.2988042831420898
1996-05-10,1.2678693532943726
1996-05-13,1.2586594820022583
1996-05-14,1.251811146736145
1996-05-15,1.27944016456604
1996-05-16,1.3011655807495117
1996-05-17,1.294081449508667
1996-05-20,1.2673969268798828
1996-05-21,1.2126110792160034
1996-05-22,1.2492139339447021
1996-05-23,1.2163896560668945
1996-05-24,1.2310301065444946
1996-05-27,1.2050542831420898
1996-05-28,1.195136547088623
1996-05-29,1.274009108543396
1996-05-30,1.2286686897277832
1996-05-31,1.2279608249664307
1996-06-03,1.2352807521820068
1996-06-04,1.2114306688308716
1996-06-05,1.233155608177185
1996-06-06,1.251339077949524
1996-06-07,1.2421293258666992
1996-06-10,1.2468523979187012
1996-06-11,1.2220567464828491
1996-06-12,1.2631465196609497
1996-06-13,1.2810935974121094
1996-06-14,1.3117923736572266
1996-06-17,1.3219470977783203
1996-06-18,1.3195853233337402
1996-06-19,1.3233639001846313
1996-06-20,1.3219470977783203
1996-06-21,1.3160430192947388
1996-06-24,1.2891225814819336
1996-06-25,1.2253628969192505
1996-06-26,1.3125009536743164
1996-06-27,1.2822740077972412
1996-06-28,1.2499219179153442
1996-07-01,1.1509771347045898
1996-07-02,1.0737569332122803
1996-07-03,1.0985521078109741
1996-07-04,1.1386972665786743
1996-07-05,1.1335021257400513
1996-07-08,1.1401143074035645
1996-07-09,1.1020946502685547
1996-07-10,1.1037472486495972
1996-07-11,1.105400562286377
1996-07-12,1.1035116910934448
1996-07-15,1.0780079364776611
1996-07-16,1.0357376337051392
1996-07-17,1.0867449045181274
1996-07-18,1.0957183837890625
1996-07-19,1.1079978942871094
1996-07-22,1.1127207279205322
1996-07-23,1.0624216794967651
1996-07-24,1.0440022945404053
1996-07-25,1.0461277961730957
1996-07-26,0.9929952025413513
1996-07-29,0.9604066610336304
1996-07-30,0.9398624897003174
1996-07-31,0.9894526600837708
1996-08-01,0.9826046824455261
1996-08-02,0.968435525894165
1996-08-05,0.9353753924369812
1996-08-06,0.9245126843452454
1996-08-07,1.0215684175491333
1996-08-08,1.0253474712371826
