Date,DBL
2016-08-11,248.01226806640625
2016-08-12,240.5743408203125
2016-08-16,240.96841430664062
2016-08-17,238.16075134277344
2016-08-18,238.45626831054688
2016-08-19,242.19985961914062
2016-08-22,235.10675048828125
2016-08-23,235.15603637695312
2016-08-24,233.13644409179688
2016-08-25,229.836181640625
2016-08-26,224.12229919433594
2016-08-29,216.3888702392578
2016-08-30,222.54605102539062
2016-08-31,233.67828369140625
2016-09-01,235.55006408691406
2016-09-02,235.30380249023438
2016-09-06,232.34832763671875
2016-09-07,231.70797729492188
2016-09-08,233.03793334960938
2016-09-09,226.7822265625
2016-09-12,225.55078125
2016-09-14,226.63446044921875
2016-09-15,231.5602264404297
2016-09-16,241.51023864746094
2016-09-19,236.19044494628906
2016-09-20,233.530517578125
2016-09-21,230.7228546142578
2016-09-22,234.958984375
2016-09-23,232.0035400390625
2016-09-26,232.9886932373047
2016-09-27,229.78695678710938
2016-09-28,235.20526123046875
2016-09-29,222.9401397705078
2016-09-30,230.62432861328125
2016-10-03,236.53524780273438
2016-10-04,234.36790466308594
2016-10-05,235.89488220214844
2016-10-06,231.7572479248047
2016-10-07,230.91986083984375
2016-10-10,230.5258026123047
2016-10-13,223.92529296875
2016-10-14,223.92529296875
2016-10-17,224.1715545654297
2016-10-18,229.54063415527344
2016-10-19,226.28965759277344
2016-10-20,227.6688995361328
2016-10-21,222.79234313964844
2016-10-24,225.15673828125
2016-10-25,228.5062255859375
2016-10-26,232.0527801513672
2016-10-27,231.90501403808594
2016-10-28,234.61416625976562
2016-11-01,221.11758422851562
2016-11-02,217.32476806640625
2016-11-03,211.46307373046875
2016-11-04,215.551513671875
2016-11-07,215.9947967529297
2016-11-08,219.0487823486328
2016-11-09,207.32545471191406
2016-11-10,214.86187744140625
2016-11-11,203.77891540527344
2016-11-15,196.68577575683594
2016-11-16,201.11900329589844
2016-11-17,198.11428833007812
2016-11-18,203.87742614746094
2016-11-21,201.61155700683594
2016-11-22,207.27618408203125
2016-11-23,214.36929321289062
2016-11-24,219.44287109375
2016-11-25,224.9104461669922
2016-11-28,227.57032775878906
2016-11-29,226.92999267578125
2016-11-30,239.53993225097656
2016-12-01,250.2781219482422
2016-12-02,221.21607971191406
2016-12-05,218.85174560546875
2016-12-06,220.1816864013672
2016-12-07,230.57505798339844
2016-12-08,220.13241577148438
2016-12-09,220.32945251464844
2016-12-12,220.0831756591797
2016-12-13,220.033935546875
2016-12-14,221.4131622314453
2016-12-15,221.3638458251953
2016-12-16,222.29977416992188
2016-12-19,218.35914611816406
2016-12-20,219.39356994628906
2016-12-21,218.9502716064453
2016-12-22,217.1277313232422
2016-12-23,217.5217742919922
2016-12-26,215.2066650390625
2016-12-27,218.35914611816406
2016-12-28,219.2950897216797
2016-12-29,219.54135131835938
2016-12-30,225.8955841064453
2017-01-02,224.86117553710938
2017-01-03,225.50152587890625
2017-01-04,224.86117553710938
2017-01-05,228.60476684570312
2017-01-06,226.14186096191406
2017-01-09,223.28494262695312
2017-01-10,224.5656280517578
2017-01-11,239.04737854003906
2017-01-12,238.85032653808594
2017-01-13,239.884765625
2017-01-16,238.85032653808594
2017-01-17,238.35775756835938
2017-01-18,237.0770721435547
2017-01-19,236.58447265625
2017-01-20,232.5946044921875
2017-01-23,235.35304260253906
2017-01-24,233.62904357910156
2017-01-25,234.86045837402344
2017-01-27,239.34292602539062
2017-01-30,238.45626831054688
2017-01-31,234.56494140625
2017-02-01,240.0325164794922
2017-02-02,245.74639892578125
2017-02-03,244.02239990234375
2017-02-06,263.4791564941406
2017-02-07,259.6370849609375
2017-02-08,279.4386291503906
2017-02-09,274.7591857910156
2017-02-10,269.2915954589844
2017-02-13,266.5823974609375
2017-02-14,262.6418762207031
2017-02-15,257.4204406738281
2017-02-16,258.2085876464844
2017-02-17,270.12896728515625
2017-02-20,287.4676208496094
2017-02-21,282.7389221191406
2017-02-22,279.5863952636719
2017-02-23,281.852294921875
2017-02-27,294.8070373535156
2017-02-28,302.09716796875
2017-03-01,323.22869873046875
2017-03-02,319.2388000488281
2017-03-03,314.31304931640625
2017-03-06,303.525634765625
2017-03-07,314.5101013183594
2017-03-08,311.1113586425781
2017-03-09,314.46087646484375
2017-03-10,314.559326171875
2017-03-14,317.7118225097656
2017-03-15,330.07550048828125
2017-03-16,338.350830078125
2017-03-17,340.1240539550781
2017-03-20,354.3594970703125
2017-03-21,352.2907409667969
2017-03-22,343.71990966796875
2017-03-23,348.30078125
2017-03-24,343.7691650390625
2017-03-27,338.0060119628906
2017-03-28,336.8730773925781
2017-03-29,336.4789733886719
2017-03-30,347.4141845703125
2017-03-31,344.5572509765625
2017-04-03,361.20635986328125
2017-04-05,354.16253662109375
2017-04-06,352.9310607910156
2017-04-07,350.0248107910156
2017-04-10,356.4283142089844
2017-04-11,359.18682861328125
2017-04-12,364.7528991699219
2017-04-13,365.738037109375
2017-04-17,394.4060363769531
2017-04-18,386.9188537597656
2017-04-19,397.262939453125
2017-04-20,399.2825012207031
2017-04-21,404.7501525878906
2017-04-24,428.2952575683594
2017-04-25,427.4578857421875
2017-04-26,421.7439880371094
2017-04-27,414.6509094238281
2017-04-28,416.22711181640625
2017-05-02,415.83306884765625
2017-05-03,414.2075500488281
2017-05-04,420.9065856933594
2017-05-05,452.8748779296875
2017-05-08,471.5434875488281
2017-05-09,465.1399841308594
2017-05-10,461.8397216796875
2017-05-11,461.0023498535156
2017-05-12,440.70819091796875
2017-05-15,462.23382568359375
2017-05-16,467.45513916015625
2017-05-17,485.237060546875
2017-05-18,493.4631042480469
2017-05-19,467.6028747558594
2017-05-22,445.33837890625
2017-05-23,428.5415344238281
2017-05-24,420.56182861328125
2017-05-25,434.20623779296875
2017-05-26,433.76287841796875
2017-05-29,432.3343811035156
2017-05-30,436.2257385253906
2017-05-31,434.4524841308594
2017-06-01,426.3742370605469
2017-06-02,426.7190246582031
2017-06-05,423.32025146484375
2017-06-06,428.8370666503906
2017-06-07,432.0881042480469
2017-06-08,436.2257385253906
2017-06-09,441.64404296875
2017-06-12,439.77227783203125
2017-06-13,443.5159606933594
2017-06-14,441.5948486328125
2017-06-15,443.1218566894531
2017-06-16,437.9005432128906
2017-06-19,435.9794921875
2017-06-20,439.1319580078125
2017-06-21,436.42279052734375
2017-06-22,428.8370666503906
2017-06-23,421.4484558105469
2017-06-27,403.814208984375
2017-06-28,415.4882507324219
2017-06-29,432.8762512207031
2017-06-30,440.85595703125
2017-07-03,464.40106201171875
2017-07-04,456.27362060546875
2017-07-05,451.5448913574219
2017-07-06,447.2102355957031
2017-07-07,469.7209167480469
2017-07-10,481.44427490234375
2017-07-11,489.4732666015625
2017-07-12,514.0034790039062
2017-07-13,536.662109375
2017-07-14,535.2828979492188
2017-07-17,532.1796264648438
2017-07-18,510.75262451171875
2017-07-19,517.4024047851562
2017-07-20,508.97930908203125
2017-07-21,509.0285339355469
2017-07-24,513.7572631835938
2017-07-25,504.546142578125
2017-07-26,519.618896484375
2017-07-27,509.7675476074219
2017-07-28,499.0292663574219
2017-07-31,494.99017333984375
2017-08-01,519.9637451171875
2017-08-02,518.4861450195312
2017-08-03,520.9488525390625
2017-08-04,518.4861450195312
2017-08-07,531.0466918945312
2017-08-08,570.6006469726562
2017-08-09,554.2963256835938
2017-08-10,506.5657043457031
2017-08-11,513.7080688476562
2017-08-14,515.7767944335938
2017-08-16,519.1264038085938
2017-08-17,555.4784545898438
2017-08-18,562.7194213867188
2017-08-21,556.75927734375
2017-08-22,561.7343139648438
2017-08-23,568.1869506835938
2017-08-24,584.0972900390625
2017-08-28,613.2576904296875
2017-08-29,613.2576904296875
2017-08-30,608.3812255859375
2017-08-31,595.0816650390625
2017-09-01,584.375
2017-09-04,567.0075073242188
2017-09-05,568.093017578125
2017-09-06,567.0075073242188
2017-09-07,561.3336181640625
2017-09-08,585.8058471679688
2017-09-11,604.16015625
2017-09-12,600.1635131835938
2017-09-13,592.1212768554688
2017-09-14,594.0949096679688
2017-09-15,583.8816528320312
2017-09-18,596.1671752929688
2017-09-19,608.4033203125
2017-09-20,596.0191040039062
2017-09-21,590.8878173828125
2017-09-22,570.4613037109375
2017-09-25,584.5230712890625
2017-09-26,591.183837890625
2017-09-27,582.6481323242188
2017-09-28,577.7635498046875
2017-09-29,591.4306030273438
2017-10-03,600.9530029296875
2017-10-04,619.0606689453125
2017-10-05,672.2977294921875
2017-10-06,670.6201782226562
2017-10-09,680.0933837890625
2017-10-10,685.4713745117188
2017-10-11,689.8624877929688
2017-10-12,712.8546752929688
2017-10-13,707.1806640625
2017-10-16,734.5640869140625
2017-10-17,788.1466064453125
2017-10-18,758.8388671875
2017-10-19,776.1077270507812
2017-10-23,759.7271118164062
2017-10-24,763.9208374023438
2017-10-25,798.7051391601562
2017-10-26,891.4630737304688
2017-10-27,872.6154174804688
2017-10-30,857.8136596679688
2017-10-31,841.8276977539062
2017-11-01,878.4374389648438
2017-11-02,885.6409912109375
2017-11-03,882.6314086914062
2017-11-06,882.3845825195312
2017-11-07,880.7562866210938
2017-11-08,872.4674072265625
2017-11-09,857.912353515625
2017-11-10,858.5045166015625
2017-11-13,858.4550170898438
2017-11-14,843.4559326171875
2017-11-15,825.3483276367188
2017-11-16,833.0945434570312
2017-11-17,838.7686157226562
2017-11-20,849.9686279296875
2017-11-21,841.5316772460938
2017-11-22,875.6744384765625
2017-11-23,916.1327514648438
2017-11-24,914.10986328125
2017-11-27,937.8914184570312
2017-11-28,970.4553833007812
2017-11-29,975.2412719726562
2017-11-30,962.5610961914062
2017-12-01,937.7432861328125
2017-12-04,909.7185668945312
2017-12-05,901.9723510742188
2017-12-06,875.5264282226562
2017-12-07,870.0498046875
2017-12-08,892.795166015625
2017-12-11,892.5484619140625
2017-12-12,898.2719116210938
2017-12-13,886.5785522460938
2017-12-14,877.4999389648438
