Date,ADANIENSOL
2015-07-31,27.600000381469727
2015-08-03,28.950000762939453
2015-08-04,30.350000381469727
2015-08-05,31.850000381469727
2015-08-06,33.400001525878906
2015-08-07,35.04999923706055
2015-08-10,36.04999923706055
2015-08-11,37.45000076293945
2015-08-12,35.599998474121094
2015-08-13,35.25
2015-08-14,39.95000076293945
2015-08-17,41.0
2015-08-18,40.900001525878906
2015-08-19,40.20000076293945
2015-08-20,38.04999923706055
2015-08-21,36.79999923706055
2015-08-24,32.95000076293945
2015-08-25,32.849998474121094
2015-08-26,32.54999923706055
2015-08-27,33.29999923706055
2015-08-28,32.349998474121094
2015-08-31,31.149999618530273
2015-09-01,29.100000381469727
2015-09-02,29.299999237060547
2015-09-03,29.149999618530273
2015-09-04,28.450000762939453
2015-09-07,27.0
2015-09-08,26.700000762939453
2015-09-09,27.049999237060547
2015-09-10,26.600000381469727
2015-09-11,27.700000762939453
2015-09-14,27.75
2015-09-15,27.299999237060547
2015-09-16,27.850000381469727
2015-09-18,26.600000381469727
2015-09-21,26.049999237060547
2015-09-22,26.399999618530273
2015-09-23,26.549999237060547
2015-09-24,28.350000381469727
2015-09-28,27.299999237060547
2015-09-29,27.100000381469727
2015-09-30,26.850000381469727
2015-10-01,26.649999618530273
2015-10-05,27.450000762939453
2015-10-06,28.200000762939453
2015-10-07,28.549999237060547
2015-10-08,28.049999237060547
2015-10-09,28.0
2015-10-12,28.799999237060547
2015-10-13,28.799999237060547
2015-10-14,28.25
2015-10-15,29.850000381469727
2015-10-16,29.100000381469727
2015-10-19,29.049999237060547
2015-10-20,34.849998474121094
2015-10-21,36.25
2015-10-23,38.599998474121094
2015-10-26,38.20000076293945
2015-10-27,38.400001525878906
2015-10-28,38.599998474121094
2015-10-29,38.349998474121094
2015-10-30,36.349998474121094
2015-11-02,36.54999923706055
2015-11-03,35.650001525878906
2015-11-04,35.150001525878906
2015-11-05,34.20000076293945
2015-11-06,34.349998474121094
2015-11-09,35.150001525878906
2015-11-10,33.79999923706055
2015-11-13,33.849998474121094
2015-11-16,34.400001525878906
2015-11-17,34.900001525878906
2015-11-18,34.25
