Date,PTC
2004-04-07,16.78537368774414
2004-04-08,15.698812484741211
2004-04-09,15.698812484741211
2004-04-12,16.87903594970703
2004-04-13,16.59803581237793
2004-04-14,16.59803581237793
2004-04-15,16.91650390625
2004-04-16,18.340261459350586
2004-04-19,20.68197250366211
2004-04-20,19.42681312561035
2004-04-21,19.895158767700195
2004-04-22,20.045028686523438
2004-04-23,19.7265625
2004-04-27,18.096725463867188
2004-04-28,18.452667236328125
2004-04-29,18.69620704650879
2004-04-30,18.302799224853516
2004-05-03,17.759519577026367
2004-05-04,18.415203094482422
2004-05-05,19.258214950561523
2004-05-06,19.782756805419922
2004-05-07,19.164546966552734
2004-05-10,19.220746994018555
2004-05-11,18.15293312072754
2004-05-12,18.471399307250977
2004-05-13,19.595422744750977
2004-05-14,17.98431968688965
2004-05-17,14.949468612670898
2004-05-18,17.23497772216797
2004-05-19,18.096725463867188
2004-05-20,17.98431968688965
2004-05-21,17.703323364257812
2004-05-24,18.02179527282715
2004-05-25,17.628385543823242
2004-05-26,18.190393447875977
2004-05-27,19.202009201049805
2004-05-28,19.576690673828125
2004-05-31,18.43393325805664
2004-06-01,19.08960723876953
2004-06-02,19.070877075195312
2004-06-03,18.565065383911133
2004-06-04,19.014678955078125
2004-06-07,18.864810943603516
2004-06-08,18.77113914489746
2004-06-09,18.677471160888672
2004-06-10,18.565065383911133
2004-06-11,18.565065383911133
2004-06-14,18.471399307250977
2004-06-15,17.90938949584961
2004-06-16,17.89065170288086
2004-06-17,17.64711570739746
2004-06-18,17.25371551513672
2004-06-21,17.291181564331055
2004-06-22,16.82284164428711
2004-06-23,16.167158126831055
2004-06-24,16.167158126831055
2004-06-25,17.347379684448242
2004-06-28,17.49725341796875
2004-06-29,17.84033203125
2004-06-30,18.01187515258789
2004-07-01,18.33589744567871
2004-07-02,18.33589744567871
2004-07-05,18.297773361206055
2004-07-06,18.98394203186035
2004-07-07,19.21266746520996
2004-07-08,19.136425018310547
2004-07-09,18.850526809692383
2004-07-12,18.678979873657227
2004-07-13,18.488380432128906
2004-07-14,18.297773361206055
2004-07-15,18.545564651489258
2004-07-16,19.174543380737305
2004-07-19,19.117372512817383
2004-07-20,18.736167907714844
2004-07-21,19.09830665588379
2004-07-22,20.64218521118164
2004-07-23,21.34740447998047
2004-07-26,20.184736251831055
2004-07-27,19.30797004699707
2004-07-28,18.564617156982422
2004-07-29,18.526500701904297
2004-07-30,18.907705307006836
2004-08-02,19.117372512817383
2004-08-03,19.117372512817383
2004-08-04,18.75522232055664
2004-08-05,18.98394203186035
2004-08-06,19.09830665588379
2004-08-09,18.888641357421875
2004-08-10,18.92676544189453
2004-08-11,18.46932601928711
2004-08-12,18.240596771240234
2004-08-13,18.20247459411621
2004-08-16,18.240596771240234
2004-08-17,18.602739334106445
2004-08-18,18.126235961914062
2004-08-19,18.164356231689453
2004-08-20,18.22153663635254
2004-08-23,17.668790817260742
2004-08-24,18.98394203186035
2004-08-25,20.14661407470703
2004-08-26,19.917898178100586
2004-08-27,19.82259178161621
2004-08-30,20.01319694519043
2004-08-31,20.71841812133789
2004-09-01,20.375337600708008
2004-09-02,21.49989128112793
2004-09-03,21.823909759521484
