Date,ITCHOTELS
2025-01-29,170.73060607910156
2025-01-30,162.18661499023438
2025-01-31,161.88856506347656
2025-02-03,170.2835235595703
2025-02-04,162.67343139648438
2025-02-05,167.4222869873047
2025-02-06,170.98890686035156
2025-02-07,171.52537536621094
2025-02-10,178.11219787597656
2025-02-11,169.50860595703125
2025-02-12,173.5222930908203
2025-02-13,168.75355529785156
2025-02-14,163.5973663330078
2025-02-17,167.54150390625
2025-02-18,165.0876007080078
2025-02-19,163.5377655029297
2025-02-20,164.16366577148438
2025-02-21,161.650146484375
2025-02-24,159.39492797851562
2025-02-25,160.2791290283203
2025-02-27,160.88514709472656
2025-02-28,162.7429656982422
2025-03-03,160.44801330566406
2025-03-04,161.8686981201172
2025-03-05,172.63809204101562
2025-03-06,173.06529235839844
2025-03-07,172.07180786132812
2025-03-10,168.2766876220703
2025-03-11,167.31300354003906
2025-03-12,168.1674041748047
2025-03-13,165.64395141601562
2025-03-17,166.33938598632812
2025-03-18,166.33938598632812
2025-03-19,182.99021911621094
2025-03-20,182.04641723632812
2025-03-21,197.59446716308594
2025-03-24,194.2066650390625
2025-03-25,194.8325653076172
2025-03-26,189.77572631835938
2025-03-27,193.34234619140625
2025-03-28,196.22344970703125
2025-04-01,209.00962829589844
2025-04-02,205.08534240722656
2025-04-03,205.64170837402344
2025-04-04,199.114501953125
2025-04-07,194.47491455078125
2025-04-08,191.47457885742188
2025-04-09,190.77914428710938
2025-04-11,198.8164520263672
2025-04-15,200.18746948242188
2025-04-16,198.91580200195312
2025-04-17,199.39266967773438
2025-04-21,202.77053833007812
2025-04-22,203.7043914794922
2025-04-23,198.57801818847656
2025-04-24,199.07476806640625
2025-04-25,193.9086151123047
2025-04-28,196.56124877929688
2025-04-29,197.20700073242188
2025-04-30,193.16351318359375
2025-05-02,192.120361328125
2025-05-05,196.42214965820312
2025-05-06,190.99771118164062
2025-05-07,190.29232788085938
2025-05-08,185.26528930664062
2025-05-09,181.75828552246094
2025-05-12,197.00831604003906
2025-05-13,197.0579833984375
2025-05-14,200.62460327148438
2025-05-15,199.76026916503906
2025-05-16,201.44918823242188
2025-05-19,201.50880432128906
2025-05-20,199.0548858642578
2025-05-21,203.27720642089844
2025-05-22,213.6790008544922
2025-05-23,213.63925170898438
2025-05-26,213.56971740722656
2025-05-27,211.9602813720703
2025-05-28,205.65164184570312
