Date,AADHARHFC
2024-05-15,329.45001220703125
2024-05-16,361.1000061035156
2024-05-17,351.1499938964844
2024-05-21,342.70001220703125
2024-05-22,343.3500061035156
2024-05-23,333.3500061035156
2024-05-24,341.8999938964844
2024-05-27,340.3500061035156
2024-05-28,331.3999938964844
2024-05-29,338.79998779296875
2024-05-30,340.04998779296875
2024-05-31,343.5
2024-06-03,347.8999938964844
2024-06-04,334.8999938964844
2024-06-05,339.20001220703125
2024-06-06,346.1000061035156
2024-06-07,366.20001220703125
2024-06-10,385.54998779296875
2024-06-11,380.1000061035156
2024-06-12,390.75
2024-06-13,395.5
2024-06-14,420.1499938964844
2024-06-18,413.8500061035156
2024-06-19,402.75
2024-06-20,397.25
2024-06-21,396.20001220703125
2024-06-24,388.20001220703125
2024-06-25,390.29998779296875
2024-06-26,407.75
2024-06-27,413.1499938964844
2024-06-28,408.75
2024-07-01,418.8500061035156
2024-07-02,422.6000061035156
2024-07-03,440.04998779296875
2024-07-04,438.1000061035156
2024-07-05,435.3500061035156
2024-07-08,431.79998779296875
2024-07-09,429.54998779296875
2024-07-10,419.8999938964844
2024-07-11,426.25
2024-07-12,438.79998779296875
2024-07-15,445.8500061035156
2024-07-16,457.04998779296875
2024-07-18,465.8999938964844
2024-07-19,450.3999938964844
2024-07-22,476.8500061035156
2024-07-23,460.04998779296875
2024-07-24,461.8500061035156
2024-07-25,447.1499938964844
2024-07-26,443.6499938964844
2024-07-29,459.1499938964844
2024-07-30,452.5
2024-07-31,446.45001220703125
2024-08-01,439.70001220703125
2024-08-02,427.1499938964844
2024-08-05,406.8999938964844
2024-08-06,402.3999938964844
2024-08-07,412.70001220703125
2024-08-08,418.45001220703125
2024-08-09,427.29998779296875
2024-08-12,421.75
2024-08-13,400.25
2024-08-14,385.5
2024-08-16,394.3999938964844
2024-08-19,393.95001220703125
2024-08-20,391.20001220703125
2024-08-21,405.1499938964844
2024-08-22,407.45001220703125
2024-08-23,400.6499938964844
2024-08-26,397.6000061035156
2024-08-27,397.25
2024-08-28,386.70001220703125
2024-08-29,383.8999938964844
2024-08-30,384.45001220703125
2024-09-02,389.79998779296875
2024-09-03,418.95001220703125
2024-09-04,416.5
2024-09-05,433.6499938964844
2024-09-06,443.45001220703125
2024-09-09,428.3999938964844
2024-09-10,437.20001220703125
2024-09-11,436.70001220703125
2024-09-12,457.79998779296875
2024-09-13,462.79998779296875
2024-09-16,466.6000061035156
2024-09-17,455.5
2024-09-18,457.54998779296875
2024-09-19,459.70001220703125
2024-09-20,464.25
2024-09-23,498.8999938964844
2024-09-24,510.45001220703125
2024-09-25,506.95001220703125
2024-09-26,479.6499938964844
2024-09-27,488.3500061035156
2024-09-30,469.25
2024-10-01,458.04998779296875
2024-10-03,443.3999938964844
2024-10-04,435.5
2024-10-07,428.1499938964844
2024-10-08,449.04998779296875
2024-10-09,439.3999938964844
2024-10-10,440.70001220703125
2024-10-11,440.8999938964844
2024-10-14,444.95001220703125
2024-10-15,458.5
2024-10-16,446.75
2024-10-17,437.70001220703125
2024-10-18,439.04998779296875
2024-10-21,430.04998779296875
