Date,SHOPERSTOP
2005-05-23,170.75967407226562
2005-05-24,161.4542999267578
2005-05-25,163.5221710205078
2005-05-26,163.93577575683594
2005-05-27,170.00144958496094
2005-05-30,177.49172973632812
2005-05-31,177.35385131835938
2005-06-01,178.87030029296875
2005-06-02,177.1700897216797
2005-06-03,177.28492736816406
2005-06-06,176.5726776123047
2005-06-07,177.0781707763672
2005-06-08,177.652587890625
2005-06-09,181.83425903320312
2005-06-10,178.61758422851562
2005-06-13,178.29591369628906
2005-06-14,175.60768127441406
2005-06-15,173.103271484375
2005-06-16,172.89646911621094
2005-06-17,169.74874877929688
2005-06-20,167.24432373046875
2005-06-21,168.37017822265625
2005-06-22,168.32420349121094
2005-06-23,167.7498016357422
2005-06-24,165.49810791015625
2005-06-27,161.29345703125
2005-06-28,163.1085968017578
2005-06-29,165.1764678955078
2005-06-30,165.70489501953125
2005-07-01,163.5451202392578
2005-07-04,164.1425018310547
2005-07-05,161.500244140625
2005-07-06,161.8448486328125
2005-07-07,161.13262939453125
2005-07-08,165.19943237304688
2005-07-11,163.68299865722656
2005-07-12,165.58999633789062
2005-07-13,164.41822814941406
2005-07-14,162.327392578125
2005-07-15,159.86891174316406
2005-07-18,157.8010711669922
2005-07-19,162.05166625976562
2005-07-20,161.82191467285156
2005-07-21,161.93679809570312
2005-07-22,162.51119995117188
2005-07-25,165.45216369628906
2005-07-26,167.7498016357422
2005-07-27,163.6140594482422
2005-07-28,172.81735229492188
2005-07-29,163.66006469726562
2005-08-01,161.7759552001953
2005-08-02,167.6119384765625
2005-08-03,166.14144897460938
2005-08-04,163.56809997558594
2005-08-05,164.5101318359375
2005-08-08,164.6479949951172
2005-08-09,163.63705444335938
2005-08-10,164.94668579101562
2005-08-11,166.18739318847656
2005-08-12,177.72149658203125
2005-08-16,176.15908813476562
2005-08-17,172.89646911621094
2005-08-18,170.8056182861328
2005-08-19,170.92050170898438
2005-08-22,170.3231201171875
2005-08-23,167.24432373046875
2005-08-24,165.61300659179688
2005-08-25,163.26942443847656
2005-08-26,166.3941650390625
2005-08-29,165.52110290527344
2005-08-30,165.88873291015625
2005-08-31,165.56703186035156
2005-09-01,167.12939453125
2005-09-02,165.42919921875
2005-09-05,166.899658203125
2005-09-06,168.57691955566406
2005-09-08,169.1973114013672
2005-09-09,169.24325561523438
2005-09-12,167.29029846191406
2005-09-13,166.8307342529297
2005-09-14,167.29029846191406
2005-09-15,168.50799560546875
2005-09-16,168.5998992919922
2005-09-19,171.35707092285156
2005-09-20,172.66673278808594
2005-09-21,170.25421142578125
2005-09-22,164.92372131347656
2005-09-23,167.26730346679688
2005-09-26,168.4160919189453
2005-09-27,170.55288696289062
2005-09-28,170.57586669921875
2005-09-29,166.7388153076172
2005-09-30,172.68971252441406
2005-10-03,173.83848571777344
2005-10-04,177.72149658203125
2005-10-05,176.96324157714844
2005-10-06,177.35385131835938
2005-10-07,176.15908813476562
2005-10-10,177.05516052246094
2005-10-11,176.82542419433594
2005-10-13,176.0672149658203
2005-10-14,176.71054077148438
2005-10-17,177.05516052246094
2005-10-18,178.04312133789062
2005-10-19,173.35601806640625
2005-10-20,169.8406219482422
2005-10-21,167.19834899902344
2005-10-24,169.15135192871094
2005-10-25,168.76071166992188
2005-10-26,170.1623077392578
2005-10-27,168.73779296875
2005-10-28,168.25527954101562
2005-10-31,171.54086303710938
2005-11-02,171.9544219970703
2005-11-04,171.9544219970703
2005-11-07,172.3450469970703
2005-11-08,172.505859375
2005-11-09,176.91732788085938
2005-11-10,189.60025024414062
2005-11-11,190.4733123779297
2005-11-14,183.94805908203125
2005-11-16,188.1527099609375
2005-11-17,189.2096405029297
2005-11-18,188.84202575683594
2005-11-21,182.5465087890625
2005-11-22,182.615478515625
2005-11-23,183.052001953125
2005-11-24,193.1385498046875
2005-11-25,199.7097930908203
2005-11-28,214.4835205078125
2005-11-29,204.85650634765625
2005-11-30,196.47012329101562
2005-12-01,202.55882263183594
2005-12-02,201.9614715576172
2005-12-05,202.30609130859375
2005-12-06,201.6627655029297
2005-12-07,200.07740783691406
2005-12-08,198.2622833251953
2005-12-09,201.82357788085938
2005-12-12,203.0183563232422
2005-12-13,204.39697265625
2005-12-14,202.26016235351562
2005-12-15,203.2481231689453
2005-12-16,206.5567169189453
2005-12-19,211.91017150878906
2005-12-20,211.91017150878906
2005-12-21,212.23182678222656
2005-12-22,208.09613037109375
2005-12-23,202.21421813964844
2005-12-26,198.1244354248047
2005-12-27,197.45811462402344
2005-12-28,201.6398162841797
2005-12-29,200.3760986328125
2005-12-30,200.445068359375
2006-01-02,200.85861206054688
2006-01-03,200.69775390625
2006-01-04,199.6868438720703
2006-01-05,203.50083923339844
2006-01-06,207.91229248046875
2006-01-09,204.00633239746094
2006-01-10,202.9954071044922
2006-01-12,202.71971130371094
2006-01-13,207.3838348388672
2006-01-16,209.10707092285156
2006-01-17,213.4265899658203
2006-01-18,213.7942352294922
2006-01-19,216.06890869140625
2006-01-20,214.18484497070312
2006-01-23,226.4541778564453
2006-01-24,229.73976135253906
2006-01-25,229.923583984375
2006-01-27,234.3809814453125
2006-01-30,232.26718139648438
2006-01-31,239.5046844482422
2006-02-01,241.43470764160156
2006-02-02,244.78924560546875
2006-02-03,243.87020874023438
2006-02-06,244.85816955566406
2006-02-07,242.62950134277344
2006-02-08,256.0016784667969
2006-02-10,262.0214538574219
2006-02-13,258.2303466796875
2006-02-14,240.12506103515625
2006-02-15,246.71925354003906
2006-02-16,248.14376831054688
2006-02-17,239.27496337890625
2006-02-20,241.54959106445312
2006-02-21,240.79136657714844
2006-02-22,240.7454071044922
2006-02-23,240.7454071044922
2006-02-24,239.32090759277344
2006-02-27,241.3428192138672
2006-02-28,244.12294006347656
2006-03-01,243.84719848632812
2006-03-02,244.16888427734375
2006-03-03,244.99603271484375
2006-03-06,246.3516387939453
2006-03-07,249.03982543945312
2006-03-08,252.83094787597656
2006-03-09,252.6701202392578
2006-03-10,253.03775024414062
2006-03-13,254.85281372070312
2006-03-14,252.7849884033203
2006-03-16,259.5859680175781
2006-03-17,260.22930908203125
2006-03-20,254.16354370117188
2006-03-21,255.05963134765625
2006-03-22,260.25225830078125
