Date,ABFRL
2013-07-17,163.6273956298828
2013-07-18,162.4938507080078
2013-07-19,154.41104125976562
2013-07-22,147.46180725097656
2013-07-23,142.48397827148438
2013-07-24,139.97042846679688
2013-07-25,133.711181640625
2013-07-26,140.36471557617188
2013-07-29,139.37899780273438
2013-07-30,143.9132537841797
2013-07-31,151.99606323242188
2013-08-01,159.0438690185547
2013-08-02,153.12962341308594
2013-08-05,156.48101806640625
2013-08-06,145.39181518554688
2013-08-07,145.2439727783203
2013-08-08,141.9911346435547
2013-08-12,142.33612060546875
2013-08-13,146.131103515625
2013-08-14,150.22178649902344
2013-08-16,141.49827575683594
2013-08-19,137.604736328125
2013-08-20,137.55545043945312
2013-08-21,137.0133056640625
2013-08-22,134.54904174804688
2013-08-23,128.93051147460938
2013-08-26,133.95761108398438
2013-08-27,130.26121520996094
2013-08-28,131.14834594726562
2013-08-29,128.289794921875
2013-08-30,125.18482208251953
2013-09-02,124.39625549316406
2013-09-03,122.76983642578125
2013-09-04,124.10054016113281
2013-09-05,123.55840301513672
2013-09-06,121.53770446777344
2013-09-10,127.40266418457031
2013-09-11,123.65697479248047
2013-09-12,122.96697998046875
2013-09-13,122.27698516845703
2013-09-16,119.86199951171875
2013-09-17,117.29916381835938
2013-09-18,116.90487670898438
2013-09-19,118.82701110839844
2013-09-20,116.46131134033203
2013-09-23,114.09561157226562
2013-09-24,116.41202545166016
2013-09-25,112.56776428222656
2013-09-26,118.13701629638672
2013-09-27,115.22917938232422
2013-09-30,110.15278625488281
2013-10-01,106.40709686279297
2013-10-03,114.8841781616211
2013-10-04,109.95564270019531
2013-10-07,110.00492858886719
2013-10-08,109.56136322021484
2013-10-09,108.62493896484375
2013-10-10,108.47708129882812
2013-10-11,109.56136322021484
2013-10-14,108.42779541015625
2013-10-15,103.6471176147461
2013-10-17,101.92212677001953
2013-10-18,106.5549545288086
2013-10-21,102.9078369140625
2013-10-22,103.69640350341797
2013-10-23,102.75997924804688
2013-10-24,100.64070892333984
2013-10-25,102.06998443603516
2013-10-28,101.18284606933594
2013-10-29,100.29571533203125
2013-10-30,100.64070892333984
2013-10-31,99.8028564453125
2013-11-01,96.79644775390625
2013-11-05,96.50074005126953
2013-11-06,96.79644775390625
2013-11-07,93.88861846923828
2013-11-08,90.83292388916016
2013-11-11,87.77722930908203
2013-11-12,83.2922592163086
2013-11-13,80.43370819091797
2013-11-14,82.60226440429688
2013-11-18,81.51799011230469
2013-11-19,79.34943389892578
2013-11-20,81.56727600097656
2013-11-21,80.13800048828125
2013-11-22,78.75801086425781
2013-11-25,77.23016357421875
2013-11-26,76.04730987548828
