Date,PREMIERENE
2024-09-03,838.2406005859375
2024-09-04,840.236572265625
2024-09-05,1002.814697265625
2024-09-06,1093.884521484375
2024-09-09,1206.261962890625
2024-09-10,1171.3809814453125
2024-09-11,1095.9302978515625
2024-09-12,1130.262451171875
2024-09-13,1109.95263671875
2024-09-16,1107.6571044921875
2024-09-17,1111.100341796875
2024-09-18,1132.607666015625
2024-09-19,1096.9283447265625
2024-09-20,1107.0084228515625
2024-09-23,1088.74462890625
2024-09-24,1074.9718017578125
2024-09-25,1034.30224609375
2024-09-26,1047.2767333984375
2024-09-27,1049.5721435546875
2024-09-30,1080.7603759765625
2024-10-01,1107.158203125
2024-10-03,1078.315185546875
2024-10-04,1045.33056640625
2024-10-07,995.2296752929688
2024-10-08,1012.2959594726562
2024-10-09,1076.9180908203125
2024-10-10,1103.5152587890625
2024-10-11,1105.2120361328125
2024-10-14,1131.3603515625
2024-10-15,1145.981201171875
2024-10-16,1133.106689453125
2024-10-17,1081.9581298828125
2024-10-18,1092.4871826171875
2024-10-21,1040.24072265625
2024-10-22,995.6788940429688
2024-10-23,996.87646484375
2024-10-24,976.4169921875
2024-10-25,943.1827392578125
2024-10-28,958.3527221679688
2024-10-29,950.8675537109375
2024-10-30,999.6710205078125
2024-10-31,1019.1823120117188
2024-11-01,1073.8240966796875
2024-11-04,1073.5247802734375
2024-11-05,1165.842041015625
2024-11-06,1186.75048828125
2024-11-07,1090.9403076171875
2024-11-08,1125.721435546875
2024-11-11,1038.5439453125
2024-11-12,1026.61767578125
2024-11-13,980.7583618164062
2024-11-14,967.0355834960938
2024-11-18,1082.9560546875
2024-11-19,1091.638916015625
2024-11-21,1083.3052978515625
2024-11-22,1059.302978515625
2024-11-25,1093.734619140625
2024-11-26,1098.6749267578125
2024-11-27,1108.804931640625
2024-11-28,1135.2025146484375
2024-11-29,1220.53369140625
2024-12-02,1241.24267578125
2024-12-03,1212.3997802734375
2024-12-04,1282.0618896484375
2024-12-05,1270.8839111328125
2024-12-06,1261.253173828125
2024-12-09,1289.048095703125
2024-12-10,1278.7684326171875
2024-12-11,1326.5238037109375
2024-12-12,1304.7669677734375
2024-12-13,1292.2916259765625
2024-12-16,1370.7862548828125
2024-12-17,1321.3341064453125
2024-12-18,1287.9501953125
2024-12-19,1292.840576171875
2024-12-20,1293.8385009765625
2024-12-23,1319.03857421875
2024-12-24,1317.5914306640625
2024-12-26,1283.4091796875
2024-12-27,1307.7611083984375
