Date,DIXON
2017-09-18,574.9661865234375
2017-09-19,575.1550903320312
2017-09-20,558.1241455078125
2017-09-21,549.6732788085938
2017-09-22,528.8544311523438
2017-09-25,519.5286865234375
2017-09-26,523.94287109375
2017-09-27,516.9535522460938
2017-09-28,523.7343139648438
2017-09-29,526.6869506835938
2017-10-03,536.0625
2017-10-04,541.4113159179688
2017-10-05,536.3110961914062
2017-10-06,532.3441772460938
2017-10-09,523.286865234375
2017-10-10,529.4708251953125
2017-10-11,530.4053344726562
2017-10-12,545.3683471679688
2017-10-13,543.6484375
2017-10-16,531.2802734375
2017-10-17,527.1642456054688
2017-10-18,529.4609375
2017-10-19,527.9000244140625
2017-10-23,528.1187133789062
2017-10-24,548.8679809570312
2017-10-25,550.428955078125
2017-10-26,547.6649780273438
2017-10-27,544.2946166992188
2017-10-30,544.1753540039062
2017-10-31,541.7095947265625
2017-11-01,539.323486328125
2017-11-02,537.6731567382812
2017-11-03,534.5612182617188
2017-11-06,535.3666381835938
2017-11-07,530.435302734375
2017-11-08,533.5471801757812
2017-11-09,532.4237060546875
2017-11-10,535.9431762695312
2017-11-13,537.8421020507812
2017-11-14,543.0816040039062
2017-11-15,534.87939453125
2017-11-16,549.5043334960938
2017-11-17,575.46337890625
2017-11-20,619.7955322265625
2017-11-21,614.0489501953125
2017-11-22,617.6083374023438
2017-11-23,635.5638427734375
2017-11-24,643.2789306640625
2017-11-27,654.9610595703125
2017-11-28,669.0292358398438
2017-11-29,685.5233764648438
2017-11-30,699.85986328125
2017-12-01,676.5256958007812
2017-12-04,674.1593017578125
2017-12-05,674.5570678710938
2017-12-06,683.5845947265625
2017-12-07,697.4141235351562
2017-12-08,700.29736328125
2017-12-11,685.990478515625
2017-12-12,670.2520751953125
2017-12-13,649.2642211914062
2017-12-14,637.234130859375
2017-12-15,635.364990234375
2017-12-18,696.2012939453125
2017-12-19,722.2695922851562
2017-12-20,762.5254516601562
2017-12-21,766.1145629882812
2017-12-22,802.7416381835938
2017-12-26,873.7684936523438
2017-12-27,838.3444213867188
2017-12-28,851.7763671875
2017-12-29,833.3436889648438
2018-01-01,832.6675415039062
2018-01-02,822.6359252929688
2018-01-03,835.2327270507812
2018-01-04,820.7071533203125
2018-01-05,808.935546875
2018-01-08,811.9083251953125
2018-01-09,805.237060546875
2018-01-10,800.703369140625
2018-01-11,775.6392211914062
2018-01-12,764.484130859375
2018-01-15,755.1087036132812
2018-01-16,736.4469604492188
2018-01-17,724.5861206054688
2018-01-18,754.52197265625
2018-01-19,761.6007690429688
2018-01-22,760.5469360351562
2018-01-23,753.7564697265625
2018-01-24,747.2742309570312
2018-01-25,758.3198852539062
2018-01-29,752.3944702148438
2018-01-30,753.0804443359375
2018-01-31,745.733154296875
2018-02-01,760.6861572265625
2018-02-02,733.2855224609375
2018-02-05,735.1943969726562
2018-02-06,720.2413940429688
2018-02-07,765.995361328125
2018-02-08,698.5574340820312
2018-02-09,687.6608276367188
2018-02-12,683.3062744140625
2018-02-14,667.368896484375
2018-02-15,653.1116943359375
2018-02-16,639.31201171875
2018-02-19,627.7193603515625
2018-02-20,619.2288208007812
2018-02-21,642.1455688476562
2018-02-22,649.4034423828125
2018-02-23,653.290771484375
2018-02-26,669.2578735351562
2018-02-27,687.362548828125
2018-02-28,686.9549560546875
2018-03-01,704.5924072265625
2018-03-05,691.2401123046875
2018-03-06,700.1780395507812
2018-03-07,691.0610961914062
2018-03-08,687.2631225585938
2018-03-09,686.3583984375
2018-03-12,687.7900390625
2018-03-13,694.0039672851562
2018-03-14,698.8656005859375
2018-03-15,689.9476318359375
2018-03-16,685.5233764648438
2018-03-19,676.7940063476562
2018-03-20,654.6826782226562
2018-03-21,657.7647705078125
2018-03-22,654.473876953125
2018-03-23,637.1544799804688
2018-03-26,647.216064453125
2018-03-27,649.989990234375
2018-03-28,654.4043579101562
2018-04-02,645.6054077148438
2018-04-03,655.8259887695312
2018-04-04,666.5735473632812
2018-04-05,717.6962280273438
2018-04-06,704.97021484375
2018-04-09,729.5969848632812
2018-04-10,723.1643676757812
2018-04-11,724.7352905273438
2018-04-12,717.1593627929688
2018-04-13,715.3099975585938
2018-04-16,704.3338623046875
2018-04-17,684.3997802734375
2018-04-18,686.2291870117188
2018-04-19,682.0634155273438
2018-04-20,675.0045166015625
2018-04-23,679.2398681640625
2018-04-24,681.9341430664062
2018-04-25,674.8156127929688
2018-04-26,686.9649047851562
2018-04-27,688.6351318359375
2018-04-30,720.708740234375
2018-05-02,693.85498046875
2018-05-03,681.1486206054688
2018-05-04,720.947265625
2018-05-07,730.0244750976562
2018-05-08,730.1834716796875
2018-05-09,734.1007690429688
2018-05-10,728.2050170898438
2018-05-11,717.5968017578125
2018-05-14,729.795654296875
2018-05-15,723.3433227539062
2018-05-16,725.8786010742188
2018-05-17,720.5098266601562
2018-05-18,705.9544677734375
2018-05-21,689.8182373046875
2018-05-22,689.9176635742188
2018-05-23,674.3582153320312
2018-05-24,676.8536376953125
2018-05-25,679.279541015625
