Date,IDBI
1996-01-01,25.992679595947266
1996-01-02,25.633739471435547
1996-01-03,25.683246612548828
1996-01-04,25.237651824951172
1996-01-05,25.29954719543457
1996-01-08,24.928220748901367
1996-01-09,24.866334915161133
1996-01-10,24.594030380249023
1996-01-11,24.60640525817871
1996-01-12,24.742557525634766
1996-01-15,24.75493621826172
1996-01-16,24.07417106628418
1996-01-17,23.82662582397461
1996-01-18,23.45530891418457
1996-01-19,22.86118507385254
1996-01-22,22.465106964111328
1996-01-23,22.539369583129883
1996-01-24,22.341333389282227
1996-01-25,22.378459930419922
1996-01-26,22.378459930419922
1996-01-29,22.353708267211914
1996-01-30,22.55174446105957
1996-01-31,22.774539947509766
1996-02-01,22.82404899597168
1996-02-02,23.665714263916016
1996-02-05,24.012290954589844
1996-02-06,25.051990509033203
1996-02-07,25.41094207763672
1996-02-08,26.74770736694336
1996-02-09,30.980804443359375
1996-02-12,29.111806869506836
1996-02-13,29.384111404418945
1996-02-14,30.188648223876953
1996-02-15,29.730680465698242
1996-02-16,29.13655662536621
1996-02-19,29.260337829589844
1996-02-20,27.82455062866211
1996-02-21,27.82455062866211
1996-02-22,28.208253860473633
1996-02-23,28.084474563598633
1996-02-26,28.492938995361328
1996-02-27,28.381532669067383
1996-02-28,28.319652557373047
1996-02-29,27.539859771728516
1996-03-01,27.403709411621094
1996-03-04,26.970502853393555
1996-03-05,26.970502853393555
1996-03-06,26.834346771240234
1996-03-07,26.574432373046875
1996-03-08,26.252614974975586
1996-03-11,26.091703414916992
1996-03-12,25.53471565246582
1996-03-13,26.1783447265625
1996-03-14,26.500160217285156
1996-03-15,26.017436981201172
1996-03-18,25.089128494262695
1996-03-19,24.730182647705078
1996-03-20,24.730182647705078
1996-03-21,25.75751495361328
1996-03-22,25.21289825439453
1996-03-25,25.485206604003906
1996-03-26,25.94316864013672
1996-03-27,26.141212463378906
1996-03-28,26.74770736694336
1996-03-29,26.43827247619629
1996-04-01,26.43827247619629
1996-04-02,26.43827247619629
1996-04-03,26.43827247619629
1996-04-04,26.43827247619629
