Date,HATSUN
2014-06-20,121.48497009277344
2014-06-23,122.73593139648438
2014-06-24,117.0948257446289
2014-06-25,120.49368286132812
2014-06-26,125.9931869506836
2014-06-27,125.3322982788086
2014-06-30,127.4802017211914
2014-07-01,132.15359497070312
2014-07-02,130.9498291015625
2014-07-03,128.37709045410156
2014-07-04,132.3896484375
2014-07-07,132.2008056640625
2014-07-08,128.66029357910156
2014-07-09,127.5037612915039
2014-07-10,128.28269958496094
2014-07-11,128.1646728515625
2014-07-14,127.90505981445312
2014-07-15,132.17718505859375
2014-07-16,133.35736083984375
2014-07-17,133.23931884765625
2014-07-18,132.83804321289062
2014-07-21,130.5249786376953
2014-07-22,133.0977325439453
2014-07-23,128.42428588867188
2014-07-24,127.6926040649414
2014-07-25,131.5871124267578
2014-07-28,129.81686401367188
2014-07-30,128.18824768066406
2014-07-31,129.81686401367188
2014-08-01,132.01194763183594
2014-08-04,135.85928344726562
2014-08-05,136.89776611328125
2014-08-06,134.86795043945312
2014-08-07,133.21571350097656
2014-08-08,132.2008056640625
2014-08-11,133.07408142089844
2014-08-12,135.7176055908203
2014-08-13,136.3549346923828
2014-08-14,135.29278564453125
2014-08-18,133.42816162109375
2014-08-19,133.97105407714844
2014-08-20,130.59579467773438
2014-08-21,131.35105895996094
2014-08-22,128.919921875
2014-08-25,132.0591583251953
2014-08-26,132.17718505859375
2014-08-27,131.51629638671875
2014-08-28,130.59579467773438
2014-09-01,132.76724243164062
2014-09-02,132.2480010986328
2014-09-03,133.99464416503906
2014-09-04,134.01824951171875
2014-09-05,132.17718505859375
2014-09-08,132.12998962402344
2014-09-09,132.2952117919922
2014-09-10,134.4194793701172
2014-09-11,139.49412536621094
2014-09-12,136.2368927001953
2014-09-15,141.76007080078125
2014-09-16,139.30531311035156
2014-09-17,143.90792846679688
2014-09-18,162.15310668945312
2014-09-19,173.3173370361328
2014-09-22,172.75082397460938
2014-09-23,157.45606994628906
2014-09-24,155.3790283203125
2014-09-25,154.05723571777344
2014-09-26,155.2846221923828
2014-09-29,152.85348510742188
2014-09-30,152.02737426757812
2014-10-01,151.76773071289062
2014-10-07,146.3862762451172
2014-10-08,143.43585205078125
2014-10-09,145.9849853515625
2014-10-10,142.82217407226562
2014-10-13,139.9898223876953
2014-10-14,143.50665283203125
2014-10-15,143.50665283203125
2014-10-16,141.99607849121094
2014-10-17,141.3115997314453
2014-10-20,142.51528930664062
2014-10-21,142.49171447753906
2014-10-22,141.78367614746094
2014-10-27,144.23837280273438
2014-10-28,151.2012481689453
2014-10-29,149.05335998535156
2014-10-30,147.47198486328125
2014-10-31,146.59864807128906
2014-11-03,143.57748413085938
2014-11-05,142.3737335205078
2014-11-07,141.7128448486328
2014-11-10,142.4445037841797
2014-11-11,145.08807373046875
2014-11-12,145.58375549316406
2014-11-13,144.5688018798828
2014-11-14,145.7489471435547
2014-11-17,147.77880859375
2014-11-18,145.51292419433594
2014-11-19,146.62229919433594
2014-11-20,145.81976318359375
2014-11-21,145.8669891357422
2014-11-24,146.74029541015625
2014-11-25,144.6160125732422
2014-11-26,145.7489471435547
2014-11-27,144.28555297851562
2014-11-28,144.9464569091797
2014-12-01,145.7489471435547
2014-12-02,146.50424194335938
2014-12-03,157.52687072753906
2014-12-04,158.2113800048828
2014-12-05,155.85105895996094
2014-12-08,148.7701416015625
2014-12-09,145.4656982421875
2014-12-10,146.6930694580078
2014-12-11,143.57748413085938
2014-12-12,143.9787139892578
2014-12-15,147.7316131591797
2014-12-16,144.12034606933594
2014-12-17,144.04949951171875
2014-12-18,145.11167907714844
2014-12-19,146.3862762451172
2014-12-22,149.3838348388672
2014-12-23,145.2532958984375
2014-12-24,145.30050659179688
2014-12-26,147.7316131591797
2014-12-29,147.87319946289062
2014-12-30,148.01483154296875
2014-12-31,147.18878173828125
2015-01-01,146.40982055664062
2015-01-02,151.083251953125
2015-01-05,149.3838348388672
2015-01-06,145.58375549316406
2015-01-07,146.57505798339844
2015-01-08,146.97630310058594
2015-01-09,151.7913360595703
2015-01-12,147.92041015625
2015-01-13,146.8819122314453
2015-01-14,148.32168579101562
2015-01-15,150.6583709716797
2015-01-16,149.50184631347656
2015-01-19,149.17138671875
2015-01-20,151.0596466064453
2015-01-21,151.31924438476562
2015-01-22,155.40260314941406
2015-01-23,159.297119140625
2015-01-27,157.76290893554688
2015-01-28,152.68826293945312
2015-01-29,151.7896728515625
2015-01-30,151.76600646972656
2015-02-02,154.8401336669922
2015-02-03,151.41131591796875
2015-02-04,152.78282165527344
2015-02-05,151.93153381347656
2015-02-06,151.50592041015625
2015-02-09,150.46542358398438
2015-02-10,151.36402893066406
2015-02-11,153.1138916015625
2015-02-12,151.41131591796875
2015-02-13,150.39450073242188
2015-02-16,149.04661560058594
2015-02-18,148.71554565429688
2015-02-19,148.97569274902344
2015-02-20,149.21212768554688
2015-02-23,148.9993133544922
2015-02-24,149.02296447753906
2015-02-25,149.49588012695312
2015-02-26,148.97569274902344
2015-02-27,148.97569274902344
2015-03-02,149.51954650878906
2015-03-03,149.7087860107422
2015-03-04,149.4486083984375
2015-03-05,149.49588012695312
2015-03-09,149.543212890625
2015-03-10,149.8269805908203
2015-03-11,148.52639770507812
2015-03-12,149.4486083984375
2015-03-13,149.4722900390625
2015-03-16,148.9993133544922
2015-03-17,149.51954650878906
2015-03-18,149.4486083984375
2015-03-19,149.4486083984375
2015-03-20,149.4486083984375
2015-03-23,149.4486083984375
2015-03-24,149.4486083984375
2015-03-25,149.4486083984375
2015-03-26,151.26942443847656
2015-03-27,149.4486083984375
2015-03-30,149.5905303955078
2015-03-31,149.4722900390625
2015-04-01,150.63095092773438
2015-04-06,149.7323760986328
2015-04-07,149.4722900390625
2015-04-08,149.16485595703125
2015-04-09,149.4486083984375
2015-04-10,149.4722900390625
2015-04-13,149.4486083984375
2015-04-15,149.543212890625
2015-04-16,149.4722900390625
2015-04-17,151.10391235351562
2015-04-20,149.4486083984375
2015-04-21,149.56686401367188
2015-04-22,150.3472137451172
2015-04-23,150.5836944580078
2015-04-24,149.9215545654297
2015-04-27,150.039794921875
2015-04-28,150.1343994140625
2015-04-29,149.9215545654297
2015-04-30,149.4486083984375
2015-05-04,150.27626037597656
2015-05-05,149.9688720703125
2015-05-06,149.9215545654297
2015-05-07,149.5905303955078
2015-05-08,153.32672119140625
2015-05-11,150.1816864013672
2015-05-12,149.94522094726562
2015-05-13,149.4722900390625
2015-05-14,149.94522094726562
2015-05-15,149.9215545654297
2015-05-18,149.49588012695312
2015-05-19,149.8506317138672
2015-05-20,149.9215545654297
2015-05-21,149.21212768554688
2015-05-22,149.94522094726562
2015-05-25,149.9215545654297
2015-05-26,150.41815185546875
2015-05-27,161.79229736328125
2015-05-28,151.26942443847656
2015-05-29,150.039794921875
2015-06-01,150.39450073242188
2015-06-02,150.8201904296875
2015-06-03,149.9215545654297
2015-06-04,151.34576416015625
2015-06-05,150.7523651123047
2015-06-08,150.7523651123047
2015-06-09,150.5387420654297
2015-06-10,151.96295166015625
2015-06-11,150.7523651123047
2015-06-12,150.84730529785156
2015-06-15,151.93917846679688
2015-06-16,153.956787109375
2015-06-17,161.196533203125
2015-06-18,160.10464477539062
2015-06-19,156.25930786132812
2015-06-22,159.0602264404297
2015-06-23,160.460693359375
2015-06-24,160.31825256347656
2015-06-25,159.46372985839844
2015-06-26,159.7960662841797
2015-06-29,165.46917724609375
2015-06-30,167.15447998046875
2015-07-01,175.24871826171875
2015-07-02,170.5725860595703
2015-07-03,169.64686584472656
2015-07-06,167.89028930664062
