Date,APLLTD
2011-09-20,37.999507904052734
2011-09-21,39.79115295410156
2011-09-22,39.1245002746582
2011-09-23,38.7495002746582
2011-09-26,36.83285903930664
2011-09-27,35.874534606933594
2011-09-28,34.832881927490234
2011-09-29,35.41621017456055
2011-09-30,35.2078742980957
2011-10-03,34.374549865722656
2011-10-04,34.74955368041992
2011-10-05,34.207889556884766
2011-10-07,35.08287811279297
2011-10-10,34.291221618652344
2011-10-11,33.916236877441406
2011-10-12,34.12455749511719
2011-10-13,33.916236877441406
2011-10-14,33.707908630371094
2011-10-17,33.99955749511719
2011-10-18,34.04122543334961
2011-10-19,37.83285140991211
2011-10-20,38.20784378051758
2011-10-21,38.08283996582031
2011-10-24,37.54118728637695
2011-10-25,37.37451171875
2011-10-28,37.79117965698242
2011-10-31,37.41617965698242
2011-11-01,36.70785903930664
2011-11-02,36.12453079223633
2011-11-03,36.79119110107422
2011-11-04,38.166175842285156
2011-11-08,40.33281326293945
2011-11-09,39.49949264526367
2011-11-11,38.166175842285156
2011-11-14,37.41617965698242
2011-11-15,36.457862854003906
2011-11-16,35.499542236328125
2011-11-17,35.12454605102539
2011-11-18,33.87455749511719
2011-11-21,33.99955749511719
2011-11-22,33.249576568603516
2011-11-23,32.6662483215332
2011-11-24,33.41623306274414
2011-11-25,33.832889556884766
2011-11-28,34.291221618652344
2011-11-29,34.49956130981445
2011-11-30,34.41622543334961
2011-12-01,33.87455749511719
2011-12-02,35.2078742980957
2011-12-05,35.37454605102539
2011-12-07,34.08289337158203
2011-12-08,32.874576568603516
2011-12-09,32.83291244506836
2011-12-12,32.33291244506836
2011-12-13,33.29123306274414
2011-12-14,32.08292007446289
2011-12-15,33.249576568603516
2011-12-16,32.74957275390625
2011-12-19,32.24958038330078
2011-12-20,32.41625213623047
2011-12-21,31.249591827392578
2011-12-22,30.874595642089844
2011-12-23,30.666271209716797
2011-12-26,30.416269302368164
2011-12-27,30.374614715576172
2011-12-28,30.499601364135742
2011-12-29,30.124608993530273
2011-12-30,29.541288375854492
2012-01-02,29.20795440673828
2012-01-03,30.041276931762695
2012-01-04,29.874616622924805
2012-01-05,30.041276931762695
2012-01-06,30.082942962646484
2012-01-09,30.70792579650879
2012-01-10,31.541257858276367
2012-01-11,31.666259765625
2012-01-12,31.374601364135742
2012-01-13,31.707921981811523
2012-01-16,31.666259765625
2012-01-17,31.62459373474121
2012-01-18,31.416261672973633
2012-01-19,31.666259765625
2012-01-20,31.332929611206055
2012-01-23,31.332929611206055
2012-01-24,31.249591827392578
2012-01-25,31.707921981811523
2012-01-27,32.29124450683594
2012-01-30,31.666259765625
2012-01-31,31.7912540435791
2012-02-01,32.624576568603516
2012-02-02,33.54123306274414
2012-02-03,34.62455749511719
