Date,HINDCOPPER
2010-01-08,335.2125549316406
2010-01-11,347.40618896484375
2010-01-12,337.6329345703125
2010-01-13,335.30389404296875
2010-01-14,332.8834228515625
2010-01-15,395.0849304199219
2010-01-18,474.138427734375
2010-01-19,558.2156982421875
2010-01-20,558.8549194335938
2010-01-21,506.2897033691406
2010-01-22,556.9368286132812
2010-01-25,559.03759765625
2010-01-27,518.0267333984375
2010-01-28,530.2202758789062
2010-01-29,544.3778076171875
2010-02-01,539.0345458984375
2010-02-02,529.3983764648438
2010-02-03,532.9148559570312
2010-02-04,519.3052978515625
2010-02-05,489.1179504394531
2010-02-06,492.31488037109375
2010-02-08,482.267578125
2010-02-09,530.494384765625
2010-02-10,535.0157470703125
2010-02-11,533.4628295898438
2010-02-15,529.2612915039062
2010-02-16,531.5448608398438
2010-02-17,528.347900390625
2010-02-18,509.85174560546875
2010-02-19,512.592041015625
2010-02-22,488.2046203613281
2010-02-23,486.92596435546875
2010-02-24,480.4408874511719
2010-02-25,481.5826110839844
2010-02-26,482.3132629394531
2010-03-02,486.788818359375
2010-03-03,490.57928466796875
2010-03-04,490.57928466796875
2010-03-05,484.0943603515625
2010-03-08,483.9573669433594
2010-03-09,462.9495544433594
2010-03-10,465.55267333984375
2010-03-11,453.6785888671875
2010-03-12,442.90069580078125
2010-03-15,419.70074462890625
2010-03-16,407.55267333984375
2010-03-17,484.6881103515625
2010-03-18,471.3983154296875
2010-03-19,481.2171325683594
2010-03-22,479.4361877441406
2010-03-23,478.75115966796875
2010-03-25,470.3022766113281
2010-03-26,464.09124755859375
2010-03-29,446.508544921875
2010-03-30,484.1856384277344
2010-03-31,486.83453369140625
2010-04-01,488.5699768066406
2010-04-05,492.1321716308594
2010-04-06,493.2283020019531
2010-04-07,490.48809814453125
2010-04-08,480.85186767578125
2010-04-09,476.4676208496094
2010-04-12,484.45977783203125
2010-04-13,472.9054260253906
2010-04-15,472.58575439453125
2010-04-16,467.2880859375
2010-04-19,454.0439758300781
2010-04-20,482.0392761230469
2010-04-21,474.86920166015625
2010-04-22,471.8550109863281
2010-04-23,467.3794860839844
2010-04-26,468.9779052734375
2010-04-27,465.5982666015625
2010-04-28,447.74169921875
2010-04-29,454.86602783203125
2010-04-30,454.9573669433594
2010-05-03,450.25347900390625
2010-05-04,441.0281982421875
2010-05-05,430.6156921386719
2010-05-06,461.4880676269531
2010-05-07,432.0314025878906
2010-05-10,442.4896240234375
2010-05-11,435.2282409667969
2010-05-12,436.46136474609375
2010-05-13,436.4156494140625
2010-05-14,426.8250427246094
2010-05-17,429.0628967285156
2010-05-18,426.14007568359375
2010-05-19,407.1872863769531
2010-05-20,397.6424560546875
2010-05-21,379.64874267578125
2010-05-24,377.7306213378906
2010-05-25,360.4676208496094
2010-05-26,358.9605712890625
2010-05-27,363.6187744140625
2010-05-28,368.3228454589844
2010-05-31,439.5212097167969
2010-06-01,421.25341796875
2010-06-02,430.9352722167969
2010-06-03,440.5715637207031
2010-06-04,434.95416259765625
2010-06-07,416.6864929199219
2010-06-08,429.9306335449219
2010-06-09,430.5242919921875
2010-06-10,428.33221435546875
2010-06-11,428.56060791015625
2010-06-14,429.24554443359375
2010-06-15,468.20147705078125
2010-06-16,467.5164489746094
2010-06-17,451.577880859375
2010-06-18,451.53216552734375
2010-06-21,451.7148132324219
2010-06-22,450.39044189453125
2010-06-23,450.29913330078125
2010-06-24,451.16680908203125
2010-06-25,446.0975646972656
2010-06-28,446.4172668457031
2010-06-29,438.2880859375
2010-06-30,442.5809631347656
2010-07-01,442.763671875
2010-07-02,444.08807373046875
2010-07-05,442.3526611328125
2010-07-06,443.7226867675781
2010-07-07,438.7904357910156
2010-07-08,438.6077880859375
2010-07-09,434.58880615234375
2010-07-12,432.99041748046875
2010-07-13,432.7164001464844
2010-07-14,435.7306213378906
2010-07-15,431.2093505859375
2010-07-16,428.2408447265625
2010-07-19,441.8959655761719
2010-07-20,438.05975341796875
2010-07-21,438.7447814941406
2010-07-22,436.3699951171875
2010-07-23,431.71173095703125
2010-07-26,421.02508544921875
2010-07-27,421.25341796875
2010-07-28,415.7274475097656
2010-07-29,416.8235168457031
2010-07-30,410.56683349609375
2010-08-02,412.02825927734375
2010-08-03,421.207763671875
2010-08-04,420.15740966796875
2010-08-05,420.5684509277344
2010-08-06,417.3258972167969
2010-08-09,421.6188049316406
2010-08-10,416.914794921875
2010-08-11,412.6676025390625
2010-08-12,409.2881164550781
2010-08-13,414.2660827636719
2010-08-16,407.3243408203125
2010-08-17,404.9494934082031
2010-08-18,404.85821533203125
2010-08-19,410.06451416015625
2010-08-20,405.5888671875
2010-08-23,403.99041748046875
2010-08-24,398.7384948730469
2010-08-25,386.36212158203125
2010-08-26,387.0471496582031
2010-08-27,374.0770263671875
2010-08-30,370.9258728027344
2010-08-31,362.340087890625
2010-09-01,425.40936279296875
2010-09-02,409.1510925292969
2010-09-03,417.28021240234375
2010-09-06,420.15740966796875
2010-09-07,423.8109436035156
2010-09-08,415.4991455078125
2010-09-09,415.6360778808594
2010-09-13,416.8691711425781
2010-09-14,410.11016845703125
2010-09-15,407.96368408203125
2010-09-16,402.3006896972656
2010-09-17,402.8030700683594
2010-09-20,401.8440246582031
2010-09-21,413.0329284667969
2010-09-22,406.2738952636719
2010-09-23,406.41094970703125
2010-09-24,404.675537109375
2010-09-27,404.2187805175781
2010-09-28,405.95428466796875
2010-09-29,403.7164001464844
2010-09-30,402.71173095703125
2010-10-01,406.319580078125
2010-10-04,410.24713134765625
2010-10-05,408.96844482421875
2010-10-06,422.12115478515625
2010-10-07,412.53070068359375
2010-10-08,408.3746643066406
2010-10-11,412.439208984375
2010-10-12,406.6392822265625
2010-10-13,409.1968078613281
2010-10-14,408.466064453125
2010-10-15,405.1321716308594
2010-10-18,403.3967590332031
2010-10-19,402.8487243652344
2010-10-20,397.36834716796875
2010-10-21,400.7936096191406
2010-10-22,398.6928405761719
2010-10-25,399.3321533203125
2010-10-26,400.65655517578125
