Date,GMRP&UI
2022-03-23,45.599998474121094
2022-03-24,43.349998474121094
2022-03-25,41.20000076293945
2022-03-28,39.150001525878906
2022-03-29,37.20000076293945
2022-03-30,35.349998474121094
2022-03-31,33.599998474121094
2022-04-01,31.950000762939453
2022-04-04,30.399999618530273
2022-04-05,28.899999618530273
2022-04-06,27.299999237060547
2022-04-07,24.600000381469727
2022-04-08,23.700000762939453
2022-04-11,26.049999237060547
2022-04-12,28.649999618530273
2022-04-13,31.5
2022-04-18,32.25
2022-04-19,30.950000762939453
2022-04-20,32.45000076293945
2022-04-21,31.049999237060547
2022-04-22,32.599998474121094
2022-04-25,34.20000076293945
2022-04-26,32.5
2022-04-27,31.350000381469727
2022-04-28,31.649999618530273
2022-04-29,30.100000381469727
2022-05-02,30.049999237060547
2022-05-04,28.649999618530273
2022-05-05,29.5
2022-05-06,28.049999237060547
2022-05-09,29.049999237060547
2022-05-10,28.399999618530273
2022-05-11,28.700000762939453
2022-05-12,27.299999237060547
2022-05-13,27.049999237060547
2022-05-16,26.350000381469727
2022-05-17,27.649999618530273
2022-05-18,28.600000381469727
2022-05-19,27.200000762939453
2022-05-20,26.799999237060547
2022-05-23,25.5
2022-05-24,24.25
2022-05-25,23.049999237060547
2022-05-26,22.149999618530273
2022-05-27,21.149999618530273
2022-05-30,21.049999237060547
2022-05-31,20.100000381469727
2022-06-01,21.049999237060547
2022-06-02,20.950000762939453
2022-06-03,19.950000762939453
2022-06-06,20.899999618530273
2022-06-07,21.899999618530273
2022-06-08,21.899999618530273
2022-06-09,22.950000762939453
2022-06-10,24.049999237060547
2022-06-13,24.5
2022-06-14,23.5
2022-06-15,22.399999618530273
2022-06-16,21.299999237060547
2022-06-17,20.25
2022-06-20,19.25
2022-06-21,19.100000381469727
2022-06-22,20.049999237060547
2022-06-23,21.049999237060547
2022-06-24,22.100000381469727
2022-06-27,21.100000381469727
2022-06-28,20.600000381469727
2022-06-29,20.399999618530273
2022-06-30,19.549999237060547
2022-07-01,20.100000381469727
