Date,GMMPFAUDLR
2018-03-05,232.87835693359375
2018-03-06,233.69793701171875
2018-03-07,221.8466033935547
2018-03-08,232.69798278808594
2018-03-09,230.20643615722656
2018-03-12,230.43594360351562
2018-03-13,230.66542053222656
2018-03-14,237.009033203125
2018-03-15,238.68096923828125
2018-03-16,229.4851837158203
2018-03-19,225.42005920410156
2018-03-20,225.10861206054688
2018-03-21,226.14129638671875
2018-03-22,221.78106689453125
2018-03-23,215.92921447753906
2018-03-26,224.53489685058594
2018-03-27,225.0430450439453
2018-03-28,224.63323974609375
2018-04-02,235.23873901367188
2018-04-03,233.84542846679688
2018-04-04,231.8948211669922
2018-04-05,234.84532165527344
2018-04-06,238.5825958251953
2018-04-09,236.55006408691406
2018-04-10,240.0906982421875
2018-04-11,243.36904907226562
2018-04-12,237.7138671875
2018-04-13,239.0579833984375
2018-04-16,235.64852905273438
2018-04-17,244.76239013671875
2018-04-18,244.2870330810547
2018-04-19,239.28750610351562
2018-04-20,240.975830078125
2018-04-23,251.54856872558594
2018-04-24,255.71212768554688
2018-04-25,249.07342529296875
2018-04-26,242.20526123046875
2018-04-27,246.4507293701172
2018-04-30,256.1546936035156
2018-05-02,255.43344116210938
2018-05-03,255.482666015625
2018-05-04,261.25250244140625
2018-05-07,264.5145263671875
2018-05-08,273.9725036621094
2018-05-09,269.44842529296875
2018-05-10,268.8582763671875
2018-05-11,272.12017822265625
2018-05-14,268.8911437988281
2018-05-15,273.0545959472656
2018-05-16,276.8739013671875
2018-05-17,287.84002685546875
2018-05-18,279.03765869140625
2018-05-21,269.7270812988281
2018-05-22,268.53045654296875
2018-05-23,268.3337707519531
2018-05-24,265.2193603515625
2018-05-25,287.1679382324219
2018-05-28,305.5103759765625
2018-05-29,297.6423645019531
2018-05-30,292.4298095703125
2018-05-31,282.28314208984375
2018-06-01,270.4810791015625
2018-06-04,262.2524108886719
2018-06-05,252.3189697265625
2018-06-06,267.874755859375
2018-06-07,268.74359130859375
2018-06-08,265.8094177246094
2018-06-11,275.7920837402344
2018-06-12,276.4641418457031
2018-06-13,277.0213317871094
2018-06-14,279.23431396484375
2018-06-15,288.49566650390625
2018-06-18,281.5947570800781
2018-06-19,272.7760009765625
2018-06-20,275.90679931640625
2018-06-21,274.251220703125
2018-06-22,275.15277099609375
2018-06-25,273.49713134765625
2018-06-26,272.02197265625
2018-06-27,264.13751220703125
2018-06-28,255.92518615722656
2018-06-29,261.4328918457031
2018-07-02,257.4659118652344
2018-07-03,260.2690734863281
2018-07-04,262.44921875
2018-07-05,262.3999328613281
2018-07-06,263.2686767578125
2018-07-09,273.43157958984375
2018-07-10,271.677734375
2018-07-11,271.44818115234375
2018-07-12,271.31707763671875
2018-07-13,272.185791015625
2018-07-16,265.54718017578125
2018-07-17,269.7270812988281
2018-07-18,268.8255920410156
2018-07-19,267.7764587402344
2018-07-20,268.92388916015625
2018-07-23,271.776123046875
2018-07-24,300.7895202636719
2018-07-25,296.82269287109375
2018-07-26,299.3143005371094
2018-07-27,300.36328125
2018-07-30,297.2161560058594
2018-07-31,301.3140869140625
2018-08-01,301.8890075683594
2018-08-02,299.0802001953125
2018-08-03,304.8127746582031
2018-08-06,311.85943603515625
2018-08-07,321.28778076171875
2018-08-08,330.8640441894531
2018-08-09,340.11175537109375
2018-08-10,335.41400146484375
2018-08-13,340.2595520019531
2018-08-14,337.35223388671875
2018-08-16,358.8699645996094
2018-08-17,366.8364562988281
2018-08-20,367.92059326171875
2018-08-21,359.1413879394531
2018-08-23,342.5528869628906
2018-08-24,374.8418884277344
2018-08-27,381.77984619140625
2018-08-28,376.60107421875
2018-08-29,368.82476806640625
2018-08-30,371.340087890625
2018-08-31,363.5473327636719
2018-09-03,368.052001953125
2018-09-04,377.80120849609375
2018-09-05,371.6359558105469
2018-09-06,365.40509033203125
2018-09-07,360.8675537109375
2018-09-10,360.0126647949219
2018-09-11,349.19482421875
2018-09-12,362.08416748046875
2018-09-14,367.8547668457031
2018-09-17,364.15570068359375
2018-09-18,366.3916320800781
2018-09-19,348.6194763183594
2018-09-21,344.8052978515625
2018-09-24,338.75518798828125
2018-09-25,329.3183288574219
2018-09-26,327.9373779296875
2018-09-27,327.8551330566406
2018-09-28,314.0451354980469
2018-10-01,302.4875793457031
2018-10-03,320.0459899902344
2018-10-04,315.7714538574219
2018-10-05,316.0838317871094
2018-10-08,300.64630126953125
2018-10-09,311.36541748046875
2018-10-10,326.1783142089844
2018-10-11,323.21893310546875
2018-10-12,328.4798583984375
2018-10-15,327.8880310058594
2018-10-16,333.5600280761719
2018-10-17,323.366943359375
2018-10-19,326.6878662109375
2018-10-22,315.7056579589844
2018-10-23,306.54833984375
2018-10-24,312.4833984375
2018-10-25,312.1874084472656
2018-10-26,316.2318115234375
2018-10-29,326.3756103515625
2018-10-30,333.21466064453125
2018-10-31,333.872314453125
2018-11-01,349.5226745605469
2018-11-02,353.3241882324219
2018-11-05,351.7607727050781
2018-11-06,358.68896484375
2018-11-07,364.5968933105469
2018-11-09,373.4999694824219
2018-11-12,361.99676513671875
2018-11-13,356.8952331542969
2018-11-14,348.4529724121094
2018-11-15,343.4172058105469
2018-11-16,337.311767578125
2018-11-19,351.7607727050781
2018-11-20,356.3686218261719
2018-11-21,360.8283386230469
2018-11-22,358.03076171875
2018-11-26,362.2107238769531
2018-11-27,354.98626708984375
2018-11-28,354.1964111328125
2018-11-29,352.6329345703125
2018-11-30,353.8178405761719
2018-12-03,354.85467529296875
2018-12-04,352.3695983886719
2018-12-05,353.6532897949219
2018-12-06,359.9233093261719
2018-12-07,360.9601135253906
2018-12-10,353.58740234375
2018-12-11,353.8178405761719
2018-12-12,361.0752258300781
2018-12-13,375.0469665527344
2018-12-14,404.20806884765625
2018-12-17,412.0579833984375
2018-12-18,402.4637145996094
2018-12-19,393.49481201171875
2018-12-20,394.1365966796875
2018-12-21,393.6592712402344
2018-12-24,384.82208251953125
2018-12-26,383.949951171875
2018-12-27,398.7445068359375
2018-12-28,395.25567626953125
2018-12-31,388.67303466796875
2019-01-01,390.6642761230469
2019-01-02,389.8414306640625
2019-01-03,384.9701843261719
2019-01-04,388.4754943847656
2019-01-07,389.90728759765625
2019-01-08,393.75811767578125
2019-01-09,394.4164123535156
2019-01-10,396.01263427734375
2019-01-11,389.4630126953125
2019-01-14,392.8365478515625
2019-01-15,389.18316650390625
2019-01-16,388.4262390136719
2019-01-17,381.9587097167969
2019-01-18,377.76220703125
2019-01-21,372.87469482421875
2019-01-22,373.91143798828125
2019-01-23,368.89215087890625
2019-01-24,359.70928955078125
2019-01-25,357.5369873046875
2019-01-28,335.63323974609375
2019-01-29,354.14703369140625
2019-01-30,357.8332214355469
2019-01-31,360.46630859375
2019-02-01,368.0528259277344
2019-02-04,355.39764404296875
2019-02-05,363.2310485839844
2019-02-06,355.9835510253906
2019-02-07,361.6496887207031
2019-02-08,356.2635803222656
2019-02-11,350.2843933105469
2019-02-12,353.90814208984375
2019-02-14,354.9458923339844
2019-02-15,357.43304443359375
2019-02-18,339.5943298339844
2019-02-19,345.4746398925781
2019-02-20,348.3243103027344
2019-02-21,362.9510498046875
2019-02-22,361.5673522949219
2019-02-25,359.26141357421875
2019-02-26,365.8335266113281
2019-02-27,377.0341491699219
2019-02-28,374.99169921875
2019-03-01,386.900634765625
2019-03-05,386.6372375488281
2019-03-06,386.5547790527344
2019-03-07,389.5361022949219
2019-03-08,399.5013732910156
2019-03-11,408.2807922363281
2019-03-12,416.5495300292969
2019-03-13,432.3951416015625
2019-03-14,420.60150146484375
2019-03-15,417.6201171875
2019-03-18,418.29547119140625
2019-03-19,413.37054443359375
2019-03-20,405.66180419921875
2019-03-22,389.88201904296875
2019-03-25,383.6064453125
