Date,BLISSGVS
2010-07-26,35.550437927246094
2010-07-27,35.41974639892578
2010-07-28,35.550437927246094
2010-07-29,34.41770553588867
2010-07-30,34.72267532348633
2010-08-02,35.289031982421875
2010-08-03,35.071205139160156
2010-08-04,35.15834426879883
2010-08-05,34.940513610839844
2010-08-06,35.41974639892578
2010-08-09,35.46330642700195
2010-08-10,37.336673736572266
2010-08-11,36.20393753051758
2010-08-12,35.50688171386719
2010-08-13,35.071205139160156
2010-08-16,34.59197235107422
2010-08-17,34.59197235107422
2010-08-18,33.8949089050293
2010-08-19,33.58993911743164
2010-08-20,34.025604248046875
2010-08-23,34.19986343383789
2010-08-24,34.59197235107422
2010-08-25,33.8949089050293
2010-08-26,34.11274337768555
2010-08-27,33.37210464477539
2010-08-30,33.58993911743164
2010-08-31,32.37007141113281
2010-09-01,33.764198303222656
2010-09-02,34.025604248046875
2010-09-03,34.11274337768555
2010-09-06,35.289031982421875
2010-09-07,36.07324981689453
2010-09-08,35.332611083984375
2010-09-09,35.50688171386719
2010-09-13,38.2080078125
2010-09-14,39.427879333496094
2010-09-15,39.1229133605957
2010-09-16,38.07732009887695
2010-09-17,38.16444396972656
2010-09-20,38.2080078125
2010-09-21,36.55247497558594
2010-09-22,36.160369873046875
2010-09-23,36.160369873046875
2010-09-24,36.726741790771484
2010-09-27,36.11681365966797
2010-09-28,35.81184005737305
2010-09-29,35.855411529541016
2010-09-30,35.98611068725586
2010-10-01,37.554508209228516
2010-10-04,36.85744094848633
2010-10-05,37.24954605102539
2010-10-06,36.291080474853516
2010-10-07,36.11681365966797
2010-10-08,35.41974639892578
2010-10-11,36.813873291015625
2010-10-12,36.85744094848633
2010-10-13,36.813873291015625
2010-10-14,35.855411529541016
2010-10-15,35.76826858520508
2010-10-18,36.55247497558594
2010-10-19,36.11681365966797
2010-10-20,35.46330642700195
2010-10-21,36.11681365966797
2010-10-22,35.89897537231445
2010-10-25,35.94254684448242
2010-10-26,35.89897537231445
2010-10-27,35.24546813964844
2010-10-28,35.5940055847168
2010-10-29,33.98204040527344
2010-11-01,34.11274337768555
2010-11-02,34.19986343383789
2010-11-03,35.89897537231445
2010-11-04,35.46330642700195
2010-11-08,36.33464050292969
2010-11-09,37.42380905151367
2010-11-10,37.03171157836914
2010-11-11,37.336673736572266
2010-11-12,38.99221420288086
2010-11-15,39.60213851928711
2010-11-16,37.85947036743164
2010-11-18,35.76826858520508
2010-11-19,35.855411529541016
2010-11-22,35.50688171386719
2010-11-23,34.896934509277344
2010-11-24,34.3305778503418
2010-11-25,34.02326202392578
2010-11-26,33.01354217529297
2010-11-29,32.618438720703125
2010-11-30,32.70622634887695
2010-12-01,32.618438720703125
2010-12-02,32.881839752197266
2010-12-03,32.44282913208008
2010-12-06,32.881839752197266
2010-12-07,32.311126708984375
2010-12-08,31.784317016601562
2010-12-09,29.06245231628418
2010-12-10,29.633167266845703
2010-12-13,29.545360565185547
2010-12-14,30.555086135864258
2010-12-15,30.46728515625
2010-12-16,30.247777938842773
2010-12-20,30.598981857299805
2010-12-21,30.33557891845703
2010-12-22,30.247777938842773
2010-12-23,30.159984588623047
2010-12-24,30.29168128967285
2010-12-27,30.028278350830078
2010-12-28,29.984376907348633
2010-12-29,30.072174072265625
2010-12-30,30.028278350830078
2010-12-31,30.29168128967285
2011-01-03,31.433101654052734
2011-01-04,31.60870933532715
2011-01-05,31.213600158691406
2011-01-06,31.784317016601562
2011-01-07,31.0819034576416
2011-01-10,30.730701446533203
2011-01-11,31.169702529907227
2011-01-12,30.028278350830078
2011-01-13,29.677066802978516
2011-01-14,29.896574020385742
2011-01-17,28.886850357055664
2011-01-18,29.501462936401367
2011-01-19,29.281959533691406
2011-01-20,30.159984588623047
2011-01-21,29.501462936401367
2011-01-24,29.720966339111328
2011-01-25,29.106355667114258
2011-01-27,29.501462936401367
2011-01-28,28.79904556274414
2011-01-31,27.96493148803711
2011-02-01,27.9210205078125
2011-02-02,28.447837829589844
2011-02-03,27.48201560974121
2011-02-04,26.07718276977539
2011-02-07,24.540653228759766
2011-02-08,24.321147918701172
2011-02-09,20.106651306152344
2011-02-10,21.862695693969727
2011-02-11,22.74070930480957
2011-02-14,23.750436782836914
2011-02-15,24.760154724121094
2011-02-16,24.145544052124023
2011-02-17,24.321147918701172
2011-02-18,22.34560775756836
2011-02-21,22.169998168945312
2011-02-22,22.34560775756836
2011-02-23,22.47730255126953
2011-02-24,21.774890899658203
2011-02-25,21.42368507385254
2011-02-28,21.379779815673828
2011-03-01,21.07247543334961
2011-03-03,20.80906867980957
2011-03-04,20.80906867980957
2011-03-07,21.116371154785156
2011-03-08,21.028575897216797
2011-03-09,21.07247543334961
2011-03-10,21.028575897216797
2011-03-11,21.24807357788086
2011-03-14,21.028575897216797
2011-03-15,20.940771102905273
2011-03-16,20.940771102905273
2011-03-17,20.896869659423828
2011-03-18,20.67736053466797
2011-03-21,20.54566192626953
2011-03-22,20.58955955505371
2011-03-23,20.72126579284668
2011-03-24,20.501760482788086
2011-03-25,20.0627498626709
2011-03-28,19.887147903442383
2011-03-29,19.535940170288086
2011-03-30,19.75544548034668
2011-03-31,19.75544548034668
2011-04-01,20.98467254638672
2011-04-04,22.74070930480957
2011-04-05,24.013839721679688
2011-04-06,23.66263198852539
2011-04-07,23.530929565429688
2011-04-08,23.39922332763672
2011-04-11,23.311420440673828
2011-04-13,23.706531524658203
2011-04-15,23.179716110229492
2011-04-18,23.530929565429688
2011-04-19,23.66263198852539
2011-04-20,23.530929565429688
2011-04-21,24.145544052124023
2011-04-25,23.88214111328125
2011-04-26,23.44312858581543
2011-04-27,23.61872673034668
2011-04-28,23.706531524658203
2011-04-29,24.277246475219727
2011-05-02,23.96993637084961
2011-05-03,24.10164451599121
2011-05-04,23.750436782836914
2011-05-05,22.56511116027832
2011-05-06,22.34560775756836
2011-05-09,22.30170440673828
2011-05-10,21.95049476623535
2011-05-11,21.862695693969727
2011-05-12,21.599287033081055
2011-05-13,21.68708610534668
2011-05-16,21.599287033081055
2011-05-17,21.95049476623535
2011-05-18,21.818788528442383
2011-05-19,21.24807357788086
2011-05-20,21.160280227661133
2011-05-23,21.028575897216797
2011-05-24,20.54566192626953
2011-05-25,20.633466720581055
2011-05-26,20.633466720581055
2011-05-27,20.633466720581055
2011-05-30,20.67736053466797
2011-05-31,20.106651306152344
2011-06-01,20.018848419189453
2011-06-02,19.974950790405273
2011-06-03,19.887147903442383
2011-06-06,19.75544548034668
2011-06-07,19.75544548034668
2011-06-08,20.018848419189453
2011-06-09,20.0627498626709
2011-06-10,19.799345016479492
2011-06-13,19.799345016479492
2011-06-14,19.75544548034668
2011-06-15,19.75544548034668
2011-06-16,19.667644500732422
2011-06-17,19.316434860229492
2011-06-20,19.18473243713379
2011-06-21,19.18473243713379
2011-06-22,19.140832901000977
2011-06-23,19.2286319732666
2011-06-24,19.316434860229492
2011-06-27,19.2286319732666
2011-06-28,18.92132568359375
2011-06-29,18.701818466186523
2011-06-30,18.61402130126953
2011-07-01,18.131105422973633
2011-07-04,18.30670928955078
2011-07-05,18.92132568359375
2011-07-06,18.21891212463379
2011-07-07,17.999406814575195
2011-07-08,19.49203872680664
2011-07-11,19.843246459960938
2011-07-12,19.579843521118164
2011-07-13,20.72126579284668
2011-07-14,20.765729904174805
2011-07-15,20.27660369873047
2011-07-18,20.85466194152832
2011-07-19,21.699520111083984
2011-07-20,22.633312225341797
2011-07-21,22.188650131225586
2011-07-22,22.944576263427734
2011-07-25,22.677778244018555
2011-07-26,21.7884578704834
2011-07-27,21.743986129760742
2011-07-28,21.566120147705078
2011-07-29,21.299325942993164
2011-08-01,22.45545196533203
2011-08-02,21.877391815185547
2011-08-03,21.254859924316406
2011-08-04,21.743986129760742
2011-08-05,20.676799774169922
2011-08-08,19.83194351196289
2011-08-09,19.60961151123047
2011-08-10,20.49893569946289
2011-08-11,20.143205642700195
2011-08-12,20.32107162475586
2011-08-16,19.787471771240234
2011-08-17,19.29834747314453
2011-08-18,19.120481491088867
2011-08-19,18.542423248291016
2011-08-22,18.85368537902832
2011-08-23,19.164947509765625
2011-08-24,19.031551361083984
2011-08-25,18.275623321533203
2011-08-26,18.00882339477539
2011-08-29,18.00882339477539
2011-08-30,18.18669319152832
2011-09-02,18.36455535888672
2011-09-05,18.40902328491211
2011-09-06,18.898147583007812
2011-09-07,18.67582130432129
2011-09-08,18.85368537902832
2011-09-09,18.67582130432129
2011-09-12,18.586885452270508
2011-09-13,18.542423248291016
2011-09-14,18.67582130432129
2011-09-15,18.4534912109375
2011-09-16,18.36455535888672
2011-09-19,18.631357192993164
2011-09-20,19.654077529907227
2011-09-21,19.29834747314453
2011-09-22,18.36455535888672
2011-09-23,18.36455535888672
2011-09-26,17.475231170654297
2011-09-27,17.919889450073242
2011-09-28,17.608633041381836
2011-09-29,17.475231170654297
2011-09-30,17.252899169921875
2011-10-03,17.252899169921875
2011-10-04,17.875425338745117
2011-10-05,18.497957229614258
2011-10-07,18.764755249023438
2011-10-10,19.476213455200195
2011-10-11,19.34281349182129
2011-10-12,19.431743621826172
2011-10-13,19.164947509765625
2011-10-14,19.565147399902344
2011-10-17,19.743011474609375
2011-10-18,19.164947509765625
2011-10-19,19.253881454467773
2011-10-20,19.387279510498047
2011-10-21,19.120481491088867
2011-10-24,19.031551361083984
2011-10-25,19.120481491088867
2011-10-28,19.565147399902344
2011-10-31,20.098743438720703
2011-11-01,20.365535736083984
2011-11-02,20.49893569946289
2011-11-03,20.72126579284668
2011-11-04,20.454469680786133
2011-11-08,20.810199737548828
2011-11-09,20.632335662841797
2011-11-11,20.72126579284668
2011-11-14,21.076995849609375
2011-11-15,20.587867736816406
2011-11-16,21.699520111083984
2011-11-17,21.743986129760742
2011-11-18,22.722244262695312
2011-11-21,23.166912078857422
2011-11-22,23.07798194885254
2011-11-23,22.54438591003418
2011-11-24,22.318937301635742
2011-11-25,22.7247371673584
2011-11-28,22.950180053710938
2011-11-29,23.175621032714844
2011-11-30,23.401071548461914
2011-12-01,23.13053321838379
2011-12-02,23.26580047607422
2011-12-05,22.950180053710938
2011-12-07,22.769826889038086
2011-12-08,21.7327880859375
2011-12-09,21.59751319885254
2011-12-12,21.41716194152832
2011-12-13,21.462251663208008
2011-12-14,21.236804962158203
2011-12-15,20.740833282470703
2011-12-16,20.244855880737305
2011-12-19,19.388168334960938
2011-12-20,19.568523406982422
2011-12-21,20.064496994018555
2011-12-22,20.289945602416992
2011-12-23,20.650651931762695
2011-12-26,20.96627426147461
2011-12-27,20.740833282470703
2011-12-28,19.658702850341797
2011-12-29,19.70378875732422
2011-12-30,19.11763572692871
2012-01-02,19.47834587097168
2012-01-03,20.289945602416992
2012-01-04,20.289945602416992
2012-01-05,20.335033416748047
2012-01-06,20.289945602416992
2012-01-09,20.289945602416992
2012-01-10,20.785919189453125
2012-01-11,21.236804962158203
2012-01-12,22.18367576599121
2012-01-13,22.454206466674805
2012-01-16,21.7327880859375
2012-01-17,22.003313064575195
2012-01-18,21.95822525024414
2012-01-19,21.95822525024414
2012-01-20,21.687692642211914
2012-01-23,21.41716194152832
2012-01-24,21.59751319885254
2012-01-25,21.687692642211914
2012-01-27,22.27385139465332
2012-01-30,21.59751319885254
2012-01-31,22.093494415283203
2012-02-01,22.454206466674805
2012-02-02,23.220712661743164
2012-02-03,23.761777877807617
2012-02-06,23.9421329498291
2012-02-07,21.191720962524414
2012-02-08,21.507341384887695
2012-02-09,21.191720962524414
2012-02-10,21.191720962524414
2012-02-13,20.96627426147461
2012-02-14,21.14662742614746
2012-02-15,21.41716194152832
2012-02-16,21.64260482788086
2012-02-17,21.687692642211914
2012-02-21,21.86804962158203
2012-02-22,21.91314125061035
2012-02-23,21.91314125061035
2012-02-24,21.77787208557129
2012-02-27,21.05645179748535
2012-02-28,21.326988220214844
2012-02-29,21.59751319885254
2012-03-01,21.41716194152832
