Date,CMSINFO
2021-12-31,221.8214874267578
2022-01-03,223.77708435058594
2022-01-04,217.95684814453125
2022-01-05,223.49771118164062
2022-01-06,238.63038635253906
2022-01-07,256.23089599609375
2022-01-10,258.4658203125
2022-01-11,256.74298095703125
2022-01-12,257.2086181640625
2022-01-13,261.6785888671875
2022-01-14,274.85565185546875
2022-01-17,289.9883117675781
2022-01-18,275.6937561035156
2022-01-19,276.9508972167969
2022-01-20,280.8155822753906
2022-01-21,256.8826904296875
2022-01-24,239.51507568359375
2022-01-25,253.2974090576172
2022-01-27,255.25306701660156
2022-01-28,245.3353271484375
2022-01-31,238.3975830078125
2022-02-01,249.43276977539062
2022-02-02,246.31309509277344
2022-02-03,247.05807495117188
2022-02-04,254.4614715576172
2022-02-07,261.771728515625
2022-02-08,251.38836669921875
2022-02-09,249.99151611328125
2022-02-10,249.6655731201172
2022-02-11,241.2378387451172
2022-02-14,233.1360626220703
2022-02-15,235.6038360595703
2022-02-16,242.12252807617188
2022-02-17,235.324462890625
2022-02-18,228.0142364501953
2022-02-21,224.24270629882812
2022-02-22,223.96334838867188
2022-02-23,225.9189453125
2022-02-24,212.32281494140625
2022-02-25,221.21617126464844
2022-02-28,219.3537139892578
2022-03-02,219.63307189941406
2022-03-03,220.98336791992188
2022-03-04,221.8214874267578
2022-03-07,220.61087036132812
2022-03-08,222.5198974609375
2022-03-09,233.32232666015625
2022-03-10,232.34449768066406
2022-03-11,241.09814453125
2022-03-14,242.4019012451172
2022-03-15,237.32664489746094
2022-03-16,244.45065307617188
2022-03-17,245.05593872070312
2022-03-21,239.28225708007812
2022-03-22,236.67474365234375
2022-03-23,241.28440856933594
2022-03-24,238.86318969726562
2022-03-25,237.140380859375
2022-03-28,233.18258666992188
2022-03-29,244.63690185546875
2022-03-30,252.41275024414062
2022-03-31,246.73216247558594
2022-04-01,252.36618041992188
2022-04-04,253.669921875
2022-04-05,257.1620788574219
2022-04-06,252.4593048095703
2022-04-07,244.72999572753906
2022-04-08,247.98931884765625
2022-04-11,245.84747314453125
2022-04-12,239.46847534179688
2022-04-13,240.63253784179688
2022-04-18,242.35533142089844
2022-04-19,238.35101318359375
2022-04-20,240.8653564453125
2022-04-21,237.88539123535156
2022-04-22,243.2400360107422
2022-04-25,239.04942321777344
2022-04-26,241.3309783935547
2022-04-27,238.9097442626953
2022-04-28,244.86968994140625
2022-04-29,245.47500610351562
2022-05-02,241.56378173828125
2022-05-04,240.2135009765625
2022-05-05,238.9097442626953
2022-05-06,240.44631958007812
2022-05-09,234.06732177734375
2022-05-10,225.31362915039062
2022-05-11,224.1495819091797
2022-05-12,217.77061462402344
2022-05-13,218.7949676513672
2022-05-16,219.91246032714844
2022-05-17,225.31362915039062
2022-05-18,220.93679809570312
2022-05-19,221.6818084716797
2022-05-20,220.23837280273438
2022-05-23,215.76841735839844
2022-05-24,211.81063842773438
2022-05-25,204.08135986328125
2022-05-26,213.533447265625
2022-05-27,213.44032287597656
2022-05-30,213.67312622070312
2022-05-31,217.49122619628906
2022-06-01,214.6043701171875
2022-06-02,216.32716369628906
2022-06-03,213.9059600830078
2022-06-06,214.46469116210938
2022-06-07,214.83717346191406
2022-06-08,213.9525146484375
2022-06-09,214.13873291015625
2022-06-10,216.2805938720703
2022-06-13,210.13442993164062
2022-06-14,213.533447265625
2022-06-15,216.001220703125
2022-06-16,209.15664672851562
2022-06-17,205.94381713867188
2022-06-20,201.38076782226562
2022-06-21,209.57568359375
2022-06-22,207.0613250732422
2022-06-23,205.80413818359375
2022-06-24,206.8750762939453
2022-06-27,207.94601440429688
2022-06-28,208.92379760742188
2022-06-29,211.7641143798828
2022-06-30,214.04562377929688
2022-07-01,214.23187255859375
2022-07-04,215.48902893066406
2022-07-05,218.70184326171875
2022-07-06,225.2205047607422
2022-07-07,224.33583068847656
2022-07-08,226.8501739501953
2022-07-11,224.428955078125
2022-07-12,223.8236541748047
2022-07-13,224.47552490234375
2022-07-14,225.49984741210938
2022-07-15,228.060791015625
2022-07-18,227.40892028808594
2022-07-19,229.41110229492188
2022-07-20,234.2069854736328
2022-07-21,234.7657470703125
2022-07-22,232.856689453125
2022-07-25,240.120361328125
2022-07-26,244.5902862548828
2022-07-27,247.57032775878906
2022-07-28,251.7608642578125
2022-07-29,255.25306701660156
2022-08-01,248.1290740966797
2022-08-02,241.4241180419922
2022-08-03,245.98719787597656
