Date,TECHM
2006-08-28,91.6387710571289
2006-08-29,89.16693878173828
2006-08-30,87.31515502929688
2006-08-31,89.02641296386719
2006-09-01,89.58853912353516
2006-09-04,89.93574523925781
2006-09-05,91.38247680664062
2006-09-06,89.4893569946289
2006-09-07,88.83623504638672
2006-09-08,88.42291259765625
2006-09-11,88.61305236816406
2006-09-12,88.92720031738281
2006-09-13,90.05977630615234
2006-09-14,90.91127014160156
2006-09-15,89.31574249267578
2006-09-18,90.35735321044922
2006-09-19,96.598876953125
2006-09-20,100.03791046142578
2006-09-21,100.6827621459961
2006-09-22,99.39311218261719
2006-09-25,98.13654327392578
2006-09-26,102.11290740966797
2006-09-27,102.41878509521484
2006-09-28,101.35235595703125
2006-09-29,102.2452163696289
2006-10-03,102.41053009033203
2006-10-04,101.46810913085938
2006-10-05,103.19588470458984
2006-10-06,102.72469329833984
2006-10-09,101.52596282958984
2006-10-10,101.82354736328125
2006-10-11,104.15486907958984
2006-10-12,104.11351013183594
2006-10-13,112.75244140625
2006-10-16,117.46456909179688
2006-10-17,116.48081970214844
2006-10-18,113.0996322631836
2006-10-19,127.75688934326172
2006-10-20,142.74478149414062
2006-10-23,148.49859619140625
2006-10-26,151.88803100585938
2006-10-27,165.49533081054688
2006-10-30,166.42124938964844
2006-10-31,163.6353302001953
2006-11-01,166.86764526367188
2006-11-02,165.7516326904297
2006-11-03,164.01559448242188
2006-11-06,165.05718994140625
2006-11-07,163.8419647216797
2006-11-08,163.8006134033203
2006-11-09,163.28805541992188
2006-11-10,165.23081970214844
2006-11-13,166.2889862060547
2006-11-14,164.70175170898438
2006-11-15,177.50718688964844
2006-11-16,190.62680053710938
2006-11-17,184.3687286376953
2006-11-20,188.33680725097656
2006-11-21,195.48765563964844
2006-11-22,194.1898193359375
2006-11-23,190.08938598632812
2006-11-24,188.63446044921875
2006-11-27,186.34451293945312
2006-11-28,184.56710815429688
2006-11-29,185.989013671875
2006-11-30,185.5922393798828
2006-12-01,185.22024536132812
2006-12-04,183.9801788330078
2006-12-05,192.86712646484375
2006-12-06,187.86563110351562
2006-12-07,188.47732543945312
2006-12-08,186.12130737304688
2006-12-11,181.2107696533203
2006-12-12,172.24114990234375
2006-12-13,178.68109130859375
2006-12-14,183.42628479003906
2006-12-15,186.947998046875
2006-12-18,197.50489807128906
2006-12-19,190.84999084472656
2006-12-20,205.51547241210938
2006-12-21,246.61859130859375
2006-12-22,273.7174987792969
2006-12-26,275.8835144042969
2006-12-27,272.5105895996094
2006-12-28,280.2070617675781
2006-12-29,276.5364990234375
2007-01-02,276.0074768066406
2007-01-03,275.13946533203125
2007-01-04,271.4276123046875
2007-01-05,271.683837890625
2007-01-08,277.42926025390625
2007-01-09,272.4526672363281
2007-01-10,279.0166015625
2007-01-11,294.1863708496094
2007-01-12,305.2061767578125
2007-01-15,308.7857666015625
2007-01-16,298.21240234375
2007-01-17,327.5020751953125
2007-01-18,313.90301513671875
2007-01-19,293.7399597167969
2007-01-22,291.3507995605469
2007-01-23,288.912109375
2007-01-24,292.88018798828125
2007-01-25,296.4515075683594
2007-01-29,289.6644287109375
2007-01-31,288.2094421386719
2007-02-01,296.5672607421875
2007-02-02,296.5921630859375
2007-02-05,291.96258544921875
2007-02-06,296.7574462890625
2007-02-07,295.10400390625
2007-02-08,293.1117248535156
2007-02-09,287.5067138671875
2007-02-12,274.3623352050781
2007-02-13,276.1810607910156
2007-02-14,272.16326904296875
2007-02-15,278.3966369628906
2007-02-19,279.4712829589844
2007-02-20,273.5603942871094
2007-02-21,274.1143493652344
2007-02-22,277.9418640136719
2007-02-23,262.3835754394531
2007-02-26,246.70947265625
2007-02-27,247.50311279296875
2007-02-28,237.3431396484375
2007-03-01,247.24685668945312
2007-03-02,241.93125915527344
2007-03-05,221.1812744140625
2007-03-06,213.70803833007812
2007-03-07,215.42750549316406
2007-03-08,224.52110290527344
2007-03-09,217.98196411132812
2007-03-12,227.20787048339844
2007-03-13,246.9988555908203
2007-03-14,237.50015258789062
2007-03-15,240.61676025390625
2007-03-16,237.66554260253906
2007-03-19,239.451171875
2007-03-20,237.88868713378906
2007-03-21,239.01419067382812
2007-03-22,245.24566650390625
2007-03-23,244.20303344726562
2007-03-26,243.5078125
2007-03-28,236.80465698242188
2007-03-29,236.6804962158203
2007-03-30,236.20054626464844
2007-04-02,221.9500732421875
2007-04-03,222.2561798095703
2007-04-04,227.0642547607422
2007-04-05,227.74290466308594
2007-04-09,234.18124389648438
2007-04-10,231.54966735839844
2007-04-11,231.1689910888672
2007-04-12,233.03099060058594
2007-04-13,247.35592651367188
2007-04-16,251.85787963867188
2007-04-17,240.69412231445312
2007-04-18,244.9146728515625
2007-04-19,249.7723846435547
2007-04-20,251.5765380859375
2007-04-23,248.4648895263672
2007-04-24,251.19580078125
2007-04-25,248.69654846191406
2007-04-26,249.838623046875
2007-04-27,244.3601837158203
2007-04-30,263.06298828125
2007-05-03,265.9014892578125
2007-05-04,272.91082763671875
2007-05-07,268.9717102050781
2007-05-08,257.8824157714844
2007-05-09,255.59014892578125
2007-05-10,251.43577575683594
2007-05-11,250.3516845703125
2007-05-14,253.3805389404297
2007-05-15,250.3848114013672
2007-05-16,247.82769775390625
2007-05-17,247.1573028564453
2007-05-18,248.96139526367188
2007-05-21,245.75045776367188
2007-05-22,245.4112091064453
2007-05-23,243.590576171875
2007-05-24,244.83187866210938
2007-05-25,258.1554870605469
2007-05-28,249.66481018066406
