Date,RPOWER
2008-02-11,229.60643005371094
2008-02-12,217.0240020751953
2008-02-13,214.3911895751953
2008-02-14,226.514404296875
2008-02-15,235.4231414794922
2008-02-18,253.45489501953125
2008-02-19,253.1793670654297
2008-02-20,250.1485595703125
2008-02-21,258.29193115234375
2008-02-22,255.41419982910156
2008-02-25,275.9563293457031
2008-02-26,274.2725524902344
2008-02-27,273.5990295410156
2008-02-28,270.6600646972656
2008-02-29,263.8943176269531
2008-03-03,252.352783203125
2008-03-04,240.2601776123047
2008-03-05,230.24932861328125
2008-03-07,206.21719360351562
2008-03-10,205.14569091796875
2008-03-11,219.5649871826172
2008-03-12,211.26853942871094
2008-03-13,196.9104766845703
2008-03-14,206.79885864257812
2008-03-17,193.20616149902344
2008-03-18,193.75721740722656
2008-03-19,192.86940002441406
2008-03-24,187.6649932861328
2008-03-25,195.71652221679688
2008-03-26,197.8289031982422
2008-03-27,200.7372589111328
2008-03-28,204.53341674804688
2008-03-31,194.7062530517578
2008-04-01,196.72679138183594
2008-04-02,200.36988830566406
2008-04-03,202.57411193847656
2008-04-04,197.55337524414062
2008-04-07,204.4109649658203
2008-04-08,215.09530639648438
2008-04-09,221.95289611816406
2008-04-10,219.50375366210938
2008-04-11,222.3202667236328
2008-04-15,235.36190795898438
2008-04-16,229.75950622558594
2008-04-17,235.57620239257812
2008-04-21,229.11660766601562
2008-04-22,231.53512573242188
2008-04-23,235.7598876953125
2008-04-24,237.35182189941406
2008-04-25,246.19932556152344
2008-04-28,246.84222412109375
2008-04-29,246.0462646484375
2008-04-30,241.6378173828125
2008-05-02,242.25009155273438
2008-05-05,245.37274169921875
2008-05-06,247.14837646484375
2008-05-07,251.95480346679688
2008-05-08,257.4347229003906
2008-05-09,250.3934783935547
2008-05-12,250.9751434326172
2008-05-13,249.04644775390625
2008-05-14,250.57716369628906
2008-05-15,254.6488494873047
2008-05-16,255.84280395507812
2008-05-20,266.1597900390625
2008-05-21,271.4254150390625
2008-05-22,269.0681457519531
2008-05-23,269.22119140625
2008-05-26,258.2001037597656
2008-05-27,253.0875244140625
2008-05-28,251.64865112304688
2008-05-29,249.9954833984375
2008-05-30,228.16143798828125
2008-06-02,223.94894409179688
2008-06-03,214.29934692382812
2008-06-04,198.47793579101562
2008-06-05,194.55931091308594
2008-06-06,189.66104125976562
2008-06-09,181.38294982910156
2008-06-10,178.54196166992188
2008-06-11,178.59095764160156
2008-06-12,182.36260986328125
2008-06-13,183.83209228515625
2008-06-16,180.94210815429688
2008-06-17,187.06495666503906
2008-06-18,182.5585479736328
2008-06-19,177.21942138671875
2008-06-20,171.39048767089844
2008-06-23,159.29176330566406
2008-06-24,149.5931854248047
2008-06-25,152.43418884277344
2008-06-26,150.9157257080078
2008-06-27,142.0498504638672
2008-06-30,133.86973571777344
2008-07-01,124.95488739013672
2008-07-02,129.6572265625
2008-07-03,127.69792175292969
2008-07-04,133.18397521972656
2008-07-07,132.8411102294922
2008-07-08,134.11463928222656
2008-07-09,145.62557983398438
2008-07-10,144.743896484375
2008-07-11,137.7393798828125
2008-07-14,134.8004150390625
2008-07-15,128.38368225097656
2008-07-16,125.248779296875
2008-07-17,129.11842346191406
2008-07-18,129.60824584960938
2008-07-21,129.51026916503906
2008-07-22,139.8456268310547
2008-07-23,167.61883544921875
2008-07-24,172.41912841796875
2008-07-25,165.41461181640625
2008-07-28,165.75747680664062
2008-07-29,151.013671875
2008-07-30,159.83056640625
2008-07-31,162.23072814941406
2008-08-01,166.54119873046875
2008-08-04,167.4718780517578
2008-08-05,168.54949951171875
2008-08-06,163.45529174804688
2008-08-07,163.11241149902344
2008-08-08,165.85545349121094
2008-08-11,166.68814086914062
2008-08-12,167.6678009033203
2008-08-13,168.3535614013672
2008-08-14,161.15310668945312
2008-08-18,158.4590606689453
2008-08-19,153.90367126464844
2008-08-20,157.3814239501953
2008-08-21,152.23825073242188
2008-08-22,153.8546905517578
2008-08-25,152.09130859375
2008-08-26,152.7770538330078
2008-08-27,151.3565673828125
2008-08-28,150.42588806152344
2008-08-29,154.14859008789062
2008-09-01,153.80569458007812
2008-09-02,157.9202423095703
2008-09-04,156.20584106445312
2008-09-05,159.68362426757812
2008-09-08,165.31663513183594
2008-09-09,165.70849609375
2008-09-10,166.63917541503906
2008-09-11,165.2676544189453
2008-09-12,164.87579345703125
2008-09-15,153.65875244140625
2008-09-16,157.3814239501953
2008-09-17,153.95263671875
2008-09-18,153.07095336914062
2008-09-19,161.00616455078125
2008-09-22,157.430419921875
2008-09-23,156.8916015625
2008-09-24,158.1161651611328
2008-09-25,161.88784790039062
2008-09-26,158.75296020507812
2008-09-29,149.00540161132812
2008-09-30,150.1809844970703
2008-10-01,151.50350952148438
2008-10-03,146.1154022216797
2008-10-06,136.4658203125
2008-10-07,143.3234100341797
2008-10-08,134.89837646484375
2008-10-10,121.62406158447266
2008-10-13,126.52232360839844
2008-10-14,123.0445556640625
2008-10-15,118.78306579589844
2008-10-16,115.45223999023438
2008-10-17,111.43566131591797
2008-10-20,113.19903564453125
2008-10-21,118.14628601074219
2008-10-22,109.08448791503906
2008-10-23,104.38214874267578
2008-10-24,94.3406982421875
2008-10-27,87.82599639892578
2008-10-29,96.25102233886719
2008-10-31,100.31658172607422
2008-11-03,107.12517547607422
2008-11-04,120.15457916259766
2008-11-05,113.63987731933594
2008-11-06,108.20279693603516
2008-11-07,114.7664794921875
2008-11-10,120.00762939453125
2008-11-11,111.77853393554688
2008-11-12,107.02721405029297
2008-11-14,106.78230285644531
2008-11-17,106.68433380126953
2008-11-18,101.19827270507812
2008-11-19,99.04302978515625
2008-11-20,99.23896789550781
2008-11-21,102.61876678466797
2008-11-24,108.83956909179688
2008-11-25,105.85163116455078
2008-11-26,110.94583129882812
2008-11-27,110.94583129882812
2008-11-28,108.25178527832031
2008-12-01,105.0189208984375
2008-12-02,103.59842681884766
2008-12-03,102.61876678466797
2008-12-04,105.60671997070312
2008-12-05,103.99028778076172
2008-12-08,107.41907501220703
2008-12-10,110.84786987304688
2008-12-11,115.79511260986328
2008-12-12,114.37461853027344
2008-12-15,117.5584945678711
2008-12-16,121.2322006225586
2008-12-17,113.59089660644531
2008-12-18,121.7220230102539
2008-12-19,122.7016830444336
2008-12-22,122.55473327636719
2008-12-23,121.7220230102539
2008-12-24,115.20732116699219
2008-12-26,112.17039489746094
2008-12-29,113.6888656616211
2008-12-30,118.04832458496094
2008-12-31,117.50951385498047
2009-01-02,120.9872817993164
2009-01-05,122.01592254638672
2009-01-06,121.03627014160156
2009-01-07,110.50498962402344
2009-01-09,104.52909088134766
2009-01-12,100.85539245605469
2009-01-13,95.8101806640625
2009-01-14,100.31658172607422
2009-01-15,96.8877944946289
2009-01-16,98.945068359375
2009-01-19,99.58184051513672
2009-01-20,100.41455078125
2009-01-21,98.30828857421875
2009-01-22,96.49593353271484
2009-01-23,96.05509185791016
2009-01-27,98.50422668457031
2009-01-28,100.51251220703125
2009-01-29,101.78606414794922
2009-01-30,104.23519897460938
2009-02-02,97.57354736328125
2009-02-03,98.0633773803711
2009-02-04,98.40625762939453
2009-02-05,97.67151641845703
2009-02-06,98.2103271484375
2009-02-09,100.7574234008789
2009-02-10,101.1492919921875
2009-02-11,100.70845031738281
2009-02-12,101.39420318603516
2009-02-13,105.99857330322266
2009-02-16,100.65946197509766
2009-02-17,98.74913787841797
2009-02-18,98.2103271484375
2009-02-19,98.3572769165039
2009-02-20,95.8101806640625
2009-02-24,96.69185638427734
2009-02-25,97.86744689941406
2009-02-26,95.51628112792969
2009-02-27,97.91642761230469
2009-03-02,96.30000305175781
2009-03-03,93.99781036376953
2009-03-04,93.26306915283203
2009-03-05,91.84257507324219
2009-03-06,92.82222747802734
2009-03-09,90.17716217041016
2009-03-12,90.47105407714844
2009-03-13,96.49593353271484
2009-03-16,99.97370910644531
2009-03-17,99.58184051513672
2009-03-18,98.55320739746094
2009-03-19,98.2103271484375
2009-03-20,98.7981185913086
2009-03-23,103.40249633789062
2009-03-24,99.77777099609375
2009-03-25,100.80641174316406
2009-03-26,103.84333801269531
2009-03-27,107.71296691894531
2009-03-30,98.60218811035156
2009-03-31,100.2676010131836
2009-04-01,102.66775512695312
2009-04-02,108.59465789794922
2009-04-06,113.98275756835938
2009-04-08,116.43189239501953
2009-04-09,117.46053314208984
2009-04-13,120.74237060546875
2009-04-15,125.8365707397461
2009-04-16,115.99105072021484
2009-04-17,113.59089660644531
2009-04-20,116.18698120117188
2009-04-21,117.60748291015625
2009-04-22,123.48540496826172
2009-04-23,125.44471740722656
2009-04-24,130.3919677734375
2009-04-27,126.37538146972656
2009-04-28,123.7303237915039
2009-04-29,120.7913589477539
2009-04-30,121.62406158447266
2009-05-04,124.80793762207031
2009-05-05,132.93905639648438
2009-05-06,132.3022918701172
2009-05-07,133.13499450683594
2009-05-08,130.58790588378906
2009-05-11,125.54267120361328
2009-05-12,130.93077087402344
2009-05-13,126.8652114868164
2009-05-14,125.68962860107422
2009-05-15,126.52232360839844
2009-05-18,145.87049865722656
2009-05-19,158.6549835205078
2009-05-20,169.23524475097656
2009-05-21,162.57359313964844
2009-05-22,161.64292907714844
2009-05-25,165.61053466796875
2009-05-26,155.56907653808594
2009-05-27,175.1621551513672
2009-05-28,176.33773803710938
