Date,IIFL
2005-05-17,4.084024429321289
2005-05-18,4.358736038208008
2005-05-19,4.434610366821289
2005-05-20,4.356120586395264
2005-05-23,4.280247211456299
2005-05-24,4.222688674926758
2005-05-25,4.131119728088379
2005-05-26,4.052630424499512
2005-05-27,4.212224006652832
2005-05-30,4.1782121658325195
2005-05-31,4.222688674926758
2005-06-01,4.2880964279174805
2005-06-02,4.230539321899414
2005-06-03,4.204375743865967
2005-06-06,4.329957008361816
2005-06-07,4.327340602874756
2005-06-08,4.6831560134887695
2005-06-09,4.71455192565918
2005-06-10,4.654376029968262
2005-06-13,4.711935997009277
2005-06-14,4.774726390838623
2005-06-15,4.704086780548096
2005-06-16,4.484316825866699
2005-06-17,4.463387966156006
2005-06-20,4.6282148361206055
2005-06-21,4.554958343505859
2005-06-22,4.5706562995910645
2005-06-23,4.651759624481201
2005-06-24,4.701470375061035
2005-06-27,4.562807083129883
2005-06-28,4.518329620361328
2005-06-29,4.5026326179504395
2005-06-30,4.500016212463379
2005-07-01,4.447690963745117
2005-07-04,4.408447265625
2005-07-05,4.431992530822754
2005-07-06,4.463387966156006
2005-07-07,4.371818542480469
2005-07-08,4.445074558258057
2005-07-11,4.549726486206055
2005-07-12,4.565423011779785
2005-07-13,4.66222620010376
2005-07-14,4.976180553436279
2005-07-15,4.944784164428711
2005-07-18,4.887226581573486
2005-07-19,4.847982883453369
2005-07-20,4.892459392547607
2005-07-21,4.76949405670166
2005-07-22,4.832284450531006
2005-07-25,4.620364665985107
2005-07-26,4.575888156890869
2005-07-27,4.591587066650391
2005-07-28,8.493294715881348
2005-07-29,4.596818923950195
2005-08-01,4.636063098907471
2005-08-02,4.586353778839111
2005-08-03,4.510481834411621
2005-08-04,4.452922344207764
2005-08-05,4.664842128753662
2005-08-08,4.691004276275635
2005-08-09,4.76949405670166
2005-08-10,4.795657157897949
2005-08-11,4.866295337677002
2005-08-12,4.756412506103516
2005-08-16,4.76949405670166
2005-08-17,4.861063480377197
2005-08-18,4.842750072479248
2005-08-19,4.8401336669921875
2005-08-22,5.77153205871582
2005-08-23,5.4628095626831055
2005-08-24,5.248274326324463
2005-08-25,5.669497013092041
2005-08-26,5.664264678955078
2005-08-29,5.40001916885376
2005-08-30,5.549147129058838
2005-08-31,5.591008186340332
2005-09-01,5.863101005554199
2005-09-02,5.693044185638428
2005-09-05,5.564845561981201
2005-09-06,5.496823310852051
2005-09-08,5.625020503997803
2005-09-09,5.598857879638672
2005-09-12,6.684617042541504
2005-09-13,6.907001495361328
2005-09-14,6.422988414764404
2005-09-15,7.707586288452148
2005-09-16,9.25119686126709
2005-09-19,8.696542739868164
2005-09-20,9.274742126464844
2005-09-21,8.610203742980957
2005-09-22,7.775609016418457
2005-09-23,7.88810920715332
2005-09-26,8.565729141235352
2005-09-27,8.41659927368164
2005-09-28,8.243926048278809
2005-09-29,7.914272785186768
2005-09-30,7.438107967376709
2005-10-03,7.956132411956787
2005-10-04,8.641600608825684
2005-10-05,8.693927764892578
2005-10-06,8.293633460998535
2005-10-07,8.301485061645508
2005-10-10,7.911657333374023
2005-10-11,7.7546796798706055
2005-10-13,6.854676246643066
2005-10-14,6.553802013397217
2005-10-17,6.862523555755615
2005-10-18,7.003804683685303
2005-10-19,6.488395690917969
2005-10-20,6.336650371551514
2005-10-21,6.475314617156982
2005-10-24,6.653221130371094
2005-10-25,6.582581520080566
2005-10-26,6.213685512542725
2005-10-27,5.980835437774658
2005-10-28,5.876183032989502
2005-10-31,6.132580757141113
2005-11-02,6.177056789398193
2005-11-04,6.177056789398193
2005-11-07,6.323568820953369
2005-11-08,6.462231636047363
2005-11-09,6.396826267242432
2005-11-10,6.45700216293335
2005-11-11,6.606128692626953
2005-11-14,6.94624662399292
2005-11-16,7.202640533447266
2005-11-17,7.254968643188477
2005-11-18,7.056129455566406
2005-11-21,7.035201072692871
2005-11-22,6.943628311157227
2005-11-23,7.009036540985107
2005-11-24,6.990721225738525
2005-11-25,7.550608158111572
2005-11-28,7.404096603393555
2005-11-29,7.396247386932373
2005-11-30,7.257584571838379
2005-12-01,7.359619140625
2005-12-02,7.50613260269165
2005-12-05,7.770374774932861
