Date,LICI
2022-05-17,415.1934509277344
2022-05-18,415.7153015136719
2022-05-19,398.8750915527344
2022-05-20,391.9018859863281
2022-05-23,387.49017333984375
2022-05-24,390.4549865722656
2022-05-25,389.1267395019531
2022-05-26,385.0234680175781
2022-05-27,389.74346923828125
2022-05-30,397.4045715332031
2022-05-31,384.857421875
2022-06-01,384.4305114746094
2022-06-02,382.20098876953125
2022-06-03,379.6156005859375
2022-06-06,368.7525329589844
2022-06-07,357.2015686035156
2022-06-08,350.1097412109375
2022-06-09,342.353759765625
2022-06-10,336.66131591796875
2022-06-13,316.9986267089844
2022-06-14,319.8685302734375
2022-06-15,327.3873596191406
2022-06-16,317.5204162597656
2022-06-17,310.499755859375
2022-06-20,313.7491760253906
2022-06-21,315.5517883300781
2022-06-22,317.1646423339844
2022-06-23,315.528076171875
2022-06-24,313.8677673339844
2022-06-27,315.36199951171875
2022-06-28,314.6741943359375
2022-06-29,321.8609313964844
2022-06-30,319.6788330078125
2022-07-01,320.9833679199219
2022-07-04,328.4072265625
2022-07-05,333.31695556640625
2022-07-06,333.4593505859375
2022-07-07,331.13482666015625
2022-07-08,335.9023132324219
2022-07-11,340.6934814453125
2022-07-12,340.4088439941406
2022-07-13,341.0018005371094
2022-07-14,337.8946533203125
2022-07-15,336.0920715332031
2022-07-18,330.39959716796875
2022-07-19,326.7706298828125
2022-07-20,326.22515869140625
2022-07-21,326.1539611816406
2022-07-22,326.67584228515625
2022-07-25,324.4462585449219
2022-07-26,320.36663818359375
2022-07-27,319.89227294921875
2022-07-28,320.1531982421875
2022-07-29,321.52886962890625
2022-08-01,323.9481506347656
2022-08-02,325.1815490722656
2022-08-03,321.7660217285156
2022-08-04,319.58392333984375
2022-08-05,326.0591125488281
2022-08-08,322.5724792480469
2022-08-10,323.8058166503906
2022-08-11,323.82958984375
2022-08-12,323.71099853515625
2022-08-16,330.94512939453125
2022-08-17,331.08746337890625
2022-08-18,330.281005859375
2022-08-19,325.39501953125
2022-08-22,320.3429260253906
2022-08-23,318.3505859375
2022-08-24,320.7936096191406
2022-08-25,322.2674255371094
2022-08-26,322.74285888671875
2022-08-29,318.6066589355469
2022-08-30,320.1993408203125
2022-09-01,317.917236328125
