Date,INDIACEM
1996-01-02,206.86080932617188
1996-01-03,200.7989501953125
1996-01-04,197.01028442382812
1996-01-05,197.01028442382812
1996-01-08,200.7989501953125
1996-01-09,197.80587768554688
1996-01-10,198.52572631835938
1996-01-11,200.0411376953125
1996-01-12,195.15380859375
1996-01-15,193.25949096679688
1996-01-16,196.25253295898438
1996-01-17,193.2216033935547
1996-01-18,192.16079711914062
1996-01-19,191.66824340820312
1996-01-22,198.6772918701172
1996-01-23,200.4200439453125
1996-01-24,92.44327545166016
1996-01-25,89.37445068359375
1996-01-26,89.37445068359375
1996-01-29,91.68556213378906
1996-01-30,93.958740234375
1996-01-31,101.53605651855469
1996-02-01,98.50514221191406
1996-02-02,102.25591278076172
1996-02-05,104.56697845458984
1996-02-06,105.81725311279297
1996-02-07,104.18811798095703
1996-02-08,103.01364135742188
1996-02-09,113.65975189208984
1996-02-12,125.51827239990234
1996-02-13,132.26206970214844
1996-02-14,144.0069122314453
1996-02-15,142.07470703125
1996-02-16,139.04376220703125
1996-02-19,138.66488647460938
1996-02-20,135.6339874267578
1996-02-21,135.6339874267578
1996-02-22,128.8143768310547
1996-02-23,132.60305786132812
1996-02-26,132.60305786132812
1996-02-27,138.93011474609375
1996-02-28,136.3538360595703
1996-02-29,133.5123291015625
1996-03-01,134.08062744140625
1996-03-04,130.21621704101562
1996-03-05,130.21621704101562
1996-03-06,129.5721435546875
1996-03-07,126.5791015625
1996-03-08,127.2989273071289
1996-03-11,121.61595916748047
1996-03-12,117.44841003417969
1996-03-13,117.44841003417969
1996-03-14,122.75254821777344
1996-03-15,119.72163391113281
1996-03-18,117.44841003417969
1996-03-19,111.84120178222656
1996-03-20,111.84120178222656
1996-03-21,110.62885284423828
1996-03-22,112.14430236816406
1996-03-25,116.84220886230469
1996-03-26,119.64582824707031
1996-03-27,121.99478912353516
1996-03-28,125.0257568359375
1996-03-29,122.75254821777344
1996-04-01,127.26103210449219
1996-04-02,131.08758544921875
1996-04-03,118.92599487304688
1996-04-04,124.26801300048828
1996-04-05,124.26801300048828
1996-04-08,125.0257568359375
1996-04-09,124.15438079833984
1996-04-10,112.67472839355469
1996-04-11,102.52111053466797
1996-04-12,110.02264404296875
1996-04-15,111.42445373535156
1996-04-16,111.95487213134766
1996-04-17,114.41748809814453
1996-04-18,115.17525482177734
1996-04-19,120.21414947509766
1996-04-22,118.92599487304688
1996-04-23,121.80535125732422
1996-04-24,121.23709869384766
1996-04-25,123.51026916503906
1996-04-26,121.84326934814453
1996-04-29,118.20613098144531
1996-04-30,117.25898742675781
1996-05-01,119.30487060546875
1996-05-02,116.69068145751953
1996-05-03,115.36466979980469
1996-05-06,114.87215423583984
1996-05-07,115.06159210205078
1996-05-08,115.17525482177734
1996-05-09,114.41748809814453
1996-05-10,113.69763946533203
1996-05-13,114.03864288330078
1996-05-14,113.65975189208984
1996-05-15,114.75847625732422
1996-05-16,117.44841003417969
1996-05-17,114.41748809814453
1996-05-20,115.89508819580078
1996-05-21,115.66773986816406
1996-05-22,114.94792175292969
1996-05-23,113.65975189208984
1996-05-24,113.20512390136719
1996-05-27,107.71153259277344
1996-05-28,107.18115997314453
1996-05-29,110.17420196533203
1996-05-30,108.73451232910156
1996-05-31,118.20613098144531
1996-06-03,113.12936401367188
1996-06-04,114.26593017578125
1996-06-05,115.55410766601562
1996-06-06,116.69068145751953
1996-06-07,117.44841003417969
1996-06-10,118.24404907226562
1996-06-11,118.96387481689453
1996-06-12,118.35769653320312
1996-06-13,121.65383911132812
1996-06-14,126.38965606689453
1996-06-17,134.61106872558594
1996-06-18,133.0198211669922
1996-06-19,131.88320922851562
1996-06-20,130.82240295410156
1996-06-21,131.61802673339844
1996-06-24,131.42855834960938
1996-06-25,131.12548828125
1996-06-26,129.3448028564453
1996-06-27,130.32986450195312
1996-06-28,128.92808532714844
1996-07-01,126.54121398925781
1996-07-02,125.10150909423828
1996-07-03,123.54817199707031
1996-07-04,124.26801300048828
1996-07-05,124.07857513427734
1996-07-08,124.26801300048828
1996-07-09,123.0935287475586
1996-07-10,123.8891372680664
1996-07-11,123.92704772949219
1996-07-12,123.51026916503906
1996-07-15,122.41156768798828
1996-07-16,122.75254821777344
1996-07-17,123.28295135498047
1996-07-18,123.8891372680664
1996-07-19,123.6997299194336
1996-07-22,127.9430160522461
1996-07-23,125.89712524414062
1996-07-24,125.7455825805664
1996-07-25,123.51026916503906
1996-07-26,123.32083129882812
1996-07-29,121.2750015258789
1996-07-30,119.72163391113281
1996-07-31,116.69068145751953
1996-08-01,112.71260070800781
1996-08-02,113.65975189208984
1996-08-05,110.43939208984375
1996-08-06,110.060546875
1996-08-07,110.81829833984375
1996-08-08,109.87109375
1996-08-09,109.11335754394531
1996-08-12,107.597900390625
1996-08-13,106.49920654296875
1996-08-14,108.54508209228516
1996-08-15,108.54508209228516
1996-08-16,107.597900390625
1996-08-19,107.63581085205078
1996-08-20,107.597900390625
1996-08-21,108.96182250976562
1996-08-22,111.38655853271484
1996-08-23,111.38655853271484
1996-08-26,111.38655853271484
1996-08-27,107.67369842529297
1996-08-28,109.87109375
1996-08-29,110.2499771118164
1996-08-30,110.060546875
1996-09-02,106.84016418457031
1996-09-03,108.88606262207031
1996-09-04,107.97677612304688
1996-09-05,105.36262512207031
1996-09-06,106.84016418457031
1996-09-09,107.597900390625
1996-09-10,105.32471466064453
1996-09-11,105.32471466064453
1996-09-12,102.29377746582031
1996-09-13,100.5888900756836
1996-09-16,99.26286315917969
1996-09-17,102.82418823242188
1996-09-18,99.37652587890625
1996-09-19,100.02056884765625
1996-09-20,98.88398742675781
1996-09-23,96.838134765625
1996-09-24,95.81517791748047
1996-09-25,96.04249572753906
1996-09-26,94.14817810058594
1996-09-27,91.1551513671875
1996-09-30,90.17008972167969
1996-10-01,84.14612579345703
1996-10-02,84.14612579345703
1996-10-03,81.87291717529297
1996-10-04,79.86494445800781
1996-10-07,76.45514678955078
1996-10-08,76.15202331542969
1996-10-09,73.68941497802734
1996-10-10,78.04637908935547
1996-10-11,78.80409240722656
1996-10-14,80.31956481933594
1996-10-15,81.83503723144531
1996-10-16,80.88787841796875
1996-10-17,81.07731628417969
1996-10-18,77.47808074951172
1996-10-21,77.47808074951172
1996-10-22,79.56185150146484
