Date,UNOMINDA
2007-02-02,5.11004114151001
2007-02-05,5.0422468185424805
2007-02-06,4.711745262145996
2007-02-07,4.820501327514648
2007-02-08,4.721632957458496
2007-02-09,4.673611164093018
2007-02-12,4.433504104614258
2007-02-13,4.337460994720459
2007-02-14,4.378420829772949
2007-02-15,4.488587379455566
2007-02-19,4.406670093536377
2007-02-20,4.386895656585693
2007-02-21,4.384069919586182
2007-02-22,4.3642988204956055
2007-02-23,4.504123210906982
2007-02-26,4.237180233001709
2007-02-27,4.237180233001709
2007-02-28,4.01261043548584
2007-03-01,4.194809913635254
2007-03-02,4.215995788574219
2007-03-05,3.9123311042785645
2007-03-06,3.8812572956085205
2007-03-07,4.13690185546875
2007-03-08,4.146788120269775
2007-03-09,3.9123311042785645
2007-03-12,4.235768795013428
2007-03-13,3.9857757091522217
2007-03-14,4.063457012176514
2007-03-15,4.12984037399292
2007-03-16,4.218821048736572
2007-03-19,3.9829518795013428
2007-03-20,4.152438163757324
2007-03-21,4.237180233001709
2007-03-22,4.241418361663818
2007-03-23,4.283790588378906
2007-03-26,4.264017105102539
2007-03-28,4.237180233001709
2007-03-29,4.35017204284668
2007-03-30,4.345935821533203
2007-04-02,4.321925640106201
2007-04-03,4.321925640106201
2007-04-04,4.241418361663818
2007-04-05,4.095941066741943
2007-04-09,4.159500598907471
2007-04-10,4.385482311248779
2007-04-11,4.451866149902344
2007-04-12,4.434916973114014
2007-04-13,4.519659996032715
2007-04-16,4.374182224273682
2007-04-17,4.588868618011475
2007-04-18,4.330399036407471
2007-04-19,4.519659996032715
2007-04-20,4.423617362976074
2007-04-23,4.378420829772949
2007-04-24,4.5761566162109375
2007-04-25,4.392543792724609
2007-04-26,4.457516193389893
2007-04-27,4.433504104614258
2007-04-30,4.457516193389893
2007-05-03,4.519659996032715
2007-05-04,4.519659996032715
2007-05-07,4.259782314300537
2007-05-08,4.141139030456543
2007-05-09,4.0210862159729
2007-05-10,4.173624038696289
2007-05-11,4.095941066741943
2007-05-14,4.237180233001709
2007-05-15,4.348761558532715
2007-05-16,4.237180233001709
2007-05-17,4.095941066741943
2007-05-18,4.087468147277832
2007-05-21,4.240006446838379
2007-05-22,4.240006446838379
2007-05-23,4.2343573570251465
2007-05-24,4.199047088623047
2007-05-25,4.265429973602295
2007-05-28,4.268253803253174
2007-05-29,4.180685997009277
2007-05-30,4.124190330505371
2007-05-31,4.155262470245361
2007-06-01,4.152438163757324
2007-06-04,4.0888800621032715
2007-06-05,4.13690185546875
2007-06-06,4.067695140838623
2007-06-07,3.9970741271972656
2007-06-08,3.961763858795166
2007-06-11,3.971651315689087
2007-06-12,4.091705799102783
2007-06-13,4.124190330505371
2007-06-14,4.1001787185668945
2007-06-15,4.01261043548584
2007-06-18,3.9702391624450684
2007-06-19,3.971651315689087
2007-06-20,3.971651315689087
2007-06-21,3.971651315689087
2007-06-22,3.971651315689087
2007-06-25,3.971651315689087
2007-06-26,3.8699591159820557
2007-06-27,4.131252765655518
2007-06-28,4.177861213684082
2007-06-29,4.177861213684082
2007-07-02,4.01261043548584
2007-07-03,3.9278666973114014
2007-07-04,4.001312732696533
2007-07-05,3.9532899856567383
2007-07-06,4.057806968688965
2007-07-09,3.9151570796966553
2007-07-10,3.898207426071167
2007-07-11,3.8953824043273926
2007-07-12,3.901031494140625
2007-07-13,3.8699591159820557
2007-07-16,4.0440354347229
2007-07-17,3.986487865447998
2007-07-18,4.069930553436279
2007-07-19,4.010946750640869
2007-07-20,4.092948913574219
2007-07-23,3.9131181240081787
2007-07-24,4.085755825042725
2007-07-25,3.9706649780273438
2007-07-26,3.985050678253174
2007-07-27,3.985050678253174
2007-07-30,4.056983470916748
2007-07-31,3.884345054626465
2007-08-01,3.884345054626465
2007-08-02,3.884345054626465
2007-08-03,3.812412738800049
2007-08-06,3.740480899810791
2007-08-07,3.7980265617370605
2007-08-08,3.7994656562805176
2007-08-09,3.9390146732330322
2007-08-10,3.751990795135498
2007-08-13,3.751990795135498
2007-08-14,3.740480899810791
2007-08-16,3.740480899810791
2007-08-17,3.6541635990142822
2007-08-20,3.6541635990142822
2007-08-21,3.8814682960510254
2007-08-22,3.7692532539367676
2007-08-23,3.6181952953338623
2007-08-24,3.4959118366241455
2007-08-27,3.5923008918762207
2007-08-28,3.5923008918762207
2007-08-29,3.8670811653137207
2007-08-30,3.795149326324463
2007-08-31,3.740480899810791
2007-09-03,3.9418909549713135
2007-09-04,3.832554578781128
2007-09-05,3.85557222366333
2007-09-06,3.85557222366333
2007-09-07,3.777885675430298
2007-09-10,3.7692532539367676
2007-09-11,3.882906198501587
2007-09-12,3.7980265617370605
2007-09-13,3.7447962760925293
2007-09-14,3.823923110961914
2007-09-17,3.875713348388672
2007-09-18,3.9677884578704834
2007-09-19,3.7591819763183594
2007-09-20,3.7980265617370605
2007-09-21,3.927504539489746
2007-09-24,3.8814682960510254
2007-09-25,3.740480899810791
2007-09-26,3.740480899810791
2007-09-27,4.488576412200928
2007-09-28,4.894276142120361
2007-10-01,4.525981903076172
2007-10-03,4.127476215362549
2007-10-04,3.9994380474090576
2007-10-05,3.9721038341522217
2007-10-08,3.783640146255493
2007-10-09,3.831115484237671
2007-10-10,3.966348648071289
2007-10-11,3.966348648071289
2007-10-12,3.9145562648773193
2007-10-15,4.120282173156738
2007-10-16,4.553316116333008
2007-10-17,4.370607376098633
2007-10-18,4.5907206535339355
2007-10-19,4.301553249359131
2007-10-22,4.229620456695557
2007-10-23,4.4713134765625
2007-10-24,4.9187331199646
2007-10-25,5.86536169052124
2007-10-26,5.91571569442749
2007-10-29,5.7963056564331055
2007-10-30,5.49562931060791
2007-10-31,5.930102348327637
2007-11-01,5.5085768699646
2007-11-02,5.777604103088379
2007-11-05,6.9256439208984375
2007-11-06,6.466716766357422
2007-11-07,6.538647651672363
2007-11-08,6.655179023742676
2007-11-12,6.4983673095703125
2007-11-13,6.5141921043396
2007-11-14,6.305587291717529
2007-11-15,6.125756740570068
2007-11-16,6.137265682220459
2007-11-19,6.75156831741333
2007-11-20,7.138564109802246
2007-11-21,6.963049411773682
2007-11-22,6.399100303649902
2007-11-23,6.673882007598877
2007-11-26,7.12130069732666
2007-11-27,6.905503749847412
2007-11-28,6.617773532867432
2007-11-29,6.366011619567871
2007-11-30,6.358818054199219
2007-12-03,6.276815414428711
2007-12-04,6.0825982093811035
2007-12-05,6.04231595993042
2007-12-06,5.9070820808410645
2007-12-07,5.84090518951416
2007-12-10,6.132950305938721
2007-12-11,6.301272392272949
2007-12-12,6.27249813079834
2007-12-13,6.2868852615356445
2007-12-14,6.040877342224121
2007-12-17,6.036560535430908
2007-12-18,5.783359527587891
2007-12-19,6.05670166015625
2007-12-20,5.78623628616333
2007-12-24,6.157407283782959
2007-12-26,6.002033710479736
2007-12-27,6.30271053314209
2007-12-28,6.416364669799805
2007-12-31,6.66237211227417
2008-01-01,6.835010051727295
2008-01-02,7.167336463928223
2008-01-03,6.876729965209961
2008-01-04,6.508437633514404
2008-01-07,6.330044269561768
2008-01-08,6.101299285888672
2008-01-09,6.18618106842041
2008-01-10,5.9272236824035645
2008-01-11,5.653881072998047
2008-01-14,5.9272236824035645
2008-01-15,6.223585605621338
2008-01-16,5.984769821166992
2008-01-17,5.9099602699279785
2008-01-18,5.812131404876709
2008-01-21,5.5963358879089355
2008-01-22,5.317239284515381
2008-01-23,5.064036846160889
2008-01-24,4.833852291107178
2008-01-25,5.028069972991943
2008-01-28,5.121581554412842
2008-01-29,5.334500789642334
2008-01-30,5.121581554412842
2008-01-31,5.179128170013428
2008-02-01,5.179128170013428
2008-02-04,5.438084125518799
2008-02-05,5.167619705200195
2008-02-06,4.920169830322266
2008-02-07,4.862623691558838
2008-02-08,4.622371196746826
2008-02-11,4.970524311065674
2008-02-12,4.970524311065674
2008-02-13,4.723074913024902
2008-02-14,4.487138271331787
2008-02-15,4.659775733947754
2008-02-18,4.4339070320129395
2008-02-19,4.494332790374756
2008-02-20,4.68710994720459
2008-02-21,4.862623691558838
2008-02-22,5.105756759643555
2008-02-25,5.121581554412842
2008-02-26,5.035261631011963
2008-02-27,5.065474510192871
2008-02-28,5.062595367431641
2008-02-29,4.841046333312988
2008-03-03,4.8209052085876465
2008-03-04,4.833852291107178
2008-03-05,5.074106216430664
2008-03-07,4.8209052085876465
2008-03-10,4.376363754272461
2008-03-11,4.810833930969238
2008-03-12,5.291341781616211
2008-03-13,4.992105007171631
