Date,TCIEXP
2016-12-15,331.3871154785156
2016-12-16,326.632080078125
2016-12-19,310.81378173828125
2016-12-20,296.3135070800781
2016-12-21,281.5778503417969
2016-12-22,267.5013122558594
2016-12-23,268.8666076660156
2016-12-26,255.59046936035156
2016-12-27,266.8421936035156
2016-12-28,279.4122314453125
2016-12-29,281.7662048339844
2016-12-30,272.444580078125
2017-01-02,278.0940856933594
2017-01-03,278.7531433105469
2017-01-04,275.3634948730469
2017-01-05,275.8813171386719
2017-01-06,275.97540283203125
2017-01-09,273.7156677246094
2017-01-10,273.48028564453125
2017-01-11,270.8910217285156
2017-01-12,269.949462890625
2017-01-13,274.7043762207031
2017-01-16,284.4967041015625
2017-01-17,286.4740295410156
2017-01-18,286.8977966308594
2017-01-19,281.9073486328125
2017-01-20,278.046875
2017-01-23,278.70599365234375
2017-01-24,281.20123291015625
2017-01-25,283.36688232421875
2017-01-27,281.4366149902344
2017-01-30,277.5762023925781
2017-01-31,286.8036193847656
2017-02-01,282.4252624511719
2017-02-02,281.4366149902344
2017-02-03,283.837646484375
2017-02-06,292.7825927734375
2017-02-07,295.2370300292969
2017-02-08,294.1986083984375
2017-02-09,290.4698181152344
2017-02-10,290.328125
2017-02-13,285.6081237792969
2017-02-14,283.5313415527344
2017-02-15,278.1505432128906
2017-02-16,280.13299560546875
2017-02-17,279.3305969238281
2017-02-20,278.5281677246094
2017-02-21,278.4338073730469
2017-02-22,275.6489562988281
2017-02-23,276.12091064453125
2017-02-27,275.5072937011719
2017-02-28,280.03851318359375
2017-03-01,290.328125
2017-03-02,284.47540283203125
2017-03-03,288.67608642578125
2017-03-06,288.3457946777344
2017-03-07,282.5401611328125
2017-03-08,287.3546142578125
2017-03-09,284.4281921386719
2017-03-10,285.46649169921875
2017-03-14,293.3489990234375
2017-03-15,352.0187683105469
2017-03-16,382.6988525390625
2017-03-17,366.6036682128906
2017-03-20,390.06219482421875
2017-03-21,382.5572814941406
2017-03-22,384.35089111328125
2017-03-23,386.6637268066406
2017-03-24,383.3124694824219
2017-03-27,376.5157165527344
2017-03-28,378.92291259765625
2017-03-29,374.4388732910156
2017-03-30,375.80767822265625
2017-03-31,375.6189270019531
2017-04-03,380.3388977050781
2017-04-05,380.197265625
2017-04-06,375.5716552734375
2017-04-07,375.05255126953125
2017-04-10,373.0700988769531
2017-04-11,372.3620910644531
2017-04-12,372.5509033203125
2017-04-13,374.3445129394531
2017-04-17,369.5772399902344
2017-04-18,396.81170654296875
2017-04-19,412.6237487792969
2017-04-20,402.900634765625
2017-04-21,400.4461669921875
2017-04-24,434.9022521972656
2017-04-25,461.6175231933594
2017-04-26,445.0975036621094
2017-04-27,453.9711608886719
2017-04-28,437.5455017089844
2017-05-02,439.10308837890625
2017-05-03,435.98785400390625
