Date,IGIL
2024-12-30,538.8055419921875
2024-12-31,538.1739501953125
2025-01-01,578.010009765625
2025-01-02,580.293212890625
2025-01-03,597.7335815429688
2025-01-06,570.334228515625
2025-01-07,595.1102905273438
2025-01-08,602.7859497070312
2025-01-09,585.7828369140625
2025-01-10,569.2168579101562
2025-01-13,533.1217041015625
2025-01-14,533.267333984375
2025-01-15,524.7172241210938
2025-01-16,530.595458984375
2025-01-17,503.390380859375
2025-01-20,507.17962646484375
2025-01-21,495.0345764160156
2025-01-22,505.6251220703125
2025-01-23,532.7816162109375
2025-01-24,507.5197448730469
2025-01-27,471.18157958984375
2025-01-28,482.4036865234375
2025-01-29,500.1355285644531
2025-01-30,494.1115417480469
2025-01-31,492.2169189453125
2025-02-03,494.7916564941406
2025-02-04,515.3897705078125
2025-02-05,490.468017578125
2025-02-06,486.29010009765625
2025-02-07,479.3431091308594
2025-02-10,467.1493835449219
2025-02-11,444.1708679199219
2025-02-12,445.4339599609375
2025-02-13,457.8705749511719
2025-02-14,439.4585876464844
2025-02-17,420.6579284667969
2025-02-18,415.0711975097656
2025-02-19,418.22894287109375
2025-02-20,433.43463134765625
2025-02-21,406.6181945800781
2025-02-24,403.16900634765625
2025-02-25,395.2989807128906
2025-02-27,386.8459777832031
2025-02-28,397.8341979980469
2025-03-03,358.0458984375
2025-03-04,324.02545166015625
2025-03-05,318.30645751953125
2025-03-06,324.8074951171875
2025-03-07,321.53253173828125
2025-03-10,305.4510498046875
2025-03-11,290.20050048828125
2025-03-12,288.8318176269531
2025-03-13,301.5895080566406
2025-03-17,297.1903076171875
2025-03-18,297.1903076171875
2025-03-19,320.4571838378906
2025-03-20,336.44091796875
2025-03-21,353.2556457519531
2025-03-24,370.90130615234375
2025-03-25,370.8524475097656
2025-03-26,357.5570983886719
2025-03-27,364.10699462890625
2025-03-28,376.5714111328125
2025-04-01,378.086669921875
2025-04-02,382.3392333984375
2025-04-03,393.43499755859375
2025-04-04,373.7852783203125
2025-04-07,355.11309814453125
2025-04-08,337.3696594238281
2025-04-09,320.5060729980469
2025-04-11,329.7443542480469
2025-04-15,331.9440002441406
2025-04-16,328.9623107910156
2025-04-17,345.3859558105469
2025-04-21,360.9298400878906
2025-04-22,363.27606201171875
2025-04-23,359.46343994140625
2025-04-24,355.5041198730469
2025-04-25,342.20880126953125
2025-04-28,342.159912109375
2025-04-29,339.0804748535156
2025-04-30,339.3737487792969
2025-05-02,335.75665283203125
2025-05-05,336.0498962402344
2025-05-06,322.0213317871094
2025-05-07,334.2413330078125
2025-05-08,338.2494812011719
2025-05-09,336.4898376464844
2025-05-12,353.30450439453125
2025-05-13,364.4491271972656
