Date,FINEORG
2018-07-02,800.4883422851562
2018-07-03,799.4668579101562
2018-07-04,796.54833984375
2018-07-05,797.9589233398438
2018-07-06,785.16552734375
2018-07-09,783.3169555664062
2018-07-10,785.9923706054688
2018-07-11,787.7437133789062
2018-07-12,797.4237670898438
2018-07-13,783.9493408203125
2018-07-16,769.0156860351562
2018-07-17,768.4805908203125
2018-07-18,759.2382202148438
2018-07-19,760.7947387695312
2018-07-20,731.1705322265625
2018-07-23,730.1489868164062
2018-07-24,749.8984985351562
2018-07-25,740.802001953125
2018-07-26,763.6649169921875
2018-07-27,787.8409423828125
2018-07-30,802.6287841796875
2018-07-31,805.3041381835938
2018-08-01,782.4414672851562
2018-08-02,778.7930297851562
2018-08-03,773.1502685546875
2018-08-06,778.4039916992188
2018-08-07,786.0896606445312
2018-08-08,784.8736572265625
2018-08-09,779.0849609375
2018-08-10,777.91748046875
2018-08-13,772.4207153320312
2018-08-14,795.6726684570312
2018-08-16,807.298583984375
2018-08-17,804.5744018554688
2018-08-20,818.048828125
2018-08-21,874.0870361328125
2018-08-23,948.8532104492188
2018-08-24,948.172119140625
2018-08-27,943.2590942382812
2018-08-28,931.000732421875
2018-08-29,970.499755859375
2018-08-30,976.9208374023438
2018-08-31,1023.181396484375
2018-09-03,1083.7919921875
2018-09-04,1067.1070556640625
2018-09-05,1109.2330322265625
2018-09-06,1108.1142578125
2018-09-07,1095.1260986328125
2018-09-10,1077.0792236328125
2018-09-11,1068.177001953125
2018-09-12,1066.572021484375
2018-09-14,1102.5201416015625
2018-09-17,1091.623779296875
2018-09-18,1079.5601806640625
2018-09-19,1036.8729248046875
2018-09-21,1076.81884765625
2018-09-24,1140.212646484375
2018-09-25,1094.8333740234375
2018-09-26,1081.6650390625
2018-09-27,1074.9095458984375
2018-09-28,1036.432373046875
2018-10-01,1047.0552978515625
2018-10-03,1007.305419921875
2018-10-04,1000.3540649414062
2018-10-05,998.9833984375
2018-10-08,1017.7322998046875
2018-10-09,1012.3966064453125
2018-10-10,1090.2806396484375
2018-10-11,1037.4112548828125
2018-10-12,1076.622802734375
2018-10-15,1067.1749267578125
2018-10-16,1093.1201171875
2018-10-17,1072.1195068359375
2018-10-19,1034.4256591796875
2018-10-22,1018.4667358398438
2018-10-23,1021.1102905273438
2018-10-24,1013.1797485351562
2018-10-25,1017.9281616210938
2018-10-26,1016.6063842773438
2018-10-29,1071.3848876953125
2018-10-30,1054.4471435546875
2018-10-31,1104.8687744140625
2018-11-01,1117.3515625
2018-11-02,1103.694091796875
2018-11-05,1058.1676025390625
2018-11-06,1077.69970703125
2018-11-07,1097.18310546875
2018-11-09,1096.8895263671875
2018-11-12,1123.61767578125
2018-11-13,1190.87890625
2018-11-14,1141.9752197265625
2018-11-15,1145.6953125
2018-11-16,1123.22607421875
2018-11-19,1099.385986328125
2018-11-20,1104.96630859375
2018-11-21,1096.9873046875
2018-11-22,1115.0999755859375
2018-11-26,1106.2393798828125
2018-11-27,1115.2958984375
2018-11-28,1096.595703125
2018-11-29,1096.3509521484375
2018-11-30,1094.4908447265625
2018-12-03,1108.00146484375
2018-12-04,1103.155517578125
2018-12-05,1123.66650390625
2018-12-06,1112.896728515625
2018-12-07,1132.722900390625
2018-12-10,1116.519287109375
2018-12-11,1121.5618896484375
2018-12-12,1175.605712890625
2018-12-13,1164.59130859375
2018-12-14,1153.3323974609375
2018-12-17,1146.625732421875
2018-12-18,1150.1011962890625
2018-12-19,1172.0811767578125
2018-12-20,1191.809326171875
2018-12-21,1158.3253173828125
2018-12-24,1143.1500244140625
2018-12-26,1143.9332275390625
2018-12-27,1152.7447509765625
2018-12-28,1151.5208740234375
2018-12-31,1163.1226806640625
2019-01-01,1186.669189453125
2019-01-02,1177.367919921875
2019-01-03,1175.31201171875
2019-01-04,1178.493896484375
2019-01-07,1150.0032958984375
2019-01-08,1152.7447509765625
2019-01-09,1172.913330078125
2019-01-10,1154.60498046875
2019-01-11,1165.7171630859375
2019-01-14,1161.4583740234375
2019-01-15,1161.7520751953125
2019-01-16,1158.3253173828125
2019-01-17,1168.1160888671875
2019-01-18,1145.646728515625
2019-01-21,1122.197998046875
2019-01-22,1120.044189453125
2019-01-23,1143.590576171875
2019-01-24,1124.15625
2019-01-25,1101.5889892578125
2019-01-28,1045.1949462890625
2019-01-29,1007.3543701171875
2019-01-30,1011.6622924804688
2019-01-31,1094.09912109375
2019-02-01,1076.7205810546875
2019-02-04,1048.083251953125
2019-02-05,1030.900634765625
2019-02-06,1044.0201416015625
2019-02-07,1069.8673095703125
2019-02-08,1057.482177734375
2019-02-11,1078.0423583984375
2019-02-12,1062.67138671875
2019-02-14,1107.0224609375
2019-02-15,1121.169921875
2019-02-18,1087.2454833984375
2019-02-19,1079.657958984375
2019-02-20,1103.8406982421875
2019-02-21,1100.5118408203125
2019-02-22,1124.15625
2019-02-25,1106.1904296875
2019-02-26,1102.225341796875
2019-02-27,1107.3162841796875
2019-02-28,1121.4149169921875
2019-03-01,1113.0438232421875
2019-03-05,1123.96044921875
2019-03-06,1155.339111328125
2019-03-07,1176.2421875
2019-03-08,1175.801513671875
2019-03-11,1161.605224609375
2019-03-12,1179.13037109375
2019-03-13,1178.053466796875
2019-03-14,1170.0252685546875
2019-03-15,1205.369140625
2019-03-18,1262.98681640625
2019-03-19,1282.9105224609375
2019-03-20,1249.671630859375
2019-03-22,1234.545166015625
2019-03-25,1231.167236328125
2019-03-26,1201.8446044921875
2019-03-27,1241.251708984375
2019-03-28,1241.4473876953125
2019-04-01,1264.8470458984375
2019-04-02,1293.435546875
2019-04-03,1305.6248779296875
2019-04-04,1287.561279296875
2019-04-05,1286.9249267578125
2019-04-08,1293.97412109375
2019-04-09,1311.7928466796875
2019-04-10,1279.679931640625
2019-04-11,1282.2255859375
2019-04-12,1268.616455078125
2019-04-15,1290.204833984375
2019-04-16,1317.8631591796875
2019-04-18,1280.9525146484375
2019-04-22,1274.7354736328125
2019-04-23,1293.0439453125
2019-04-24,1354.3328857421875
2019-04-25,1361.627197265625
2019-04-26,1360.74609375
2019-04-30,1360.4522705078125
2019-05-02,1398.2440185546875
2019-05-03,1405.7825927734375
2019-05-06,1392.0267333984375
2019-05-07,1389.77490234375
2019-05-08,1338.0318603515625
2019-05-09,1332.0106201171875
2019-05-10,1341.3603515625
2019-05-13,1327.5069580078125
2019-05-14,1322.121826171875
2019-05-15,1321.8770751953125
2019-05-16,1334.017578125
2019-05-17,1334.458251953125
2019-05-20,1353.109375
2019-05-21,1352.5218505859375
2019-05-22,1392.1246337890625
2019-05-23,1401.866455078125
2019-05-24,1469.4705810546875
2019-05-27,1467.5123291015625
2019-05-28,1441.9591064453125
2019-05-29,1458.064453125
2019-05-30,1467.41455078125
2019-05-31,1513.6259765625
2019-06-03,1551.0262451171875
2019-06-04,1544.3685302734375
2019-06-06,1484.5970458984375
2019-06-07,1458.9454345703125
2019-06-10,1462.9107666015625
2019-06-11,1449.0570068359375
2019-06-12,1448.1268310546875
2019-06-13,1429.08447265625
2019-06-14,1412.63623046875
2019-06-17,1417.9232177734375
