Date,HINDUNILVR
1996-01-01,33.02480697631836
1996-01-02,33.377471923828125
1996-01-03,33.17976379394531
1996-01-04,33.18242645263672
1996-01-05,33.129005432128906
1996-01-08,33.14236831665039
1996-01-09,33.26792907714844
1996-01-10,33.505714416503906
1996-01-11,33.34274673461914
1996-01-12,33.3614387512207
1996-01-15,33.34274673461914
1996-01-16,33.46831130981445
1996-01-17,33.623252868652344
1996-01-18,33.663352966308594
1996-01-19,34.02669143676758
1996-01-22,33.96257400512695
1996-01-23,34.01066207885742
1996-01-24,33.845001220703125
1996-01-25,33.823646545410156
1996-01-26,33.823646545410156
1996-01-29,34.13087844848633
1996-01-30,34.37936782836914
1996-01-31,34.35530471801758
1996-02-01,34.622474670410156
1996-02-02,35.24766540527344
1996-02-05,36.3243408203125
1996-02-06,35.75528335571289
1996-02-07,35.8354377746582
1996-02-08,36.655635833740234
1996-02-09,36.4659538269043
1996-02-12,37.32356262207031
1996-02-13,37.9059944152832
1996-02-14,37.72432327270508
1996-02-15,38.157127380371094
1996-02-16,37.67087936401367
1996-02-19,37.98347854614258
1996-02-20,37.67622375488281
1996-02-21,37.67622375488281
1996-02-22,38.325439453125
1996-02-23,38.44034194946289
1996-02-26,38.162479400634766
1996-02-27,38.15447235107422
1996-02-28,38.20255661010742
1996-02-29,37.89797592163086
1996-03-01,37.93270492553711
1996-03-04,37.76172637939453
1996-03-05,37.76172637939453
1996-03-06,37.574710845947266
1996-03-07,36.54609680175781
1996-03-08,35.82740783691406
1996-03-11,35.92626953125
1996-03-12,36.514034271240234
1996-03-13,36.95220184326172
1996-03-14,37.38768768310547
1996-03-15,37.41706848144531
1996-03-18,38.15178680419922
1996-03-19,38.05827713012695
1996-03-20,38.05827713012695
1996-03-21,37.946067810058594
1996-03-22,37.73500061035156
1996-03-25,37.91401290893555
1996-03-26,38.14109420776367
1996-03-27,37.759056091308594
1996-03-28,37.780426025390625
1996-03-29,37.72966766357422
1996-04-01,37.684234619140625
1996-04-02,38.1598014831543
1996-04-03,38.646053314208984
1996-04-04,38.33613204956055
1996-04-05,38.33613204956055
1996-04-08,38.56857681274414
1996-04-09,38.27735137939453
1996-04-10,38.811710357666016
1996-04-11,38.095672607421875
1996-04-12,37.908660888671875
1996-04-15,38.69414138793945
1996-04-16,40.87691879272461
1996-04-17,41.846736907958984
1996-04-18,41.58491134643555
1996-04-19,41.29637145996094
1996-04-22,40.558982849121094
1996-04-23,40.54829025268555
1996-04-24,41.42462158203125
1996-04-25,42.78984069824219
1996-04-26,42.42384338378906
1996-04-29,41.82804870605469
1996-04-30,42.044437408447266
1996-05-01,42.75243377685547
1996-05-02,42.26353454589844
1996-05-03,41.860111236572266
1996-05-06,41.44330596923828
1996-05-07,41.389888763427734
1996-05-08,42.73908233642578
1996-05-09,41.44330596923828
1996-05-10,41.22423553466797
1996-05-13,41.30437088012695
1996-05-14,41.7184944152832
1996-05-15,41.59292984008789
1996-05-16,41.568878173828125
1996-05-17,41.264320373535156
1996-05-20,40.66050338745117
1996-05-21,40.93034744262695
1996-05-22,40.8956184387207
1996-05-23,41.32309341430664
1996-05-24,41.576900482177734
1996-05-27,40.93302917480469
1996-05-28,40.84486770629883
1996-05-29,41.494083404541016
