Date,OPTIEMUS
2017-08-08,56.677772521972656
2017-08-09,55.23723220825195
2017-08-10,55.982337951660156
2017-08-11,53.647674560546875
2017-08-14,52.1574592590332
2017-08-16,54.64114761352539
2017-08-17,53.69734573364258
2017-08-18,54.144412994384766
2017-08-21,54.34310531616211
2017-08-22,53.448978424072266
2017-08-23,53.150936126708984
2017-08-24,55.03853988647461
2017-08-28,53.647674560546875
2017-08-29,52.753543853759766
2017-08-30,52.256805419921875
2017-08-31,53.448978424072266
2017-09-01,54.88951873779297
2017-09-04,52.1574592590332
2017-09-05,53.20060729980469
2017-09-06,55.684295654296875
2017-09-07,54.69082260131836
2017-09-08,54.93918991088867
2017-09-11,56.677772521972656
2017-09-12,54.39278030395508
2017-09-13,53.647674560546875
2017-09-14,53.101261138916016
2017-09-15,48.97834014892578
2017-09-18,49.673770904541016
2017-09-19,51.958763122558594
2017-09-20,50.91561508178711
2017-09-21,49.375728607177734
2017-09-22,49.574424743652344
2017-09-25,48.18355941772461
2017-09-26,47.2894287109375
2017-09-27,47.2397575378418
2017-09-28,47.19008255004883
2017-09-29,46.69334411621094
2017-10-03,46.246280670166016
2017-10-04,45.89856719970703
2017-10-05,45.69987106323242
2017-10-06,42.76911544799805
2017-10-09,44.557373046875
2017-10-10,42.719444274902344
2017-10-11,42.22270584106445
2017-10-12,40.88151550292969
2017-10-13,39.68934631347656
2017-10-16,47.58747482299805
2017-10-17,57.075164794921875
2017-10-18,68.4504623413086
2017-10-19,74.26229095458984
2017-10-23,69.39425659179688
2017-10-24,72.07664489746094
2017-10-25,71.72891998291016
2017-10-26,65.27133178710938
2017-10-27,63.33406066894531
2017-10-30,64.62557983398438
2017-10-31,64.3275375366211
2017-11-01,70.7354507446289
2017-11-02,72.72239685058594
2017-11-03,73.16946411132812
2017-11-06,73.16946411132812
2017-11-07,71.77860260009766
2017-11-08,70.83480072021484
2017-11-09,75.75250244140625
2017-11-10,79.82575225830078
2017-11-13,75.40478515625
2017-11-14,75.40478515625
2017-11-15,73.31848907470703
2017-11-16,76.94467163085938
2017-11-17,78.88195037841797
2017-11-20,82.8061752319336
2017-11-21,82.75650787353516
2017-11-22,82.01139831542969
2017-11-23,83.65062713623047
2017-11-24,80.02445220947266
2017-11-27,79.13031768798828
2017-11-28,76.84532165527344
2017-11-29,79.62705993652344
2017-11-30,78.9813003540039
2017-12-01,77.64010620117188
2017-12-04,79.42835998535156
2017-12-05,78.48455810546875
2017-12-06,78.38521575927734
2017-12-07,82.259765625
2017-12-08,86.33301544189453
2017-12-11,90.6049575805664
2017-12-12,95.12527465820312
2017-12-13,99.84428405761719
2017-12-14,101.03644561767578
2017-12-15,105.50708770751953
2017-12-18,110.77251434326172
2017-12-19,116.28630065917969
2017-12-20,122.09812927246094
2017-12-21,127.71127319335938
2017-12-22,134.0695037841797
2017-12-26,140.7257843017578
2017-12-27,147.72979736328125
2017-12-28,155.08152770996094
2017-12-29,162.8306121826172
2018-01-01,170.9274444580078
2018-01-02,179.47132873535156
2018-01-03,188.41261291503906
2018-01-04,197.80096435546875
2018-01-05,207.68605041503906
2018-01-08,218.06785583496094
2018-01-09,228.9464111328125
2018-01-10,240.3713836669922
2018-01-11,252.19374084472656
2018-01-12,264.7115478515625
2018-01-15,277.92474365234375
2018-01-16,264.0657653808594
2018-01-17,250.9022216796875
2018-01-18,263.4200134277344
2018-01-19,276.4345397949219
2018-01-22,278.0737609863281
2018-01-23,273.4541015625
2018-01-24,279.116943359375
2018-01-25,272.7090148925781
2018-01-29,269.6292419433594
2018-01-30,264.8605651855469
2018-01-31,259.7938232421875
2018-02-01,271.8645324707031
2018-02-02,262.4762268066406
2018-02-05,267.0461730957031
2018-02-06,262.92327880859375
2018-02-07,266.89715576171875
2018-02-08,271.0697937011719
2018-02-09,266.99652099609375
2018-02-12,265.5063171386719
2018-02-14,267.34423828125
2018-02-15,264.661865234375
2018-02-16,258.8500061035156
2018-02-19,259.2474365234375
2018-02-20,258.15460205078125
2018-02-21,245.28907775878906
2018-02-22,236.44715881347656
2018-02-23,224.82350158691406
2018-02-26,213.8455810546875
2018-02-27,216.03123474121094
2018-02-28,224.27708435058594
2018-03-01,221.19729614257812
2018-03-05,210.16973876953125
2018-03-06,199.68856811523438
2018-03-07,202.86767578125
2018-03-08,196.8074951171875
2018-03-09,206.5932159423828
2018-03-12,216.8756866455078
2018-03-13,227.70457458496094
2018-03-14,239.07986450195312
2018-03-15,244.79234313964844
2018-03-16,246.133544921875
2018-03-19,245.1897430419922
2018-03-20,242.06028747558594
2018-03-21,233.26803588867188
2018-03-22,236.2484588623047
2018-03-23,226.5124053955078
2018-03-26,228.3006591796875
2018-03-27,239.6759490966797
2018-03-28,239.77529907226562
2018-04-02,243.79885864257812
2018-04-03,249.61070251464844
2018-04-04,250.30613708496094
2018-04-05,252.83949279785156
2018-04-06,252.19374084472656
2018-04-09,248.91526794433594
2018-04-10,246.87864685058594
2018-04-11,246.58059692382812
2018-04-12,235.80140686035156
2018-04-13,236.7948760986328
2018-04-16,240.9178009033203
2018-04-17,229.79087829589844
2018-04-18,239.17921447753906
2018-04-19,237.6393280029297
2018-04-20,240.8681182861328
2018-04-23,243.4014892578125
2018-04-24,249.2629852294922
2018-04-25,250.50482177734375
2018-04-26,258.0055847167969
2018-04-27,266.0527038574219
2018-04-30,273.8018493652344
2018-05-02,272.808349609375
2018-05-03,271.9638977050781
2018-05-04,272.2122802734375
2018-05-07,275.39141845703125
2018-05-08,277.97442626953125
2018-05-09,283.8359375
2018-05-10,291.2373046875
2018-05-11,294.76416015625
2018-05-14,293.9197082519531
2018-05-15,292.0321044921875
2018-05-16,292.0321044921875
2018-05-17,291.43603515625
2018-05-18,290.045166015625
2018-05-21,290.2935485839844
2018-05-22,289.1510009765625
2018-05-23,291.2373046875
2018-05-24,291.08831787109375
2018-05-25,290.7405700683594
2018-05-28,301.7681579589844
2018-05-29,302.9603576660156
2018-05-30,312.7957458496094
2018-05-31,322.0847473144531
2018-06-01,310.21270751953125
2018-06-04,301.2217712402344
2018-06-05,290.98895263671875
