Date,MGL
2016-07-01,396.2945861816406
2016-07-04,404.48248291015625
2016-07-05,394.1619873046875
2016-07-07,385.5550842285156
2016-07-08,382.7369384765625
2016-07-11,383.42242431640625
2016-07-12,378.35736083984375
2016-07-13,381.023193359375
2016-07-14,385.8216857910156
2016-07-15,386.0121765136719
2016-07-18,388.37335205078125
2016-07-19,388.03057861328125
2016-07-20,388.5256652832031
2016-07-21,383.80328369140625
2016-07-22,387.0022888183594
2016-07-25,384.29833984375
2016-07-26,380.3757629394531
2016-07-27,379.3094787597656
2016-07-28,385.6693420410156
2016-07-29,387.53546142578125
2016-08-01,390.23931884765625
2016-08-02,395.609130859375
2016-08-03,389.4776916503906
2016-08-04,393.7811279296875
2016-08-05,395.7233581542969
2016-08-08,403.9112243652344
2016-08-09,411.5280456542969
2016-08-10,407.5672302246094
2016-08-11,405.5869445800781
2016-08-12,408.9001770019531
2016-08-16,409.0905456542969
2016-08-17,418.42095947265625
2016-08-18,434.8349914550781
2016-08-19,439.7476501464844
2016-08-22,450.563232421875
2016-08-23,442.1087951660156
2016-08-24,453.8765563964844
2016-08-25,446.9072570800781
2016-08-26,454.1812744140625
2016-08-29,467.5865173339844
2016-08-30,488.8750305175781
2016-08-31,496.7964172363281
2016-09-01,484.5335998535156
2016-09-02,483.88616943359375
2016-09-06,496.4917297363281
2016-09-07,492.7976379394531
2016-09-08,494.58758544921875
2016-09-09,490.2840881347656
2016-09-12,472.1945495605469
2016-09-14,480.8775939941406
2016-09-15,477.822265625
2016-09-16,474.4539489746094
2016-09-19,476.2164611816406
2016-09-20,472.14288330078125
2016-09-21,472.3387451171875
2016-09-22,480.8385009765625
2016-09-23,485.6170349121094
2016-09-26,487.3013000488281
2016-09-27,497.28936767578125
2016-09-28,518.2838745117188
2016-09-29,507.0032653808594
2016-09-30,517.1481323242188
2016-10-03,524.4725952148438
2016-10-04,565.6392211914062
2016-10-05,547.1514892578125
2016-10-06,547.3473510742188
2016-10-07,550.87255859375
2016-10-10,561.6048583984375
2016-10-13,541.5894775390625
2016-10-14,568.0677490234375
2016-10-17,594.4676513671875
2016-10-18,591.84326171875
2016-10-19,595.603515625
2016-10-20,594.6635131835938
2016-10-21,618.4782104492188
2016-10-24,619.770751953125
2016-10-25,602.4972534179688
2016-10-26,599.0504760742188
2016-10-27,589.7673950195312
2016-10-28,595.2118530273438
2016-11-01,606.7275390625
2016-11-02,593.9584350585938
2016-11-03,591.9215698242188
2016-11-04,563.524169921875
2016-11-07,555.298583984375
2016-11-08,560.4297485351562
2016-11-09,570.6137084960938
2016-11-10,585.5762329101562
2016-11-11,585.4196166992188
2016-11-15,583.1087036132812
2016-11-16,574.6871948242188
2016-11-17,603.5156860351562
2016-11-18,586.6729125976562
2016-11-21,580.4843139648438
2016-11-22,577.1549072265625
2016-11-23,572.572265625
2016-11-24,576.3323974609375
2016-11-25,603.6331176757812
2016-11-28,604.0640258789062
2016-11-29,609.6651000976562
2016-11-30,602.5364990234375
2016-12-01,584.8320922851562
2016-12-02,575.196533203125
2016-12-05,582.5209350585938
2016-12-06,588.474853515625
2016-12-07,584.3619995117188
2016-12-08,587.5737915039062
2016-12-09,590.864013671875
2016-12-12,585.1453857421875
2016-12-13,595.6818237304688
2016-12-14,588.513916015625
2016-12-15,597.91455078125
2016-12-16,614.326416015625
2016-12-19,613.1119995117188
2016-12-20,614.75732421875
2016-12-21,608.7643432617188
2016-12-22,602.849853515625
2016-12-23,598.3844604492188
2016-12-26,608.490234375
2016-12-27,605.8658447265625
2016-12-28,607.8634033203125
2016-12-29,613.54296875
2016-12-30,617.185546875
2017-01-02,629.7979736328125
2017-01-03,644.4865112304688
2017-01-04,658.234619140625
2017-01-05,667.1260375976562
2017-01-06,658.7047119140625
2017-01-09,664.4625854492188
2017-01-10,660.2713623046875
2017-01-11,661.2113647460938
2017-01-12,658.66552734375
2017-01-13,659.997314453125
2017-01-16,657.3729248046875
2017-01-17,655.76708984375
2017-01-18,667.7528686523438
2017-01-19,677.8192138671875
2017-01-20,666.6951293945312
2017-01-23,676.9182739257812
2017-01-24,685.9664916992188
2017-01-25,685.1829833984375
2017-01-27,684.0078125
2017-01-30,683.3811645507812
2017-01-31,669.2802734375
2017-02-01,692.860107421875
2017-02-02,683.3811645507812
2017-02-03,684.2036743164062
2017-02-06,709.9769287109375
2017-02-07,729.0914306640625
2017-02-08,721.610107421875
2017-02-09,721.8059692382812
2017-02-10,720.4349975585938
2017-02-13,721.962646484375
2017-02-14,717.771484375
2017-02-15,716.2439575195312
2017-02-16,705.7467651367188
2017-02-17,680.888671875
2017-02-20,689.1878051757812
2017-02-21,696.775634765625
2017-02-22,691.0847778320312
2017-02-23,682.5484619140625
2017-02-27,693.060791015625
2017-02-28,690.689697265625
2017-03-01,690.4525146484375
2017-03-02,695.4716796875
2017-03-03,682.9832153320312
2017-03-06,671.56201171875
2017-03-07,678.5965576171875
2017-03-08,676.9367065429688
2017-03-09,674.447021484375
2017-03-10,672.1943359375
2017-03-14,675.9880981445312
2017-03-15,671.56201171875
2017-03-16,669.309326171875
2017-03-17,679.5845336914062
2017-03-20,698.119384765625
2017-03-21,712.5836791992188
2017-03-22,706.1814575195312
2017-03-23,704.6006469726562
2017-03-24,704.7191162109375
2017-03-27,708.35498046875
2017-03-28,710.6076049804688
2017-03-29,710.4890747070312
2017-03-30,707.5252075195312
2017-03-31,707.7227172851562
2017-04-03,706.537109375
2017-04-05,698.791259765625
2017-04-06,707.9598388671875
2017-04-07,699.5025024414062
2017-04-10,710.6866455078125
2017-04-11,739.378173828125
2017-04-12,749.297607421875
2017-04-13,751.55029296875
2017-04-17,773.9581298828125
2017-04-18,771.1915893554688
2017-04-19,791.4258422851562
2017-04-20,806.1273193359375
2017-04-21,793.2437133789062
2017-04-24,796.1287841796875
2017-04-25,801.7405395507812
2017-04-26,795.3778686523438
2017-04-27,803.2028198242188
2017-04-28,815.058837890625
2017-05-02,803.0446166992188
2017-05-03,792.5719604492188
2017-05-04,790.6749877929688
2017-05-05,785.3397827148438
2017-05-08,785.7744750976562
2017-05-09,783.9170532226562
2017-05-10,796.6820678710938
2017-05-11,790.793701171875
2017-05-12,775.3016967773438
2017-05-15,786.3278198242188
2017-05-16,782.8104858398438
2017-05-17,796.919189453125
2017-05-18,773.0491943359375
2017-05-19,775.8549194335938
2017-05-22,770.7174682617188
2017-05-23,751.3526611328125
2017-05-24,739.4176025390625
2017-05-25,755.739501953125
2017-05-26,756.213623046875
2017-05-29,767.12109375
2017-05-30,775.3807983398438
2017-05-31,763.761962890625
2017-06-01,759.8890380859375
2017-06-02,779.2142333984375
2017-06-05,777.8311157226562
2017-06-06,785.3397827148438
2017-06-07,782.2967529296875
2017-06-08,781.5064086914062
2017-06-09,769.5319213867188
2017-06-12,759.968017578125
2017-06-13,761.6278076171875
2017-06-14,765.5402221679688
2017-06-15,766.4889526367188
2017-06-16,773.1282348632812
2017-06-19,777.5939331054688
2017-06-20,775.5389404296875
2017-06-21,786.1697387695312
2017-06-22,781.5458374023438
2017-06-23,774.946044921875
2017-06-27,761.944091796875
2017-06-28,762.6554565429688
2017-06-29,775.7364501953125
2017-06-30,781.3878784179688
2017-07-03,784.3914794921875
2017-07-04,778.739990234375
2017-07-05,775.9341430664062
2017-07-06,772.8909912109375
2017-07-07,770.9940795898438
2017-07-10,773.2467041015625
2017-07-11,777.1197509765625
2017-07-12,792.1766357421875
2017-07-13,785.9326782226562
2017-07-14,780.4393920898438
2017-07-17,778.739990234375
2017-07-18,771.5867919921875
2017-07-19,771.7054443359375
2017-07-20,778.7005004882812
2017-07-21,777.751953125
2017-07-24,778.1470947265625
