Date,ITDC
2016-12-30,205.01654052734375
2017-01-02,208.96102905273438
2017-01-03,205.8343048095703
2017-01-04,202.94810485839844
2017-01-05,203.23670959472656
2017-01-06,206.65208435058594
2017-01-09,207.66224670410156
2017-01-10,210.35601806640625
2017-01-11,209.34584045410156
2017-01-12,206.70018005371094
2017-01-13,248.0209503173828
2017-01-16,290.4962158203125
2017-01-17,301.55999755859375
2017-01-18,285.0605163574219
2017-01-19,268.89776611328125
2017-01-20,267.98382568359375
2017-01-23,266.0596923828125
2017-01-24,261.5379943847656
2017-01-25,269.85986328125
2017-01-27,268.320556640625
2017-01-30,267.5509338378906
2017-01-31,264.66473388671875
2017-02-01,262.3076477050781
2017-02-02,254.8516387939453
2017-02-03,275.1512451171875
2017-02-06,287.1290283203125
2017-02-07,297.27874755859375
2017-02-08,303.8208312988281
2017-02-09,335.376708984375
2017-02-10,339.4654846191406
2017-02-13,407.33929443359375
2017-02-14,405.8962097167969
2017-02-15,372.0314636230469
2017-02-16,393.6298522949219
2017-02-17,392.47540283203125
2017-02-20,399.7389831542969
2017-02-21,398.6806945800781
2017-02-22,388.00177001953125
2017-02-23,392.7159118652344
2017-02-27,377.8519287109375
2017-02-28,383.5281677246094
2017-03-01,380.2090148925781
2017-03-02,369.72247314453125
2017-03-03,369.2414245605469
2017-03-06,377.9000549316406
2017-03-07,375.3505554199219
2017-03-08,370.1553649902344
2017-03-09,365.15264892578125
2017-03-10,365.15264892578125
2017-03-14,366.69195556640625
2017-03-15,383.2395324707031
2017-03-16,402.5289611816406
2017-03-17,401.8554992675781
2017-03-20,399.54656982421875
2017-03-21,401.1340026855469
2017-03-22,397.38189697265625
2017-03-23,395.0248718261719
2017-03-24,393.43743896484375
2017-03-27,380.5938415527344
2017-03-28,387.0396728515625
2017-03-29,375.5429992675781
2017-03-30,375.2543640136719
2017-03-31,396.3236389160156
2017-04-03,392.6196594238281
2017-04-05,390.1183166503906
2017-04-06,393.0045166015625
2017-04-07,386.65484619140625
2017-04-10,451.7868347167969
2017-04-11,448.99688720703125
2017-04-12,450.7286071777344
2017-04-13,449.1892395019531
2017-04-17,452.171630859375
2017-04-18,432.9784240722656
2017-04-19,463.6683349609375
2017-04-20,505.1815490722656
2017-04-21,606.1985473632812
2017-04-24,688.0706176757812
2017-04-25,652.0410766601562
2017-04-26,659.5452270507812
2017-04-27,642.6609497070312
2017-04-28,675.0345458984375
2017-05-02,647.0864868164062
2017-05-03,663.6340942382812
2017-05-04,655.9375
2017-05-05,637.8987426757812
2017-05-08,638.4277954101562
2017-05-09,622.0726928710938
2017-05-10,623.7081909179688
2017-05-11,609.9506225585938
2017-05-12,588.159912109375
2017-05-15,625.4880981445312
2017-05-16,612.54833984375
2017-05-17,602.9757080078125
2017-05-18,581.7140502929688
2017-05-19,571.756591796875
2017-05-22,552.85205078125
2017-05-23,532.7929077148438
2017-05-24,496.5710754394531
2017-05-25,488.8745422363281
2017-05-26,491.66448974609375
2017-05-29,492.43414306640625
2017-05-30,485.555419921875
