Date,HGINFRA
2018-03-09,263.6886291503906
2018-03-12,264.13177490234375
2018-03-13,267.8741149902344
2018-03-14,267.97259521484375
2018-03-15,283.8776550292969
2018-03-16,291.85479736328125
2018-03-19,296.1880187988281
2018-03-20,292.54412841796875
2018-03-21,292.83966064453125
2018-03-22,290.9192199707031
2018-03-23,287.767822265625
2018-03-26,292.0025329589844
2018-03-27,292.1502380371094
2018-03-28,295.9418029785156
2018-04-02,298.9948425292969
2018-04-03,297.369873046875
2018-04-04,295.5971374511719
2018-04-05,315.58929443359375
2018-04-06,316.9187316894531
2018-04-09,326.9639892578125
2018-04-10,336.41845703125
2018-04-11,336.12298583984375
2018-04-12,333.0700378417969
2018-04-13,334.0548400878906
2018-04-16,329.9185485839844
2018-04-17,330.7063903808594
2018-04-18,330.0662841796875
2018-04-19,330.1155090332031
2018-04-20,328.1458435058594
2018-04-23,336.7630920410156
2018-04-24,336.8616027832031
2018-04-25,331.8389892578125
2018-04-26,330.50946044921875
2018-04-27,331.2480163574219
2018-04-30,330.8541259765625
2018-05-02,329.475341796875
2018-05-03,329.5738525390625
2018-05-04,329.6230773925781
2018-05-07,328.24432373046875
2018-05-08,323.71417236328125
2018-05-09,327.4564514160156
2018-05-10,326.7670593261719
2018-05-11,326.0284423828125
2018-05-14,325.0928649902344
2018-05-15,323.4186706542969
2018-05-16,324.7481689453125
2018-05-17,324.20648193359375
2018-05-18,324.1573486328125
2018-05-21,322.4338073730469
2018-05-22,322.7785339355469
2018-05-23,322.13836669921875
2018-05-24,324.20648193359375
2018-05-25,324.9451599121094
2018-05-28,326.3238830566406
2018-05-29,325.3882751464844
2018-05-30,324.05877685546875
2018-05-31,321.8428955078125
2018-06-01,314.062744140625
2018-06-04,291.65777587890625
2018-06-05,290.7222900390625
2018-06-06,288.1124572753906
2018-06-07,293.97222900390625
2018-06-08,297.6653137207031
2018-06-11,305.100830078125
2018-06-12,303.18035888671875
2018-06-13,300.12738037109375
2018-06-14,295.3017272949219
2018-06-15,298.25616455078125
2018-06-18,292.1009826660156
2018-06-19,285.60113525390625
2018-06-20,280.2337341308594
2018-06-21,274.62030029296875
2018-06-22,269.59759521484375
2018-06-25,264.8211975097656
2018-06-26,252.80625915527344
2018-06-27,238.6739044189453
2018-06-28,231.38613891601562
2018-06-29,230.0074005126953
