Date,TATACONSUM
1996-01-01,16.243114471435547
1996-01-02,15.974393844604492
1996-01-03,16.091230392456055
1996-01-04,16.062023162841797
1996-01-05,15.994840621948242
1996-01-08,15.699827194213867
1996-01-09,15.401896476745605
1996-01-10,15.413581848144531
1996-01-11,15.553788185119629
1996-01-12,15.71151351928711
1996-01-15,15.480759620666504
1996-01-16,15.425267219543457
1996-01-17,15.396056175231934
1996-01-18,15.31135082244873
1996-01-19,15.21788501739502
1996-01-22,15.086442947387695
1996-01-23,14.338693618774414
1996-01-24,14.420475006103516
1996-01-25,14.546075820922852
1996-01-26,14.546075820922852
1996-01-29,14.99005126953125
1996-01-30,15.071837425231934
1996-01-31,15.130258560180664
1996-02-01,15.480759620666504
1996-02-02,16.25188446044922
1996-02-05,16.196386337280273
1996-02-06,15.749481201171875
1996-02-07,16.1876220703125
1996-02-08,16.876953125
1996-02-09,17.577974319458008
1996-02-12,18.23224449157715
1996-02-13,18.670381546020508
1996-02-14,18.979999542236328
1996-02-15,18.8251895904541
1996-02-16,18.109569549560547
1996-02-19,17.613021850585938
1996-02-20,16.958738327026367
1996-02-21,16.958738327026367
1996-02-22,17.928476333618164
1996-02-23,17.97520637512207
1996-02-26,17.87298011779785
1996-02-27,17.694805145263672
1996-02-28,17.525390625
1996-02-29,17.174880981445312
1996-03-01,17.253751754760742
1996-03-04,17.253751754760742
1996-03-05,17.253751754760742
1996-03-06,17.376432418823242
1996-03-07,17.443607330322266
1996-03-08,17.353063583374023
1996-03-11,17.233299255371094
1996-03-12,16.999629974365234
1996-03-13,17.379344940185547
1996-03-14,17.08725929260254
1996-03-15,16.824377059936523
1996-03-18,16.064939498901367
1996-03-19,15.994840621948242
1996-03-20,15.994840621948242
1996-03-21,16.357030868530273
1996-03-22,16.18177604675293
1996-03-25,16.18470573425293
1996-03-26,16.06785774230957
1996-03-27,16.412532806396484
1996-03-28,16.546890258789062
1996-03-29,16.19054412841797
1996-04-01,16.44466209411621
1996-04-02,16.298614501953125
1996-04-03,16.853586196899414
1996-04-04,18.46883773803711
1996-04-05,18.46883773803711
1996-04-08,18.600282669067383
1996-04-09,18.045310974121094
1996-04-10,18.25269889831543
1996-04-11,17.986892700195312
1996-04-12,17.522472381591797
1996-04-15,17.493263244628906
1996-04-16,17.198253631591797
1996-04-17,17.896345138549805
1996-04-18,18.425031661987305
1996-04-19,18.249773025512695
1996-04-22,17.779508590698242
1996-04-23,17.615936279296875
1996-04-24,18.182594299316406
1996-04-25,18.048236846923828
1996-04-26,17.74738121032715
1996-04-29,17.68020248413086
1996-04-30,17.250825881958008
1996-05-01,17.726932525634766
1996-05-02,17.458208084106445
1996-05-03,17.075576782226562
1996-05-06,16.865266799926758
1996-05-07,17.247907638549805
1996-05-08,17.268352508544922
1996-05-09,16.944133758544922
1996-05-10,16.69585418701172
1996-05-13,16.599472045898438
1996-05-14,16.675413131713867
1996-05-15,17.618860244750977
1996-05-16,17.90802764892578
1996-05-17,17.56044578552246
1996-05-20,16.865266799926758
1996-05-21,16.92368507385254
1996-05-22,16.862348556518555
1996-05-23,16.72798728942871
1996-05-24,16.765954971313477
1996-05-27,16.37747573852539
1996-05-28,16.301536560058594
1996-05-29,16.745512008666992
1996-05-30,16.43589973449707
1996-05-31,16.140884399414062
1996-06-03,16.28693389892578
1996-06-04,16.44466209411621
1996-06-05,16.59070587158203
1996-06-06,16.868188858032227
1996-06-07,16.938295364379883
1996-06-10,17.767826080322266
1996-06-11,17.902193069458008
1996-06-12,18.080366134643555
1996-06-13,18.261459350585938
1996-06-14,18.533100128173828
1996-06-17,18.506816864013672
1996-06-18,18.135860443115234
1996-06-19,17.946001052856445
1996-06-20,18.124177932739258
1996-06-21,18.086204528808594
1996-06-24,17.887582778930664
1996-06-25,18.007341384887695
1996-06-26,17.919719696044922
1996-06-27,18.086204528808594
1996-06-28,18.094966888427734
1996-07-01,17.97812843322754
1996-07-02,17.64514923095703
1996-07-03,17.39103126525879
1996-07-04,17.484498977661133
1996-07-05,17.54291534423828
1996-07-08,17.81456184387207
1996-07-09,17.402719497680664
1996-07-10,17.502029418945312
1996-07-11,17.630542755126953
1996-07-12,17.393951416015625
1996-07-15,17.446529388427734
1996-07-16,16.862348556518555
1996-07-17,17.312170028686523
1996-07-18,17.40855598449707
1996-07-19,17.510787963867188
1996-07-22,17.40855598449707
1996-07-23,17.204090118408203
1996-07-24,17.02591896057129
1996-07-25,17.028839111328125
1996-07-26,16.891559600830078
1996-07-29,16.53812599182129
1996-07-30,16.170095443725586
1996-07-31,16.345346450805664
1996-08-01,16.240198135375977
1996-08-02,16.06785774230957
1996-08-05,15.886763572692871
1996-08-06,15.72903823852539
1996-08-07,15.945186614990234
1996-08-08,15.7816162109375
1996-08-09,15.939347267150879
1996-08-12,16.05034065246582
1996-08-13,15.854640007019043
1996-08-14,15.886763572692871
1996-08-15,15.886763572692871
1996-08-16,15.720274925231934
1996-08-19,14.838166236877441
1996-08-20,14.642465591430664
1996-08-21,15.02218246459961
1996-08-22,15.20911979675293
1996-08-23,15.23248291015625
1996-08-26,15.153626441955566
1996-08-27,15.460312843322754
1996-08-28,15.647253036499023
1996-08-29,15.524579048156738
1996-08-30,15.431108474731445
1996-09-02,15.46908187866211
1996-09-03,15.074761390686035
1996-09-04,15.276302337646484
1996-09-05,15.328876495361328
1996-09-06,15.401896476745605
1996-09-09,15.501213073730469
1996-09-10,15.454477310180664
1996-09-11,15.363926887512207
1996-09-12,15.34931755065918
1996-09-13,15.279218673706055
1996-09-16,15.1915922164917
1996-09-17,15.244171142578125
1996-09-18,15.413581848144531
1996-09-19,15.387298583984375
1996-09-20,15.422347068786621
1996-09-23,15.30843448638916
1996-09-24,15.185755729675293
1996-09-25,15.188674926757812
1996-09-26,15.103968620300293
1996-09-27,14.478894233703613
1996-09-30,13.973578453063965
1996-10-01,13.7720365524292
1996-10-02,13.7720365524292
1996-10-03,13.687334060668945
1996-10-04,13.231670379638672
1996-10-07,12.968788146972656
