Date,NAM-INDIA
2017-11-06,221.0225372314453
2017-11-07,223.66490173339844
2017-11-08,221.72201538085938
2017-11-09,223.19859313964844
2017-11-10,221.64427185058594
2017-11-13,223.19859313964844
2017-11-14,212.4349822998047
2017-11-15,197.0084991455078
2017-11-16,211.50241088867188
2017-11-17,216.82591247558594
2017-11-20,216.78707885742188
2017-11-21,211.50241088867188
2017-11-22,209.67608642578125
2017-11-23,210.76414489746094
2017-11-24,211.1915740966797
2017-11-27,211.50241088867188
2017-11-28,208.2772216796875
2017-11-29,203.49774169921875
2017-11-30,204.78004455566406
2017-12-01,201.82684326171875
2017-12-04,198.21310424804688
2017-12-05,202.91485595703125
2017-12-06,198.21310424804688
2017-12-07,196.07591247558594
2017-12-08,196.19244384765625
2017-12-11,196.27020263671875
2017-12-12,196.4644775390625
2017-12-13,195.5319061279297
2017-12-14,194.87135314941406
2017-12-15,196.6199188232422
2017-12-18,202.13771057128906
2017-12-19,209.98699951171875
2017-12-20,213.56185913085938
2017-12-21,218.5745391845703
2017-12-22,220.78939819335938
2017-12-26,222.49911499023438
2017-12-27,221.64427185058594
2017-12-28,224.17002868652344
2017-12-29,233.30157470703125
2018-01-01,233.8067626953125
2018-01-02,223.66490173339844
2018-01-03,230.6592559814453
2018-01-04,231.20326232910156
2018-01-05,229.41580200195312
2018-01-08,231.66957092285156
2018-01-09,227.43411254882812
2018-01-10,229.68775939941406
2018-01-11,230.97010803222656
2018-01-12,247.3680419921875
2018-01-15,253.42990112304688
2018-01-16,243.94862365722656
2018-01-17,240.6456756591797
2018-01-18,231.08670043945312
2018-01-19,228.0946502685547
2018-01-22,229.57122802734375
2018-01-23,230.0763397216797
2018-01-24,236.75991821289062
2018-01-25,234.0010223388672
2018-01-29,230.15411376953125
2018-01-30,225.258056640625
2018-01-31,225.02078247070312
2018-02-01,216.95469665527344
2018-02-02,211.0632781982422
2018-02-05,215.45217895507812
2018-02-06,207.8605499267578
2018-02-07,215.9265899658203
2018-02-08,219.40614318847656
2018-02-09,218.97117614746094
2018-02-12,220.67144775390625
2018-02-14,223.20196533203125
2018-02-15,223.59739685058594
2018-02-16,223.12286376953125
2018-02-19,219.05032348632812
2018-02-20,215.21493530273438
2018-02-21,215.76849365234375
2018-02-22,215.45217895507812
2018-02-23,216.2825164794922
2018-02-26,219.12939453125
2018-02-27,219.05032348632812
2018-02-28,216.559326171875
