Date,BANDHANBNK
2018-03-27,456.9512023925781
2018-03-28,449.4766540527344
2018-04-02,455.8492126464844
2018-04-03,463.2757873535156
2018-04-04,465.76727294921875
2018-04-05,487.9512634277344
2018-04-06,487.0408935546875
2018-04-09,492.9821472167969
2018-04-10,497.0069274902344
2018-04-11,511.23724365234375
2018-04-12,512.4349975585938
2018-04-13,506.589599609375
2018-04-16,497.150634765625
2018-04-17,484.0223693847656
2018-04-18,483.11199951171875
2018-04-19,484.0223693847656
2018-04-20,474.3916931152344
2018-04-23,477.5540466308594
2018-04-24,469.40875244140625
2018-04-25,473.6729736328125
2018-04-26,474.3438415527344
2018-04-27,485.3160400390625
2018-04-30,492.0238952636719
2018-05-02,494.32373046875
2018-05-03,481.0996398925781
2018-05-04,483.5431823730469
2018-05-07,473.86468505859375
2018-05-08,473.720947265625
2018-05-09,468.2109069824219
2018-05-10,466.1506042480469
2018-05-11,464.13824462890625
2018-05-14,459.92181396484375
2018-05-15,463.65911865234375
2018-05-16,462.36541748046875
2018-05-17,463.65911865234375
2018-05-18,459.5385437011719
2018-05-21,449.2371520996094
2018-05-22,450.7224426269531
2018-05-23,475.254150390625
2018-05-24,457.2865905761719
2018-05-25,462.9404296875
2018-05-28,464.329833984375
2018-05-29,459.730224609375
2018-05-30,450.2912292480469
2018-05-31,450.8662109375
2018-06-01,455.27423095703125
2018-06-04,454.1722412109375
2018-06-05,450.4349670410156
2018-06-06,475.0146179199219
2018-06-07,477.2665100097656
2018-06-08,477.314453125
2018-06-11,490.8260498046875
2018-06-12,498.4922180175781
2018-06-13,513.345458984375
2018-06-14,524.3655395507812
2018-06-15,527.1924438476562
2018-06-18,528.9172973632812
2018-06-19,511.9080505371094
2018-06-20,517.178466796875
2018-06-21,515.1182250976562
2018-06-22,513.7286987304688
2018-06-25,512.1954956054688
2018-06-26,509.3206787109375
2018-06-27,501.9898986816406
2018-06-28,490.8260498046875
2018-06-29,504.5772399902344
2018-07-02,505.6313781738281
2018-07-03,535.9126586914062
2018-07-04,525.5632934570312
2018-07-05,517.5139770507812
2018-07-06,521.5865478515625
2018-07-09,534.6669311523438
2018-07-10,555.7968139648438
2018-07-11,543.7225952148438
2018-07-12,540.602783203125
2018-07-13,546.1705322265625
2018-07-16,535.0348510742188
2018-07-17,540.21875
2018-07-18,576.4573364257812
2018-07-19,592.776611328125
