Date,TEAMLEASE
2016-02-12,1022.8499755859375
2016-02-15,1172.550048828125
2016-02-16,1164.449951171875
2016-02-17,1126.949951171875
2016-02-18,1131.050048828125
2016-02-19,1150.800048828125
2016-02-22,1124.5999755859375
2016-02-23,1084.0
2016-02-24,1065.75
2016-02-25,1052.3499755859375
2016-02-26,1009.2000122070312
2016-02-29,1017.75
2016-03-01,1060.449951171875
2016-03-02,1043.699951171875
2016-03-03,1042.0999755859375
2016-03-04,1039.9000244140625
2016-03-08,1029.050048828125
2016-03-09,1030.5
2016-03-10,1020.5499877929688
2016-03-11,979.75
2016-03-14,980.4000244140625
2016-03-15,968.5499877929688
2016-03-16,962.0499877929688
2016-03-17,950.75
2016-03-18,947.3499755859375
2016-03-21,936.2000122070312
2016-03-22,913.2999877929688
2016-03-23,925.2999877929688
2016-03-28,881.6500244140625
2016-03-29,898.5499877929688
2016-03-30,900.2000122070312
2016-03-31,895.9000244140625
2016-04-01,904.8499755859375
2016-04-04,899.8499755859375
2016-04-05,882.0999755859375
2016-04-06,877.8499755859375
2016-04-07,875.4000244140625
2016-04-08,879.7000122070312
2016-04-11,864.4000244140625
2016-04-12,870.8499755859375
2016-04-13,874.8499755859375
2016-04-18,879.5
2016-04-20,881.5999755859375
2016-04-21,887.2999877929688
2016-04-22,913.2000122070312
2016-04-25,905.5
2016-04-26,937.7000122070312
2016-04-27,960.2000122070312
2016-04-28,941.2000122070312
2016-04-29,935.7999877929688
2016-05-02,954.25
2016-05-03,942.2000122070312
2016-05-04,930.5499877929688
2016-05-05,926.3499755859375
2016-05-06,899.8499755859375
2016-05-09,910.2999877929688
2016-05-10,882.5499877929688
2016-05-11,895.75
2016-05-12,889.7999877929688
2016-05-13,872.5999755859375
2016-05-16,961.4500122070312
2016-05-17,905.1500244140625
2016-05-18,938.25
2016-05-19,917.9500122070312
2016-05-20,915.3499755859375
2016-05-23,945.8499755859375
2016-05-24,935.2999877929688
2016-05-25,920.9500122070312
2016-05-26,947.5499877929688
2016-05-27,940.2000122070312
2016-05-30,935.9500122070312
2016-05-31,930.5
2016-06-01,914.4500122070312
2016-06-02,923.0999755859375
2016-06-03,911.5999755859375
2016-06-06,907.1500244140625
2016-06-07,915.4000244140625
2016-06-08,917.3499755859375
2016-06-09,909.7000122070312
2016-06-10,907.0999755859375
2016-06-13,880.0999755859375
2016-06-14,912.0499877929688
2016-06-15,908.0499877929688
2016-06-16,891.0
2016-06-17,885.4500122070312
2016-06-20,887.3499755859375
2016-06-21,908.75
2016-06-22,920.0
2016-06-23,922.7000122070312
2016-06-24,907.5999755859375
2016-06-27,910.6500244140625
2016-06-28,923.3499755859375
2016-06-29,1013.7999877929688
2016-06-30,1088.6500244140625
2016-07-01,1082.5999755859375
2016-07-04,1099.3499755859375
2016-07-05,1100.5999755859375
2016-07-07,1101.3499755859375
2016-07-08,1110.25
2016-07-11,1090.8499755859375
2016-07-12,1036.9000244140625
2016-07-13,1025.699951171875
2016-07-14,1029.0
2016-07-15,1030.300048828125
2016-07-18,1026.4000244140625
2016-07-19,1019.8499755859375
2016-07-20,1036.449951171875
2016-07-21,1041.449951171875
2016-07-22,1023.0
2016-07-25,1067.3499755859375
2016-07-26,1049.5999755859375
2016-07-27,1050.9000244140625
2016-07-28,1050.550048828125
2016-07-29,1046.550048828125
2016-08-01,1061.3499755859375
2016-08-02,1052.6500244140625
2016-08-03,1061.300048828125
2016-08-04,1065.3499755859375
2016-08-05,1084.050048828125
2016-08-08,1123.8499755859375
2016-08-09,1150.449951171875
2016-08-10,1099.4000244140625
2016-08-11,1097.4000244140625
2016-08-12,1097.449951171875
2016-08-16,1036.3499755859375
2016-08-17,1055.4000244140625
2016-08-18,1060.800048828125
2016-08-19,1064.75
2016-08-22,1058.949951171875
2016-08-23,1100.199951171875
2016-08-24,1121.0999755859375
2016-08-25,1129.949951171875
2016-08-26,1123.550048828125
2016-08-29,1126.300048828125
2016-08-30,1134.8499755859375
2016-08-31,1115.199951171875
2016-09-01,1123.4000244140625
2016-09-02,1113.0
