Date,GMRAIRPORT
2006-08-21,18.531583786010742
2006-08-22,18.531583786010742
2006-08-23,18.531583786010742
2006-08-24,19.41404914855957
2006-08-25,19.855327606201172
2006-08-28,19.590614318847656
2006-08-29,19.678852081298828
2006-08-30,19.502286911010742
2006-08-31,18.972862243652344
2006-09-01,18.796388626098633
2006-09-04,19.502286911010742
2006-09-05,19.32581329345703
2006-09-06,19.590614318847656
2006-09-07,19.32581329345703
2006-09-08,19.41404914855957
2006-09-11,18.708148956298828
2006-09-12,18.796388626098633
2006-09-13,18.972862243652344
2006-09-14,19.149337768554688
2006-09-15,19.061100006103516
2006-09-18,19.061100006103516
2006-09-19,18.708148956298828
2006-09-20,18.796388626098633
2006-09-21,18.884624481201172
2006-09-22,18.708148956298828
2006-09-25,18.708148956298828
2006-09-26,18.796388626098633
2006-09-27,19.23757553100586
2006-09-28,19.943565368652344
2006-09-29,20.737791061401367
2006-10-03,20.82602882385254
2006-10-04,20.208276748657227
2006-10-05,20.38475227355957
2006-10-06,21.090742111206055
2006-10-09,22.502721786499023
2006-10-10,22.149682998657227
2006-10-11,22.590959548950195
2006-10-12,23.208621978759766
2006-10-13,22.502721786499023
2006-10-16,22.502721786499023
2006-10-17,22.76743507385254
2006-10-18,25.238264083862305
2006-10-19,25.238264083862305
2006-10-20,25.85601806640625
2006-10-23,27.709182739257812
2006-10-26,28.062135696411133
2006-10-27,27.00319480895996
2006-10-30,27.35623550415039
2006-10-31,27.179670333862305
2006-11-01,29.297639846801758
2006-11-02,30.091777801513672
2006-11-03,30.180103302001953
2006-11-06,30.533056259155273
2006-11-07,31.150806427001953
2006-11-08,31.239044189453125
2006-11-09,31.41551971435547
2006-11-10,31.150806427001953
2006-11-13,31.06256866455078
2006-11-14,31.68023109436035
2006-11-15,32.12150955200195
2006-11-16,31.85671043395996
2006-11-17,30.79776954650879
2006-11-20,31.85671043395996
2006-11-21,32.56269836425781
2006-11-22,32.65093231201172
2006-11-23,32.9156494140625
2006-11-24,33.2686882019043
2006-11-27,33.445159912109375
2006-11-28,32.82741165161133
2006-11-29,33.09221267700195
2006-11-30,32.65093231201172
2006-12-01,33.798118591308594
2006-12-04,34.7688102722168
2006-12-05,34.85714340209961
2006-12-06,34.2393913269043
2006-12-07,34.7688102722168
2006-12-08,33.974674224853516
2006-12-11,31.76847267150879
2006-12-12,27.973896026611328
2006-12-13,29.4741153717041
2006-12-14,31.239044189453125
2006-12-15,31.239044189453125
2006-12-18,31.480741500854492
2006-12-19,30.795429229736328
2006-12-20,29.817657470703125
2006-12-21,30.014083862304688
2006-12-22,30.245433807373047
2006-12-26,31.11844253540039
2006-12-27,31.148996353149414
2006-12-28,30.673208236694336
2006-12-29,31.07915687561035
2007-01-02,32.59819412231445
2007-01-03,33.10454177856445
2007-01-04,32.50653076171875
2007-01-05,32.16605758666992
2007-01-08,31.271217346191406
2007-01-09,30.87400245666504
2007-01-10,29.721628189086914
2007-01-11,30.76923942565918
2007-01-12,31.24502944946289
2007-01-15,31.860498428344727
2007-01-16,32.18351364135742
2007-01-17,31.947799682617188
2007-01-18,31.72518539428711
2007-01-19,32.44978332519531
2007-01-22,32.62874984741211
2007-01-23,32.82517623901367
2007-01-24,32.68549346923828
