Date,LAURUSLABS
2016-12-19,92.58970642089844
2016-12-20,91.29838562011719
2016-12-21,91.24058532714844
2016-12-22,91.46221923828125
2016-12-23,91.67424011230469
2016-12-26,87.73279571533203
2016-12-27,92.75354766845703
2016-12-28,93.71720886230469
2016-12-29,92.5608139038086
2016-12-30,92.67642974853516
2017-01-02,93.74612426757812
2017-01-03,91.80912780761719
2017-01-04,91.64531707763672
2017-01-05,91.80912780761719
2017-01-06,91.11530303955078
2017-01-09,91.60678100585938
2017-01-10,91.18276977539062
2017-01-11,91.5585708618164
2017-01-12,91.59713745117188
2017-01-13,95.3265609741211
2017-01-16,93.52448272705078
2017-01-17,91.92478942871094
2017-01-18,92.14642333984375
2017-01-19,92.67642974853516
2017-01-20,92.28133392333984
2017-01-23,92.02116394042969
2017-01-24,92.03077697753906
2017-01-25,92.05004119873047
2017-01-27,91.26947784423828
2017-01-30,92.15605926513672
2017-01-31,91.50076293945312
2017-02-01,91.66460418701172
2017-02-02,91.35621643066406
2017-02-03,96.90697479248047
2017-02-06,107.36283874511719
2017-02-07,107.90247344970703
2017-02-08,106.00404357910156
2017-02-09,107.87358856201172
2017-02-10,103.26721954345703
2017-02-13,99.93290710449219
2017-02-14,98.32356262207031
2017-02-15,98.01519775390625
2017-02-16,97.09007263183594
2017-02-17,96.52151489257812
2017-02-20,97.38880920410156
2017-02-21,99.5088882446289
2017-02-22,100.54966735839844
2017-02-23,100.45330810546875
2017-02-27,98.38139343261719
2017-02-28,98.28502655029297
2017-03-01,98.31392669677734
2017-03-02,97.928466796875
2017-03-03,97.69717407226562
2017-03-06,98.65120697021484
2017-03-07,100.51111602783203
2017-03-08,99.81727600097656
2017-03-09,99.24869537353516
2017-03-10,98.49701690673828
2017-03-14,99.19087982177734
2017-03-15,101.62895965576172
2017-03-16,102.26500701904297
2017-03-17,102.26500701904297
2017-03-20,101.70606231689453
2017-03-21,99.8269271850586
2017-03-22,98.71866607666016
2017-03-23,98.65120697021484
2017-03-24,98.30429077148438
2017-03-27,98.85359954833984
2017-03-28,98.36212921142578
2017-03-29,99.23907470703125
2017-03-30,99.92327880859375
2017-03-31,99.48960876464844
2017-04-03,100.33763885498047
2017-04-05,100.19310760498047
2017-04-06,99.6727294921875
2017-04-07,98.41029357910156
2017-04-10,99.12342834472656
2017-04-11,98.88249206542969
2017-04-12,98.43921661376953
2017-04-13,97.50445556640625
2017-04-17,99.05597686767578
2017-04-18,99.14270782470703
2017-04-19,99.66307067871094
2017-04-20,101.19529724121094
2017-04-21,100.05819702148438
2017-04-24,100.05819702148438
2017-04-25,100.34728240966797
2017-04-26,99.93290710449219
2017-04-27,99.95218658447266
2017-04-28,100.20274353027344
2017-05-02,102.16862487792969
2017-05-03,104.51998901367188
2017-05-04,108.21085357666016
2017-05-05,107.61338806152344
2017-05-08,107.93140411376953
2017-05-09,107.49774169921875
2017-05-10,106.92916107177734
2017-05-11,106.64971160888672
2017-05-12,107.37245178222656
2017-05-15,106.48587799072266
2017-05-16,111.23678588867188
2017-05-17,111.20787048339844
2017-05-18,107.86395263671875
2017-05-19,105.88841247558594
2017-05-22,105.73421478271484
2017-05-23,105.98477172851562
2017-05-24,101.60968780517578
2017-05-25,105.82093811035156
2017-05-26,107.14120483398438
2017-05-29,104.21161651611328
2017-05-30,105.62821197509766
2017-05-31,110.34058380126953
2017-06-01,113.55924987792969
2017-06-02,115.78532409667969
2017-06-05,116.30571746826172
2017-06-06,116.08405303955078
2017-06-07,117.83795166015625
2017-06-08,118.28125
2017-06-09,120.37242889404297
2017-06-12,119.58219909667969
2017-06-13,119.52436828613281
2017-06-14,117.22119903564453
2017-06-15,114.86984252929688
2017-06-16,116.66224670410156
2017-06-19,116.74899291992188
2017-06-20,116.67191314697266
2017-06-21,118.41614532470703
2017-06-22,116.81645202636719
2017-06-23,117.24046325683594
2017-06-27,118.1366958618164
2017-06-28,117.6259536743164
2017-06-29,117.97286987304688
2017-06-30,118.56069946289062
2017-07-03,121.11443328857422
2017-07-04,120.92171478271484
2017-07-05,120.47840881347656
2017-07-06,119.85052490234375
2017-07-07,119.76359558105469
2017-07-10,119.28060150146484
2017-07-11,116.6530990600586
2017-07-12,115.44562530517578
2017-07-13,117.78329467773438
2017-07-14,117.7350082397461
2017-07-17,117.39691162109375
2017-07-18,116.4115982055664
2017-07-19,115.79337310791016
2017-07-20,115.4166259765625
2017-07-21,115.43594360351562
2017-07-24,115.2813720703125
2017-07-25,113.72615051269531
2017-07-26,113.65852355957031
2017-07-27,114.86602783203125
2017-07-28,114.38300323486328
2017-07-31,112.19021606445312
2017-08-01,112.56695556640625
2017-08-02,111.97769165039062
2017-08-03,111.53333282470703
2017-08-04,112.81810760498047
2017-08-07,111.70722961425781
2017-08-08,110.81851959228516
2017-08-09,106.78067016601562
2017-08-10,101.4194107055664
2017-08-11,104.91631317138672
2017-08-14,106.11414337158203
2017-08-16,105.78569030761719
2017-08-17,105.2544174194336
2017-08-18,103.34173583984375
2017-08-21,101.64158630371094
2017-08-22,100.40512084960938
2017-08-23,101.42906188964844
2017-08-24,100.72389221191406
2017-08-28,98.70499420166016
2017-08-29,97.14972686767578
2017-08-30,100.53069305419922
2017-08-31,101.88310241699219
2017-09-01,104.26909637451172
2017-09-04,105.71807098388672
2017-09-05,106.66474151611328
2017-09-06,105.53453826904297
2017-09-07,106.18174743652344
2017-09-08,105.29303741455078
2017-09-11,104.3270492553711
2017-09-12,103.05194091796875
2017-09-13,101.79615783691406
2017-09-14,106.16242218017578
2017-09-15,105.92092895507812
2017-09-18,105.41863250732422
2017-09-19,105.21576690673828
2017-09-20,105.99821472167969
2017-09-21,105.35099029541016
2017-09-22,104.39466857910156
2017-09-25,101.22622680664062
2017-09-26,100.56934356689453
