Date,MARUTI
2003-07-09,139.5938262939453
2003-07-10,141.88784790039062
2003-07-11,147.282958984375
2003-07-14,151.19126892089844
2003-07-15,149.70440673828125
2003-07-16,150.46908569335938
2003-07-17,146.305908203125
2003-07-18,142.22772216796875
2003-07-21,140.10360717773438
2003-07-22,142.10025024414062
2003-07-23,148.42994689941406
2003-07-24,147.920166015625
2003-07-25,147.537841796875
2003-07-28,151.9558868408203
2003-07-29,153.1878662109375
2003-07-30,153.86758422851562
2003-07-31,153.6551971435547
2003-08-01,159.00778198242188
2003-08-04,167.88645935058594
2003-08-05,164.48793029785156
2003-08-06,162.78866577148438
2003-08-07,166.01719665527344
2003-08-08,167.50408935546875
2003-08-11,171.79473876953125
2003-08-12,178.8041534423828
2003-08-13,185.04893493652344
2003-08-14,183.9868927001953
2003-08-15,183.9868927001953
2003-08-18,184.2842254638672
2003-08-19,183.22222900390625
2003-08-20,191.166259765625
2003-08-21,193.67263793945312
2003-08-22,194.8196563720703
2003-08-25,187.81019592285156
2003-08-26,197.49600219726562
2003-08-27,199.06777954101562
2003-08-28,193.7576141357422
2003-08-29,200.00233459472656
2003-09-01,200.1298065185547
2003-09-02,192.48313903808594
2003-09-03,189.29705810546875
2003-09-04,188.2349853515625
2003-09-05,194.8196563720703
2003-09-08,194.3523406982422
2003-09-09,193.88502502441406
2003-09-10,193.54515075683594
2003-09-11,191.71847534179688
2003-09-12,187.21543884277344
2003-09-15,177.01991271972656
2003-09-16,177.14739990234375
2003-09-17,183.56207275390625
2003-09-18,174.6834716796875
2003-09-19,174.8109130859375
2003-09-22,179.01657104492188
2003-09-23,181.09814453125
2003-09-24,186.87559509277344
2003-09-25,181.5654296875
2003-09-26,182.50009155273438
2003-09-29,193.03541564941406
2003-09-30,197.58094787597656
2003-10-01,194.0974578857422
2003-10-02,194.0974578857422
2003-10-03,199.1527099609375
2003-10-06,205.01516723632812
2003-10-07,201.82907104492188
2003-10-08,204.12303161621094
2003-10-09,219.24642944335938
2003-10-10,228.6348114013672
2003-10-13,234.5822296142578
2003-10-14,225.06642150878906
2003-10-15,229.8243408203125
2003-10-16,234.6671600341797
2003-10-17,239.84982299804688
2003-10-20,233.4352264404297
2003-10-21,221.96522521972656
2003-10-22,224.04684448242188
2003-10-23,224.1317596435547
2003-10-24,242.14385986328125
2003-10-27,240.61453247070312
2003-10-28,243.2484893798828
2003-10-29,259.1363220214844
2003-10-30,259.901123046875
2003-10-31,273.83502197265625
2003-11-03,295.3305969238281
2003-11-04,296.9448547363281
2003-11-05,285.5599060058594
2003-11-06,287.55645751953125
2003-11-07,283.1383972167969
2003-11-10,290.31768798828125
2003-11-11,289.46820068359375
2003-11-12,291.37982177734375
2003-11-13,294.6084899902344
2003-11-14,279.7823791503906
2003-11-17,297.3697509765625
2003-11-18,292.31439208984375
2003-11-19,280.8868713378906
2003-11-20,274.4721984863281
2003-11-21,275.32177734375
2003-11-24,278.0406494140625
2003-11-25,286.5794372558594
2003-11-26,286.5794372558594
2003-11-27,289.46820068359375
2003-11-28,292.78167724609375
2003-12-01,302.50994873046875
2003-12-02,300.34332275390625
2003-12-03,304.0817565917969
2003-12-04,307.9050598144531
2003-12-05,300.93817138671875
2003-12-08,301.8727111816406
2003-12-09,311.3035583496094
2003-12-10,311.5159912109375
2003-12-11,309.6042785644531
2003-12-12,308.8397216796875
2003-12-15,306.50323486328125
2003-12-16,303.5719909667969
2003-12-17,303.27459716796875
2003-12-18,308.9245910644531
2003-12-19,305.313720703125
2003-12-22,304.1666564941406
2003-12-23,304.8888854980469
2003-12-24,301.8727111816406
2003-12-25,301.8727111816406
2003-12-26,313.76751708984375
2003-12-29,325.1950378417969
2003-12-30,315.38177490234375
2003-12-31,318.7802734375
2004-01-01,318.5679626464844
2004-01-02,323.1983947753906
2004-01-05,323.1558837890625
2004-01-06,314.40472412109375
2004-01-07,324.6002197265625
2004-01-08,340.1484680175781
2004-01-09,373.5812683105469
2004-01-12,355.9515380859375
2004-01-13,359.68988037109375
2004-01-14,368.90838623046875
2004-01-15,366.2745666503906
2004-01-16,340.82806396484375
2004-01-19,360.5820007324219
2004-01-20,344.5664978027344
