Date,ALKEM
2015-12-23,1248.063232421875
2015-12-24,1376.37451171875
2015-12-28,1326.3778076171875
2015-12-29,1323.8033447265625
2015-12-30,1317.208984375
2015-12-31,1341.5982666015625
2016-01-01,1357.721435546875
2016-01-04,1382.1552734375
2016-01-05,1416.073486328125
2016-01-06,1379.31005859375
2016-01-07,1325.4290771484375
2016-01-08,1334.3265380859375
2016-01-11,1332.9715576171875
2016-01-12,1331.7071533203125
2016-01-13,1278.820068359375
2016-01-14,1296.9307861328125
2016-01-15,1293.182373046875
2016-01-18,1214.5516357421875
2016-01-19,1201.7249755859375
2016-01-20,1194.85986328125
2016-01-21,1236.2301025390625
2016-01-22,1234.6043701171875
2016-01-25,1225.6165771484375
2016-01-27,1209.9453125
2016-01-28,1219.5194091796875
2016-01-29,1227.3780517578125
2016-02-01,1240.611083984375
2016-02-02,1239.93359375
2016-02-03,1240.4759521484375
2016-02-04,1217.171142578125
2016-02-05,1208.635498046875
2016-02-08,1195.3568115234375
2016-02-09,1208.9512939453125
2016-02-10,1193.1436767578125
2016-02-11,1152.40576171875
2016-02-12,1192.104736328125
2016-02-15,1187.7691650390625
2016-02-16,1182.936767578125
2016-02-17,1190.43408203125
2016-02-18,1182.033447265625
2016-02-19,1183.6141357421875
2016-02-22,1157.64501953125
2016-02-23,1183.298095703125
2016-02-24,1155.3863525390625
2016-02-25,1149.1090087890625
2016-02-26,1155.79296875
2016-02-29,1142.334228515625
2016-03-01,1187.994873046875
2016-03-02,1175.2586669921875
2016-03-03,1180.7236328125
2016-03-04,1184.4725341796875
2016-03-08,1212.7449951171875
2016-03-09,1215.5904541015625
2016-03-10,1217.8033447265625
2016-03-11,1234.9659423828125
2016-03-14,1223.042236328125
2016-03-15,1225.029541015625
2016-03-16,1225.07470703125
2016-03-17,1220.1971435546875
2016-03-18,1250.9486083984375
2016-03-21,1228.5218505859375
2016-03-22,1239.6214599609375
2016-03-23,1233.5257568359375
2016-03-28,1262.18505859375
2016-03-29,1283.15625
2016-03-30,1247.446044921875
2016-03-31,1234.1173095703125
2016-04-01,1207.8236083984375
2016-04-04,1232.9346923828125
2016-04-05,1213.1461181640625
2016-04-06,1194.9495849609375
2016-04-07,1217.149169921875
2016-04-08,1219.969482421875
2016-04-11,1209.6431884765625
2016-04-12,1213.60107421875
2016-04-13,1218.240966796875
2016-04-18,1161.6505126953125
2016-04-20,1158.2843017578125
2016-04-21,1130.03466796875
2016-04-22,1122.528564453125
2016-04-25,1116.06884765625
2016-04-26,1111.610595703125
2016-04-27,1102.194091796875
2016-04-28,1084.5892333984375
2016-04-29,1083.54296875
2016-05-02,1136.630615234375
2016-05-03,1117.7064208984375
2016-05-04,1114.9315185546875
2016-05-05,1130.4893798828125
2016-05-06,1132.900634765625
2016-05-09,1135.2205810546875
2016-05-10,1116.5694580078125
2016-05-11,1095.87109375
2016-05-12,1088.910888671875
2016-05-13,1079.4486083984375
2016-05-16,1086.9093017578125
2016-05-17,1085.1805419921875
2016-05-18,1110.7008056640625
2016-05-19,1116.38720703125
2016-05-20,1121.937255859375
2016-05-23,1139.723876953125
2016-05-24,1115.2501220703125
2016-05-25,1123.3472900390625
2016-05-26,1145.1826171875
2016-05-27,1136.266845703125
2016-05-30,1161.6505126953125
2016-05-31,1149.4588623046875
2016-06-01,1171.8858642578125
2016-06-02,1188.17138671875
2016-06-03,1236.3914794921875
2016-06-06,1241.9871826171875
2016-06-07,1237.5745849609375
2016-06-08,1275.9686279296875
2016-06-09,1256.31640625
2016-06-10,1264.5504150390625
2016-06-13,1264.368408203125
2016-06-14,1244.3526611328125
2016-06-15,1264.095703125
2016-06-16,1256.4075927734375
2016-06-17,1260.22900390625
2016-06-20,1260.137939453125
2016-06-21,1245.8538818359375
2016-06-22,1258.864013671875
2016-06-23,1251.2218017578125
2016-06-24,1259.4097900390625
2016-06-27,1259.5465087890625
2016-06-28,1259.45556640625
2016-06-29,1253.9967041015625
2016-06-30,1259.5465087890625
2016-07-01,1243.9432373046875
2016-07-04,1234.70849609375
2016-07-05,1242.8057861328125
2016-07-07,1227.52099609375
2016-07-08,1235.1634521484375
2016-07-11,1264.095703125
2016-07-12,1279.880859375
2016-07-13,1290.93505859375
2016-07-14,1292.072509765625
2016-07-15,1287.7510986328125
2016-07-18,1291.162841796875
2016-07-19,1334.924560546875
2016-07-20,1399.56689453125
2016-07-21,1412.9410400390625
2016-07-22,1439.0982666015625
2016-07-25,1382.0076904296875
2016-07-26,1386.05615234375
2016-07-27,1374.092041015625
2016-07-28,1397.29248046875
2016-07-29,1425.4053955078125
2016-08-01,1405.0714111328125
2016-08-02,1419.037109375
2016-08-03,1384.191162109375
2016-08-04,1358.670654296875
2016-08-05,1387.4208984375
2016-08-08,1437.051025390625
2016-08-09,1445.10302734375
2016-08-10,1414.533447265625
2016-08-11,1450.789794921875
2016-08-12,1417.44482421875
2016-08-16,1402.4783935546875
2016-08-17,1395.6549072265625
2016-08-18,1404.5255126953125
2016-08-19,1399.5216064453125
2016-08-22,1385.146240234375
2016-08-23,1368.587890625
2016-08-24,1395.0179443359375
2016-08-25,1401.341064453125
2016-08-26,1403.752197265625
2016-08-29,1402.7513427734375
2016-08-30,1416.762451171875
2016-08-31,1408.1646728515625
2016-09-01,1428.271484375
2016-09-02,1488.910400390625
2016-09-06,1496.41650390625
2016-09-07,1471.0782470703125
2016-09-08,1488.36474609375
2016-09-09,1458.29541015625
2016-09-12,1470.577880859375
2016-09-14,1477.8109130859375
2016-09-15,1476.0364990234375
2016-09-16,1530.3980712890625
2016-09-19,1573.7052001953125
2016-09-20,1544.59130859375
2016-09-21,1541.9071044921875
2016-09-22,1582.6668701171875
2016-09-23,1603.274169921875
2016-09-26,1664.0499267578125
2016-09-27,1644.2156982421875
2016-09-28,1678.4703369140625
2016-09-29,1648.9923095703125
2016-09-30,1511.4285888671875
2016-10-03,1527.077392578125
2016-10-04,1520.4810791015625
2016-10-05,1517.8426513671875
2016-10-06,1513.7943115234375
2016-10-07,1509.154052734375
2016-10-10,1542.6807861328125
2016-10-13,1519.3436279296875
2016-10-14,1543.6361083984375
2016-10-17,1577.9815673828125
2016-10-18,1589.9000244140625
2016-10-19,1532.263427734375
2016-10-20,1504.9234619140625
2016-10-21,1509.38134765625
2016-10-24,1524.029541015625
2016-10-25,1513.612060546875
2016-10-26,1512.5201416015625
2016-10-27,1472.443115234375
2016-10-28,1484.7257080078125
2016-11-01,1512.929931640625
2016-11-02,1489.0469970703125
2016-11-03,1472.488525390625
2016-11-04,1435.140625
2016-11-07,1423.904296875
2016-11-08,1448.6968994140625
2016-11-09,1505.5147705078125
2016-11-10,1494.9151611328125
2016-11-11,1495.324951171875
2016-11-15,1499.9647216796875
2016-11-16,1500.7381591796875
2016-11-17,1471.2149658203125
2016-11-18,1493.186767578125
2016-11-21,1471.8057861328125
