Date,CRIZAC
2025-07-09,297.8328857421875
2025-07-10,327.61328125
2025-07-11,323.3437194824219
2025-07-14,320.9814147949219
2025-07-15,327.6616516113281
2025-07-16,341.6030578613281
2025-07-17,327.6423034667969
2025-07-18,324.30218505859375
2025-07-21,324.61199951171875
2025-07-22,321.0007629394531
2025-07-23,330.28533935546875
2025-07-24,322.09478759765625
2025-07-25,314.204345703125
2025-07-28,303.8935241699219
2025-07-29,311.2998962402344
2025-07-30,315.1724853515625
2025-07-31,322.22064208984375
2025-08-01,318.4739074707031
2025-08-04,313.05224609375
2025-08-05,298.1427001953125
2025-08-06,294.1732482910156
2025-08-07,291.2203674316406
2025-08-08,296.2547912597656
2025-08-11,291.1719665527344
2025-08-12,291.5108337402344
2025-08-13,320.6522521972656
2025-08-14,311.842041015625
2025-08-18,307.0981140136719
2025-08-19,321.6687927246094
2025-08-20,317.3605041503906
2025-08-21,332.7057189941406
2025-08-22,340.4025573730469
2025-08-25,342.1452331542969
2025-08-26,324.8152770996094
2025-08-28,338.5630798339844
2025-08-29,338.6114807128906
2025-09-01,353.7630615234375
2025-09-02,356.9579772949219
2025-09-03,361.2662353515625
2025-09-04,355.3121032714844
2025-09-05,355.2637023925781
2025-09-08,362.3312072753906
2025-09-09,344.22674560546875
2025-09-10,350.6165466308594
2025-09-11,338.6114807128906
2025-09-12,339.87005615234375
2025-09-15,343.0649719238281
2025-09-16,340.6929931640625
2025-09-17,337.9337463378906
2025-09-18,342.4356994628906
2025-09-19,332.9477844238281
2025-09-22,306.1783447265625
2025-09-23,306.7108154296875
2025-09-24,299.11083984375
2025-09-25,297.9974365234375
2025-09-26,290.7362976074219
2025-09-29,292.28533935546875
2025-09-30,285.12103271484375
2025-10-01,288.2191162109375
2025-10-03,284.1528625488281
2025-10-06,274.1324768066406
2025-10-07,280.4739074707031
2025-10-08,277.37579345703125
2025-10-09,272.4382019042969
2025-10-10,272.7286682128906
2025-10-13,268.8560791015625
2025-10-14,266.48406982421875
2025-10-15,267.8394775390625
2025-10-16,280.42547607421875
2025-10-17,308.4535217285156
2025-10-20,308.74395751953125
2025-10-21,309.71209716796875
2025-10-23,312.5197448730469
2025-10-24,309.8089294433594
2025-10-27,311.35797119140625
2025-10-28,297.6101989746094
2025-10-29,294.36688232421875
2025-10-30,291.7044372558594
2025-10-31,296.496826171875
2025-11-03,298.28790283203125
2025-11-04,303.5643310546875
2025-11-06,293.2051086425781
2025-11-07,297.1260986328125
2025-11-10,285.12103271484375
2025-11-11,291.8981018066406
2025-11-12,285.4598693847656
2025-11-13,285.3146667480469
2025-11-14,284.2012634277344
2025-11-17,270.017822265625
2025-11-18,274.22930908203125
2025-11-19,268.7592468261719
2025-11-20,267.9847106933594
2025-11-21,260.19110107421875
2025-11-24,250.31591796875
2025-11-25,255.68917846679688
2025-11-26,268.7592468261719
2025-11-27,289.5260925292969
2025-11-28,278.4407653808594
2025-12-01,276.84332275390625
2025-12-02,271.51849365234375
2025-12-03,267.5974426269531
2025-12-04,270.7923583984375
2025-12-05,265.5643310546875
2025-12-08,258.157958984375
2025-12-09,266.871337890625
2025-12-10,270.30828857421875
2025-12-11,267.7911071777344
2025-12-12,272.6802673339844
2025-12-15,270.1630554199219
2025-12-16,278.9732360839844
2025-12-17,283.959228515625
2025-12-18,276.50445556640625
2025-12-19,273.55157470703125
2025-12-22,275.8267517089844
2025-12-23,282.5069885253906
2025-12-24,276.06878662109375
2025-12-26,283.03948974609375
2025-12-29,275.39111328125
2025-12-30,273.503173828125
2025-12-31,274.56817626953125
2026-01-01,274.9070129394531
2026-01-02,274.1324768066406
2026-01-05,269.82421875
2026-01-06,267.210205078125
2026-01-07,267.0649719238281
2026-01-08,261.643310546875
2026-01-09,256.7057189941406
2026-01-12,251.52610778808594
2026-01-13,250.65476989746094
2026-01-14,244.31338500976562
2026-01-15,244.31338500976562
2026-01-16,238.06878662109375
2026-01-19,231.14649963378906
2026-01-20,223.59490966796875
2026-01-21,214.39744567871094
2026-01-22,212.21910095214844
2026-01-23,218.60891723632812
2026-01-27,231.48536682128906
2026-01-28,242.9095458984375
2026-01-29,243.92611694335938
2026-01-30,243.1031951904297
2026-02-02,239.56942749023438
2026-02-03,243.1999969482422
2026-02-04,243.14999389648438
2026-02-05,236.10000610351562
2026-02-06,236.60000610351562
2026-02-09,240.10000610351562
2026-02-10,247.64999389648438
2026-02-11,239.0500030517578
2026-02-12,240.35000610351562
2026-02-13,231.3000030517578
2026-02-16,230.39999389648438
2026-02-17,231.3000030517578
2026-02-18,236.85000610351562
2026-02-19,237.64999389648438
2026-02-20,236.64999389648438
2026-02-23,232.4499969482422
2026-02-24,223.5500030517578
2026-02-25,222.25
2026-02-26,230.25
2026-02-27,231.5500030517578
2026-03-02,231.49000549316406
2026-03-04,229.86000061035156
2026-03-05,223.1300048828125
2026-03-06,220.4600067138672
2026-03-09,209.1300048828125
2026-03-10,216.02000427246094
2026-03-11,211.7100067138672
2026-03-12,210.6699981689453
2026-03-13,201.61000061035156
2026-03-16,196.22999572753906
2026-03-17,204.5800018310547
2026-03-18,217.52000427246094
2026-03-19,205.4600067138672
2026-03-20,202.47000122070312
2026-03-23,185.77000427246094
2026-03-24,189.60000610351562
2026-03-25,193.77999877929688
2026-03-27,189.4600067138672
2026-03-30,176.91000366210938
2026-04-01,192.58999633789062
2026-04-02,193.49000549316406
2026-04-06,195.3300018310547
2026-04-07,200.25999450683594
2026-04-08,212.89999389648438
2026-04-09,211.02999877929688
2026-04-10,219.63999938964844
2026-04-13,216.14999389648438
2026-04-15,227.1699981689453
2026-04-16,229.52999877929688
2026-04-17,230.1699981689453
2026-04-20,228.63999938964844
2026-04-21,230.77999877929688
2026-04-22,230.47999572753906
2026-04-23,219.49000549316406
2026-04-24,213.42999267578125
2026-04-27,215.52000427246094
2026-04-28,215.1300048828125
2026-04-29,207.3800048828125
2026-04-30,210.02999877929688
2026-05-01,210.02999877929688
2026-05-04,214.0800018310547
2026-05-05,215.8699951171875
2026-05-06,216.74000549316406
2026-05-07,220.02000427246094
2026-05-08,217.8800048828125
2026-05-11,214.7100067138672
2026-05-12,205.97000122070312
2026-05-13,208.8800048828125
2026-05-14,208.02999877929688
2026-05-15,210.10000610351562
2026-05-18,202.49000549316406
2026-05-19,205.08999633789062
2026-05-20,201.2100067138672
2026-05-21,204.61000061035156
2026-05-22,203.6300048828125
2026-05-25,223.99000549316406
2026-05-26,238.83999633789062
2026-05-27,227.3300018310547
2026-05-28,227.3300018310547
2026-05-29,215.86000061035156
2026-06-01,215.97999572753906
2026-06-02,216.0500030517578
2026-06-03,215.7100067138672
2026-06-04,214.8800048828125
2026-06-05,214.3800048828125
2026-06-08,210.75999450683594
2026-06-09,212.25999450683594
2026-06-10,207.88999938964844
