Date,ABBOTINDIA
2002-08-12,197.26852416992188
2002-08-13,198.13247680664062
2002-08-14,197.48451232910156
2002-08-15,197.48451232910156
2002-08-16,196.58453369140625
2002-08-19,198.42044067382812
2002-08-20,198.7444305419922
2002-08-21,197.6284637451172
2002-08-22,197.73646545410156
2002-08-23,198.2764434814453
2002-08-26,198.7084503173828
2002-08-27,196.72857666015625
2002-08-28,198.45643615722656
2002-08-29,198.16842651367188
2002-08-30,198.13247680664062
2002-09-02,201.1202850341797
2002-09-03,199.140380859375
2002-09-04,198.88844299316406
2002-09-05,200.14828491210938
2002-09-06,198.78042602539062
2002-09-09,197.9884796142578
2002-09-10,197.9884796142578
2002-09-11,196.54859924316406
2002-09-12,196.47657775878906
2002-09-13,198.0604705810547
2002-09-16,198.7084503173828
2002-09-17,199.7523651123047
2002-09-18,198.2764434814453
2002-09-19,194.388671875
2002-09-20,197.9164581298828
2002-09-23,196.29656982421875
2002-09-24,193.66871643066406
2002-09-25,194.74862670898438
2002-09-26,198.7084503173828
2002-09-27,197.9884796142578
2002-09-30,197.37649536132812
2002-10-01,196.00860595703125
2002-10-02,196.00860595703125
2002-10-03,197.9884796142578
2002-10-04,201.94821166992188
2002-10-07,200.18429565429688
2002-10-08,200.6163330078125
2002-10-09,203.17218017578125
2002-10-10,203.49618530273438
2002-10-11,203.42413330078125
2002-10-14,204.43206787109375
2002-10-15,204.43206787109375
2002-10-16,204.6840362548828
2002-10-17,205.40406799316406
2002-10-18,208.75180053710938
2002-10-21,208.21188354492188
2002-10-22,211.4517059326172
2002-10-23,211.7036590576172
2002-10-24,210.5517578125
2002-10-25,210.58770751953125
2002-10-28,209.72377014160156
2002-10-29,208.787841796875
2002-10-30,208.06785583496094
2002-10-31,208.3558807373047
2002-11-01,208.06785583496094
2002-11-04,207.52793884277344
2002-11-05,209.68772888183594
2002-11-06,209.68772888183594
2002-11-07,208.96783447265625
2002-11-08,208.787841796875
2002-11-11,211.30770874023438
2002-11-12,213.5395050048828
2002-11-13,212.0276336669922
2002-11-14,211.59567260742188
2002-11-15,209.90374755859375
2002-11-18,210.08377075195312
2002-11-19,210.08377075195312
2002-11-20,210.5157470703125
2002-11-21,208.787841796875
2002-11-22,209.14779663085938
2002-11-25,208.4278564453125
2002-11-26,208.6077880859375
2002-11-27,208.787841796875
2002-11-28,207.3479461669922
2002-11-29,207.3479461669922
2002-12-02,208.3558807373047
2002-12-03,209.50779724121094
2002-12-04,209.759765625
2002-12-05,208.787841796875
2002-12-06,208.787841796875
2002-12-09,205.2960662841797
2002-12-10,206.73593139648438
2002-12-11,206.80796813964844
2002-12-12,205.72805786132812
2002-12-13,207.3119354248047
2002-12-16,206.77197265625
2002-12-17,204.4680938720703
2002-12-18,206.62794494628906
2002-12-19,203.82012939453125
2002-12-20,206.8439483642578
2002-12-23,202.56024169921875
2002-12-24,201.94821166992188
2002-12-25,201.94821166992188
2002-12-26,200.65231323242188
2002-12-27,201.94821166992188
2002-12-30,201.80421447753906
2002-12-31,204.86407470703125
2003-01-01,200.4003448486328
2003-01-02,209.65176391601562
2003-01-03,220.95510864257812
2003-01-06,219.69517517089844
2003-01-07,217.7872772216797
2003-01-08,218.14727783203125
2003-01-09,218.43528747558594
2003-01-10,218.9032745361328
2003-01-13,221.56712341308594
2003-01-14,220.379150390625
2003-01-15,221.60308837890625
2003-01-16,221.35108947753906
2003-01-17,221.9990692138672
2003-01-20,221.3151092529297
2003-01-21,221.8910675048828
2003-01-22,221.06309509277344
2003-01-23,220.01919555664062
2003-01-24,218.83128356933594
2003-01-27,218.9032745361328
2003-01-28,218.3272705078125
2003-01-29,219.33526611328125
2003-01-30,220.9191436767578
2003-01-31,222.35902404785156
2003-02-03,219.4432373046875
2003-02-04,219.29917907714844
2003-02-05,218.1112823486328
2003-02-06,215.9874267578125
2003-02-07,215.77146911621094
2003-02-10,215.01544189453125
2003-02-11,215.9874267578125
2003-02-12,211.523681640625
2003-02-13,211.523681640625
