Date,GRINDWELL
2006-09-11,46.66231918334961
2006-09-12,45.39881896972656
2006-09-13,47.4584846496582
2006-09-14,47.12963104248047
2006-09-15,46.83539581298828
2006-09-18,46.316162109375
2006-09-19,46.26423645019531
2006-09-20,45.27767562866211
2006-09-21,46.67961883544922
2006-09-22,46.17769241333008
2006-09-25,44.7757453918457
2006-09-26,45.69306182861328
2006-09-27,48.98159408569336
2006-09-28,48.306575775146484
2006-09-29,47.35463333129883
2006-10-03,48.67003631591797
2006-10-04,48.25464630126953
2006-10-05,49.223899841308594
2006-10-06,49.587364196777344
2006-10-09,49.51813507080078
2006-10-10,48.70465850830078
2006-10-11,48.63542938232422
2006-10-12,48.946956634521484
2006-10-13,48.791194915771484
2006-10-16,49.050819396972656
2006-10-17,48.20273208618164
2006-10-18,47.268089294433594
2006-10-19,47.56232833862305
2006-10-20,47.510406494140625
2006-10-23,48.306575775146484
2006-10-26,48.80850601196289
2006-10-27,48.583499908447266
2006-10-30,48.566200256347656
2006-10-31,48.13350296020508
2006-11-01,47.56232833862305
2006-11-02,48.410423278808594
2006-11-03,47.493106842041016
2006-11-06,47.30271530151367
2006-11-07,46.88731384277344
2006-11-08,45.58922576904297
2006-11-09,45.12191390991211
2006-11-10,44.41227722167969
2006-11-13,44.81035614013672
2006-11-14,44.2045783996582
2006-11-15,44.89689254760742
2006-11-16,44.91421127319336
2006-11-17,43.304569244384766
2006-11-20,42.56031799316406
2006-11-21,41.95454025268555
2006-11-22,44.0315055847168
2006-11-23,43.11418533325195
2006-11-24,42.95840835571289
2006-11-27,41.67761993408203
2006-11-28,41.746849060058594
2006-11-29,42.45647430419922
2006-11-30,43.546875
2006-12-01,45.0180549621582
2006-12-04,45.12191390991211
2006-12-05,44.2911262512207
2006-12-06,43.65073013305664
2006-12-07,42.62955093383789
2006-12-08,41.296844482421875
2006-12-11,41.48723220825195
2006-12-12,40.74298095703125
2006-12-13,41.5218391418457
2006-12-14,42.36993408203125
2006-12-15,42.92380142211914
2006-12-18,42.05840301513672
2006-12-19,41.93723678588867
2006-12-20,41.50453567504883
2006-12-21,41.539154052734375
2006-12-22,41.48723220825195
2006-12-26,41.62569046020508
2006-12-27,41.41800308227539
2006-12-28,41.435306549072266
2006-12-29,42.681480407714844
2007-01-02,45.312294006347656
2007-01-03,45.45075988769531
2007-01-04,46.52385711669922
2007-01-05,45.658447265625
2007-01-08,46.73154830932617
2007-01-09,44.100738525390625
2007-01-10,43.148799896240234
2007-01-11,43.01033020019531
2007-01-12,42.837257385253906
2007-01-15,44.25650405883789
2007-01-16,47.37194061279297
2007-01-17,46.36808395385742
2007-01-18,46.87001037597656
2007-01-19,45.71037292480469
2007-01-22,44.63728332519531
2007-01-23,44.221885681152344
2007-01-24,44.39496994018555
2007-01-25,44.11803436279297
2007-01-29,43.02764129638672
2007-01-31,43.32188034057617
2007-02-01,45.502685546875
2007-02-02,44.06611633300781
2007-02-05,46.21230697631836
2007-02-06,46.4026985168457
2007-02-07,48.16810989379883
2007-02-08,47.839256286621094
2007-02-09,46.125762939453125
2007-02-12,44.2045783996582
2007-02-13,43.91034698486328
2007-02-14,44.239200592041016
2007-02-15,44.65459442138672
2007-02-19,45.69306182861328
2007-02-20,45.69306182861328
