Date,DRREDDY
1996-01-01,9.532308578491211
1996-01-02,9.451090812683105
1996-01-03,9.455367088317871
1996-01-04,9.11553955078125
1996-01-05,8.899675369262695
1996-01-08,8.784258842468262
1996-01-09,8.540607452392578
1996-01-10,8.675254821777344
1996-01-11,8.869749069213867
1996-01-12,8.891122817993164
1996-01-15,8.891122817993164
1996-01-16,8.773571968078613
1996-01-17,8.805632591247559
1996-01-18,8.74364948272705
1996-01-19,8.765022277832031
1996-01-22,8.735100746154785
1996-01-23,8.878299713134766
1996-01-24,8.948831558227539
1996-01-25,9.06210708618164
1996-01-26,9.06210708618164
1996-01-29,9.072793006896973
1996-01-30,9.08775520324707
1996-01-31,9.194619178771973
1996-02-01,9.158282279968262
1996-02-02,9.575055122375488
1996-02-05,9.83152961730957
1996-02-06,9.724664688110352
1996-02-07,9.837942123413086
1996-02-08,10.173495292663574
1996-02-09,10.55393123626709
1996-02-12,11.08398151397705
1996-02-13,11.340457916259766
1996-02-14,11.304122924804688
1996-02-15,11.419537544250488
1996-02-16,11.477241516113281
1996-02-19,11.349003791809082
1996-02-20,11.485793113708496
1996-02-21,11.485793113708496
1996-02-22,11.378928184509277
1996-02-23,11.494340896606445
1996-02-26,11.511441230773926
1996-02-27,11.263511657714844
1996-02-28,11.071157455444336
1996-02-29,11.113903999328613
1996-03-01,11.09466552734375
1996-03-04,11.158785820007324
1996-03-05,11.158785820007324
1996-03-06,11.344730377197266
1996-03-07,11.327631950378418
1996-03-08,10.90017318725586
1996-03-11,11.116040229797363
1996-03-12,11.195120811462402
1996-03-13,11.199395179748535
1996-03-14,11.109626770019531
1996-03-15,10.99207878112793
1996-03-18,11.154512405395508
1996-03-19,11.015584945678711
1996-03-20,11.015584945678711
1996-03-21,11.143826484680176
1996-03-22,11.139551162719727
1996-03-25,11.16092300415039
1996-03-26,11.18657112121582
1996-03-27,11.113903999328613
1996-03-28,11.242140769958496
1996-03-29,11.11817741394043
1996-04-01,11.284884452819824
1996-04-02,11.180160522460938
1996-04-03,11.327631950378418
1996-04-04,11.39175033569336
1996-04-05,11.39175033569336
