Date,QUESS
2016-07-12,442.9041748046875
2016-07-13,411.73980712890625
2016-07-14,429.34674072265625
2016-07-15,432.64813232421875
2016-07-18,441.8918151855469
2016-07-19,435.81732177734375
2016-07-20,436.91778564453125
2016-07-21,429.5228576660156
2016-07-22,425.0330505371094
2016-07-25,424.2848205566406
2016-07-26,431.2835388183594
2016-07-27,461.0834655761719
2016-07-28,462.0078125
2016-07-29,449.1546325683594
2016-08-01,521.959716796875
2016-08-02,530.4110107421875
2016-08-03,517.9099731445312
2016-08-04,547.7097778320312
2016-08-05,546.9615478515625
2016-08-08,492.15966796875
2016-08-09,471.5155029296875
2016-08-10,484.4566955566406
2016-08-11,468.65435791015625
2016-08-12,466.4095153808594
2016-08-16,457.2098693847656
2016-08-17,462.7560729980469
2016-08-18,478.7343444824219
2016-08-19,477.5899658203125
2016-08-22,501.3153381347656
2016-08-23,487.2737731933594
2016-08-24,484.06048583984375
2016-08-25,476.97369384765625
2016-08-26,476.8857421875
2016-08-29,467.994140625
2016-08-30,483.13616943359375
2016-08-31,484.8968811035156
2016-09-01,480.0108337402344
2016-09-02,472.3519287109375
2016-09-06,486.30548095703125
2016-09-07,477.6340026855469
2016-09-08,478.7343444824219
2016-09-09,475.52117919921875
2016-09-12,457.78204345703125
2016-09-14,467.8620910644531
2016-09-15,483.18017578125
2016-09-16,482.8721008300781
2016-09-19,479.2626953125
2016-09-20,471.86773681640625
2016-09-21,479.4827575683594
2016-09-22,481.11138916015625
2016-09-23,496.165283203125
2016-09-26,483.8403625488281
2016-09-27,488.7264709472656
2016-09-28,482.69598388671875
2016-09-29,490.1789855957031
2016-09-30,492.20379638671875
2016-10-03,513.244140625
2016-10-04,522.3557739257812
2016-10-05,534.5046997070312
2016-10-06,542.5158081054688
2016-10-07,554.1364135742188
2016-10-10,543.0439453125
2016-10-13,522.003662109375
2016-10-14,520.3749389648438
2016-10-17,529.4425659179688
2016-10-18,533.1400146484375
2016-10-19,523.5882568359375
2016-10-20,555.1047973632812
2016-10-21,551.1431884765625
2016-10-24,532.2598266601562
2016-10-25,522.7520141601562
2016-10-26,516.765625
2016-10-27,516.8535766601562
2016-10-28,525.701171875
2016-11-01,537.32177734375
2016-11-02,523.1481323242188
2016-11-03,515.1368408203125
2016-11-04,489.21063232421875
2016-11-07,499.3345947265625
2016-11-08,503.2521667480469
2016-11-09,502.019775390625
2016-11-10,520.4190673828125
2016-11-11,513.0680541992188
2016-11-15,523.1039428710938
2016-11-16,520.0228881835938
2016-11-17,525.0408325195312
2016-11-18,521.959716796875
2016-11-21,508.88641357421875
2016-11-22,525.12890625
2016-11-23,530.1029052734375
2016-11-24,542.3836669921875
2016-11-25,536.8375244140625
2016-11-28,541.2393188476562
2016-11-29,596.8334350585938
2016-11-30,581.2952270507812
2016-12-01,566.8133544921875
2016-12-02,548.5902709960938
2016-12-05,564.216552734375
2016-12-06,558.362060546875
2016-12-07,564.1282958984375
2016-12-08,574.4725341796875
2016-12-09,578.39013671875
2016-12-12,579.446533203125
2016-12-13,575.5288696289062
2016-12-14,584.2444458007812
2016-12-15,589.570556640625
2016-12-16,591.2431640625
2016-12-19,589.570556640625
2016-12-20,582.3077392578125
2016-12-21,568.9263305664062
2016-12-22,557.8779907226562
2016-12-23,555.4129638671875
2016-12-26,543.088134765625
2016-12-27,563.4241943359375
2016-12-28,565.184814453125
2016-12-29,571.0831298828125
2016-12-30,578.4340209960938
2017-01-02,577.9498291015625
2017-01-03,584.5965576171875
2017-01-04,589.3064575195312
2017-01-05,589.2623291015625
2017-01-06,588.25
2017-01-09,587.0614013671875
2017-01-10,575.308837890625
2017-01-11,594.8966064453125
2017-01-12,597.1415405273438
2017-01-13,596.4812622070312
2017-01-16,585.0368041992188
2017-01-17,587.7217407226562
2017-01-18,594.3244018554688
2017-01-19,587.8098754882812
2017-01-20,589.1743774414062
2017-01-23,590.3629150390625
2017-01-24,602.5117797851562
2017-01-25,643.4918823242188
2017-01-27,626.193115234375
2017-01-30,602.687744140625
2017-01-31,596.6132202148438
2017-02-01,596.437255859375
2017-02-02,595.5128784179688
2017-02-03,592.563720703125
2017-02-06,596.4812622070312
2017-02-07,601.2791137695312
2017-02-08,598.3299560546875
2017-02-09,594.80859375
2017-02-10,578.8742065429688
2017-02-13,571.7874755859375
2017-02-14,580.7669677734375
2017-02-15,574.2964477539062
2017-02-16,570.5108642578125
2017-02-17,576.58544921875
2017-02-20,571.1712646484375
2017-02-21,576.8934326171875
2017-02-22,576.10107421875
2017-02-23,568.001953125
2017-02-27,571.831298828125
2017-02-28,574.7805786132812
2017-03-01,573.1519165039062
2017-03-02,560.7389526367188
2017-03-03,562.1035766601562
