Date,HEIDELBERG
1996-01-01,22.671401977539062
1996-01-02,22.671401977539062
1996-01-03,23.469430923461914
1996-01-04,22.490032196044922
1996-01-05,22.23611068725586
1996-01-08,21.728273391723633
1996-01-09,21.401805877685547
1996-01-10,21.0390625
1996-01-11,22.30866050720215
1996-01-12,23.396888732910156
1996-01-15,22.526309967041016
1996-01-16,22.34493637084961
1996-01-17,22.163562774658203
1996-01-18,22.453758239746094
1996-01-19,22.85277557373047
1996-01-22,21.61945343017578
1996-01-23,21.22043228149414
1996-01-24,20.67631721496582
1996-01-25,21.29298210144043
1996-01-26,21.29298210144043
1996-01-29,19.73318862915039
1996-01-30,19.22534942626953
1996-01-31,19.950834274291992
1996-02-01,21.365528106689453
1996-02-02,22.34493637084961
1996-02-05,23.650806427001953
1996-02-06,25.319421768188477
1996-02-07,23.070417404174805
1996-02-08,25.210599899291992
1996-02-09,27.640972137451172
1996-02-12,29.78115463256836
1996-02-13,29.09193992614746
1996-02-14,30.833106994628906
1996-02-15,31.19585609436035
1996-02-16,29.454683303833008
1996-02-19,28.293907165527344
1996-02-20,27.931167602539062
1996-02-21,27.931167602539062
1996-02-22,28.40273094177246
1996-02-23,28.293907165527344
1996-02-26,29.019392013549805
1996-02-27,29.019392013549805
1996-02-28,29.0556697845459
1996-02-29,28.439008712768555
1996-03-01,27.387054443359375
1996-03-04,26.951765060424805
1996-03-05,26.951765060424805
1996-03-06,25.391969680786133
1996-03-07,26.770395278930664
1996-03-08,26.117454528808594
1996-03-11,25.391969680786133
1996-03-12,24.4851131439209
1996-03-13,24.303743362426758
1996-03-14,24.847856521606445
1996-03-15,23.941001892089844
1996-03-18,22.598854064941406
1996-03-19,22.85277557373047
1996-03-20,22.85277557373047
1996-03-21,23.904726028442383
1996-03-22,23.977275848388672
1996-03-25,23.795900344848633
1996-03-26,23.941001892089844
1996-03-27,24.847856521606445
1996-03-28,25.02923011779785
1996-03-29,24.920406341552734
1996-04-01,25.391969680786133
1996-04-02,25.573345184326172
1996-04-03,27.241958618164062
1996-04-04,26.298830032348633
1996-04-05,26.298830032348633
1996-04-08,25.827259063720703
1996-04-09,25.863540649414062
1996-04-10,25.863540649414062
1996-04-11,25.93608856201172
1996-04-12,26.48019790649414
1996-04-15,26.806669235229492
1996-04-16,26.48019790649414
1996-04-17,27.56842803955078
1996-04-18,27.931167602539062
1996-04-19,28.293907165527344
1996-04-22,27.931167602539062
1996-04-23,27.387054443359375
1996-04-24,26.842941284179688
1996-04-25,27.60470199584961
1996-04-26,26.48019790649414
1996-04-29,26.15372657775879
1996-04-30,25.464515686035156
1996-05-01,27.56842803955078
1996-05-02,27.56842803955078
1996-05-03,27.16941261291504
1996-05-06,26.407651901245117
1996-05-07,25.93608856201172
1996-05-08,26.22627830505371
1996-05-09,25.754716873168945
1996-05-10,25.283143997192383
1996-05-13,24.158645629882812
1996-05-14,24.158645629882812
1996-05-15,25.42824935913086
1996-05-16,25.899810791015625
1996-05-17,25.10177993774414
1996-05-20,27.56842803955078
1996-05-21,25.210599899291992
1996-05-22,25.02923011779785
1996-05-23,23.614532470703125
1996-05-24,23.578256607055664
1996-05-27,23.795900344848633
1996-05-28,23.941001892089844
1996-05-29,25.391969680786133
1996-05-30,24.666486740112305
1996-05-31,26.190004348754883
1996-06-03,25.754716873168945
1996-06-04,25.93608856201172
1996-06-05,27.133134841918945
1996-06-06,26.48019790649414
