Date,IRCON
2018-09-28,30.731504440307617
2018-10-01,31.597280502319336
2018-10-03,31.182891845703125
2018-10-04,30.124719619750977
2018-10-05,29.58453369140625
2018-10-08,28.271060943603516
2018-10-09,26.909496307373047
2018-10-10,27.013092041015625
2018-10-11,26.70969581604004
2018-10-12,27.231386184692383
2018-10-15,27.77897834777832
2018-10-16,28.074966430664062
2018-10-17,27.2017822265625
2018-10-19,26.768892288208008
2018-10-22,26.328609466552734
2018-10-23,25.740314483642578
2018-10-24,25.56641960144043
2018-10-25,25.359228134155273
2018-10-26,25.644123077392578
2018-10-29,25.792118072509766
2018-10-30,25.777320861816406
2018-10-31,25.707019805908203
2018-11-01,26.37300682067871
2018-11-02,26.70599937438965
2018-11-05,27.0574893951416
2018-11-06,26.935394287109375
2018-11-07,27.47927474975586
2018-11-09,28.511552810668945
2018-11-12,30.161725997924805
2018-11-13,30.753707885742188
2018-11-14,31.164403915405273
2018-11-15,31.253189086914062
2018-11-16,30.70561408996582
2018-11-19,30.346712112426758
2018-11-20,29.736225128173828
2018-11-21,29.469839096069336
2018-11-22,28.770545959472656
2018-11-26,28.803850173950195
2018-11-27,30.2246150970459
2018-11-28,31.345691680908203
2018-11-29,31.65278434753418
2018-11-30,31.800783157348633
2018-12-03,32.01907730102539
2018-12-04,31.51958465576172
2018-12-05,32.1485710144043
2018-12-06,31.908079147338867
2018-12-07,31.815576553344727
2018-12-10,30.80550193786621
2018-12-11,30.775909423828125
2018-12-12,31.438194274902344
2018-12-13,31.382692337036133
2018-12-14,31.46778678894043
2018-12-17,33.950435638427734
2018-12-18,34.29452896118164
2018-12-19,34.017032623291016
2018-12-20,33.613746643066406
2018-12-21,33.117950439453125
2018-12-24,32.34837341308594
2018-12-26,32.82935333251953
2018-12-27,33.487945556640625
2018-12-28,33.561946868896484
2018-12-31,32.96995162963867
2019-01-01,33.088356018066406
2019-01-02,32.370567321777344
2019-01-03,31.67498016357422
2019-01-04,31.20139503479004
2019-01-07,30.831398010253906
2019-01-08,30.53540802001953
2019-01-09,30.52800750732422
2019-01-10,30.63530731201172
2019-01-11,30.820308685302734
2019-01-14,30.579811096191406
2019-01-15,30.402210235595703
2019-01-16,30.846208572387695
2019-01-17,31.168087005615234
2019-01-18,30.383708953857422
2019-01-21,30.172819137573242
2019-01-22,29.362533569335938
2019-01-23,28.851957321166992
2019-01-24,28.46346092224121
2019-01-25,28.715049743652344
2019-01-28,27.79747772216797
2019-01-29,28.09716796875
2019-01-30,28.58555030822754
2019-01-31,28.840845108032227
2019-02-01,28.452354431152344
2019-02-04,28.119367599487305
2019-02-05,28.62255859375
2019-02-06,28.518957138061523
2019-02-07,28.833452224731445
2019-02-08,28.626251220703125
2019-02-11,28.722455978393555
2019-02-12,28.896347045898438
2019-02-14,28.507858276367188
2019-02-15,28.935625076293945
2019-02-18,27.968948364257812
2019-02-19,28.07931900024414
2019-02-20,28.201107025146484
2019-02-21,28.65780258178711
2019-02-22,29.084056854248047
2019-02-25,29.259124755859375
2019-02-26,28.78720474243164
2019-02-27,29.011747360229492
2019-02-28,30.480791091918945
2019-03-01,30.975542068481445
2019-03-05,31.942232131958008
