Date,NLCINDIA
2000-08-23,2.1444528102874756
2000-08-24,1.9196306467056274
2000-08-25,1.936924695968628
2000-08-28,2.0060999393463135
2000-08-29,1.9888062477111816
2000-08-30,1.9888062477111816
2000-08-31,2.0963096618652344
2000-09-01,2.0963096618652344
2000-09-04,2.0246405601501465
2000-09-05,2.132143974304199
2000-09-06,2.132143974304199
2000-09-07,2.2217297554016113
2000-09-08,2.078392267227173
2000-09-11,2.042557716369629
2000-09-12,2.0246405601501465
2000-09-13,1.9708894491195679
2000-09-14,1.8633860349655151
2000-09-15,1.8096344470977783
2000-09-18,1.8813034296035767
2000-09-19,1.8813034296035767
2000-09-20,1.9708894491195679
2000-09-21,1.9888060092926025
2000-09-22,1.935054898262024
2000-09-25,2.078392267227173
2000-09-26,2.0604751110076904
2000-09-27,2.1500611305236816
2000-09-28,2.042557716369629
2000-09-29,2.042557716369629
2000-10-02,2.042557716369629
2000-10-03,2.006723642349243
2000-10-04,2.0604751110076904
2000-10-05,2.0604751110076904
2000-10-06,2.042557716369629
2000-10-09,1.935054898262024
2000-10-10,1.9708894491195679
2000-10-11,2.006723642349243
2000-10-12,2.006723642349243
2000-10-13,1.8992207050323486
2000-10-16,1.827552080154419
2000-10-17,1.8454691171646118
2000-10-18,1.8813034296035767
2000-10-19,1.9171379804611206
2000-10-20,1.9171379804611206
2000-10-23,1.8992207050323486
2000-10-24,1.8454691171646118
2000-10-25,1.8813034296035767
2000-10-26,1.9529716968536377
2000-10-27,1.8813034296035767
2000-10-30,1.935054898262024
2000-10-31,1.8992207050323486
2000-11-01,2.132143974304199
2000-11-02,2.167978525161743
2000-11-03,2.3113160133361816
2000-11-06,2.2396461963653564
2000-11-07,2.293397903442383
2000-11-08,2.293397903442383
2000-11-09,2.3471498489379883
2000-11-10,2.293397903442383
2000-11-13,2.3113160133361816
2000-11-14,2.382984161376953
2000-11-15,2.4725704193115234
2000-11-16,2.580073118209839
2000-11-17,2.5979902744293213
2000-11-20,2.6517419815063477
2000-11-21,2.580073118209839
2000-11-22,2.5979902744293213
2000-11-23,2.544238805770874
2000-11-24,2.848830461502075
2000-11-27,3.0638365745544434
2000-11-28,3.1534230709075928
2000-11-29,2.8846652507781982
2000-11-30,2.848830461502075
2000-12-01,2.61590838432312
2000-12-04,2.4546525478363037
2000-12-05,2.5084054470062256
2000-12-06,2.759244203567505
2000-12-07,2.956334114074707
2000-12-08,3.1534230709075928
2000-12-11,3.135505437850952
2000-12-12,3.081754446029663
2000-12-13,3.0996718406677246
2000-12-14,3.0459201335906982
2000-12-15,2.830914258956909
2000-12-18,2.8667473793029785
2000-12-19,2.848830461502075
2000-12-20,2.902582883834839
2000-12-21,2.992169141769409
2000-12-22,2.8846652507781982
2000-12-25,2.8846652507781982
2000-12-26,2.7771618366241455
2000-12-27,2.8667473793029785
2000-12-28,3.0638365745544434
2000-12-29,3.207174777984619
2001-01-01,3.135505437850952
2001-01-02,3.1175894737243652
2001-01-03,3.135505437850952
2001-01-04,3.1175894737243652
2001-01-05,3.0459201335906982
2001-01-08,2.8667473793029785
2001-01-09,2.8846652507781982
2001-01-10,2.992169141769409
2001-01-11,2.8667473793029785
2001-01-12,2.830914258956909
2001-01-15,2.759244203567505
2001-01-16,2.759244203567505
2001-01-17,2.992169141769409
2001-01-18,3.0100858211517334
2001-01-19,2.992169141769409
2001-01-22,2.956334114074707
2001-01-23,2.830914258956909
2001-01-24,2.759244203567505
2001-01-25,2.920499324798584
2001-01-26,2.920499324798584
