Date,CARTRADE
2021-08-20,1501.050048828125
2021-08-23,1579.800048828125
2021-08-24,1536.300048828125
2021-08-25,1476.25
2021-08-26,1428.199951171875
2021-08-27,1435.4000244140625
2021-08-30,1508.3499755859375
2021-08-31,1488.5
2021-09-01,1469.3499755859375
2021-09-02,1456.800048828125
2021-09-03,1466.0
2021-09-06,1468.0
2021-09-07,1452.550048828125
2021-09-08,1476.1500244140625
2021-09-09,1490.550048828125
2021-09-13,1518.6500244140625
2021-09-14,1510.9000244140625
2021-09-15,1486.699951171875
2021-09-16,1497.449951171875
2021-09-17,1451.25
2021-09-20,1414.3499755859375
2021-09-21,1385.199951171875
2021-09-22,1396.050048828125
2021-09-23,1381.9000244140625
2021-09-24,1325.5999755859375
2021-09-27,1295.4000244140625
2021-09-28,1267.25
2021-09-29,1234.699951171875
2021-09-30,1236.0999755859375
2021-10-01,1289.25
2021-10-04,1316.5
2021-10-05,1336.75
2021-10-06,1426.9000244140625
2021-10-07,1391.25
2021-10-08,1412.300048828125
2021-10-11,1419.949951171875
2021-10-12,1375.5
2021-10-13,1359.949951171875
2021-10-14,1350.300048828125
2021-10-18,1320.199951171875
2021-10-19,1303.949951171875
2021-10-20,1288.8499755859375
2021-10-21,1275.5
2021-10-22,1259.550048828125
2021-10-25,1234.0
2021-10-26,1242.699951171875
2021-10-27,1251.5
2021-10-28,1235.800048828125
2021-10-29,1197.5
2021-11-01,1160.0
2021-11-02,1167.4000244140625
2021-11-03,1148.0999755859375
2021-11-04,1166.449951171875
2021-11-08,1143.75
2021-11-09,1140.9000244140625
2021-11-10,1132.4000244140625
2021-11-11,1117.9000244140625
2021-11-12,1116.5999755859375
2021-11-15,1137.5999755859375
2021-11-16,1116.300048828125
2021-11-17,1089.300048828125
2021-11-18,1049.050048828125
2021-11-22,1002.9500122070312
2021-11-23,1003.0999755859375
2021-11-24,994.7999877929688
2021-11-25,1005.5499877929688
2021-11-26,969.9500122070312
2021-11-29,944.0
2021-11-30,919.0999755859375
2021-12-01,899.5999755859375
2021-12-02,936.25
2021-12-03,924.2999877929688
2021-12-06,892.4000244140625
2021-12-07,881.3499755859375
2021-12-08,895.7000122070312
2021-12-09,892.0
2021-12-10,968.7000122070312
2021-12-13,933.0499877929688
2021-12-14,914.8499755859375
2021-12-15,909.5
2021-12-16,903.4000244140625
2021-12-17,903.5499877929688
2021-12-20,867.6500244140625
2021-12-21,848.4500122070312
2021-12-22,831.3499755859375
2021-12-23,850.1500244140625
2021-12-24,827.5999755859375
2021-12-27,807.8499755859375
2021-12-28,832.25
2021-12-29,878.9000244140625
2021-12-30,848.8499755859375
2021-12-31,848.2999877929688
2022-01-03,835.25
2022-01-04,844.9000244140625
2022-01-05,845.1500244140625
2022-01-06,830.5499877929688
2022-01-07,823.7999877929688
2022-01-10,828.8499755859375
2022-01-11,824.4000244140625
2022-01-12,818.1500244140625
2022-01-13,816.9500122070312
2022-01-14,844.8499755859375
2022-01-17,863.9000244140625
2022-01-18,835.1500244140625
2022-01-19,834.4500122070312
2022-01-20,826.6500244140625
2022-01-21,812.7000122070312
2022-01-24,768.25
2022-01-25,721.25
2022-01-27,674.8499755859375
2022-01-28,653.25
2022-01-31,725.1500244140625
2022-02-01,762.2999877929688
2022-02-02,739.25
2022-02-03,731.25
2022-02-04,727.2999877929688
2022-02-07,705.2999877929688
2022-02-08,690.7999877929688
2022-02-09,685.9000244140625
2022-02-10,666.3499755859375
2022-02-11,646.75
2022-02-14,629.0999755859375
2022-02-15,628.2999877929688
2022-02-16,632.25
2022-02-17,613.6500244140625
2022-02-18,588.0
2022-02-21,562.2999877929688
2022-02-22,561.0499877929688
2022-02-23,545.3499755859375
2022-02-24,477.8500061035156
2022-02-25,521.9500122070312
2022-02-28,540.0
2022-03-02,549.5
2022-03-03,556.7999877929688
2022-03-04,542.5499877929688
2022-03-07,507.0
2022-03-08,500.20001220703125
2022-03-09,526.75
2022-03-10,576.4500122070312
2022-03-11,566.0499877929688
2022-03-14,548.1500244140625
2022-03-15,555.5999755859375
2022-03-16,566.2999877929688
2022-03-17,576.6500244140625
2022-03-21,572.0499877929688
2022-03-22,577.6500244140625
2022-03-23,613.1500244140625
2022-03-24,621.7999877929688
2022-03-25,619.0
2022-03-28,601.6500244140625
2022-03-29,600.25
2022-03-30,599.7000122070312
2022-03-31,579.5999755859375
2022-04-01,622.2000122070312
2022-04-04,633.0499877929688
2022-04-05,637.6500244140625
2022-04-06,649.6500244140625
2022-04-07,624.4500122070312
2022-04-08,620.0499877929688
2022-04-11,615.9500122070312
2022-04-12,614.2000122070312
2022-04-13,623.0
2022-04-18,626.7999877929688
2022-04-19,630.0
2022-04-20,630.5999755859375
2022-04-21,626.9500122070312
2022-04-22,652.9500122070312
2022-04-25,615.25
2022-04-26,638.3499755859375
2022-04-27,632.3499755859375
2022-04-28,649.7999877929688
2022-04-29,649.8499755859375
2022-05-02,650.8499755859375
2022-05-04,640.4000244140625
2022-05-05,664.0499877929688
2022-05-06,647.6500244140625
2022-05-09,616.8499755859375
2022-05-10,609.7999877929688
2022-05-11,610.9000244140625
2022-05-12,592.4000244140625
2022-05-13,592.5999755859375
2022-05-16,574.7000122070312
2022-05-17,582.4000244140625
2022-05-18,577.1500244140625
2022-05-19,556.7999877929688
2022-05-20,579.5499877929688
2022-05-23,594.75
2022-05-24,609.1500244140625
2022-05-25,579.3499755859375
2022-05-26,594.9000244140625
2022-05-27,618.5
2022-05-30,625.7999877929688
2022-05-31,622.75
2022-06-01,636.5
2022-06-02,625.4000244140625
