Date,CDSL
2017-06-30,236.2626190185547
2017-07-03,118.31184387207031
2017-07-04,119.73348999023438
2017-07-05,119.12419128417969
2017-07-06,132.6410369873047
2017-07-07,149.45248413085938
2017-07-10,159.83267211914062
2017-07-11,172.26637268066406
2017-07-12,182.30810546875
2017-07-13,200.5186004638672
2017-07-14,180.4802703857422
2017-07-17,172.1986846923828
2017-07-18,172.55975341796875
2017-07-19,171.04782104492188
2017-07-20,168.61073303222656
2017-07-21,167.14398193359375
2017-07-24,164.21041870117188
2017-07-25,164.14273071289062
2017-07-26,160.53224182128906
2017-07-27,155.31954956054688
2017-07-28,168.58816528320312
2017-07-31,153.2660675048828
2017-08-01,152.22805786132812
2017-08-02,152.29576110839844
2017-08-03,147.62466430664062
2017-08-04,140.67442321777344
2017-08-07,150.44537353515625
2017-08-08,147.015380859375
2017-08-09,144.17210388183594
2017-08-10,135.9582061767578
2017-08-11,137.44754028320312
2017-08-14,142.6150665283203
2017-08-16,147.24102783203125
2017-08-17,147.85031127929688
2017-08-18,145.0295867919922
2017-08-21,149.31707763671875
2017-08-22,148.30162048339844
2017-08-23,150.17454528808594
2017-08-24,149.38479614257812
2017-08-28,153.9656219482422
2017-08-29,150.9418182373047
2017-08-30,153.4917449951172
2017-08-31,152.70196533203125
2017-09-01,152.5439910888672
2017-09-04,149.40733337402344
2017-09-05,154.3717803955078
2017-09-06,152.74705505371094
2017-09-07,155.6805877685547
2017-09-08,161.81846618652344
2017-09-11,160.89328002929688
2017-09-12,160.05833435058594
2017-09-13,157.07965087890625
2017-09-14,157.19248962402344
2017-09-15,156.96681213378906
2017-09-18,163.17239379882812
2017-09-19,167.2567901611328
2017-09-20,174.45523071289062
2017-09-21,172.96588134765625
2017-09-22,164.45864868164062
2017-09-25,158.0274200439453
2017-09-26,159.38136291503906
2017-09-27,153.8979034423828
2017-09-28,153.7399444580078
2017-09-29,154.2364044189453
2017-10-03,156.78631591796875
2017-10-04,159.4716339111328
2017-10-05,160.7804412841797
2017-10-06,169.62619018554688
2017-10-09,168.9943389892578
2017-10-10,173.8008270263672
2017-10-11,168.3625030517578
2017-10-12,170.91244506835938
2017-10-13,169.6036376953125
2017-10-16,173.214111328125
2017-10-17,176.0348358154297
2017-10-18,175.51580810546875
2017-10-19,172.24380493164062
2017-10-23,170.50624084472656
2017-10-24,169.37796020507812
2017-10-25,166.57981872558594
2017-10-26,167.30194091796875
2017-10-27,169.8292694091797
2017-10-30,168.7461395263672
2017-10-31,167.86607360839844
2017-11-01,166.8731689453125
2017-11-02,167.6178436279297
2017-11-03,165.6772003173828
2017-11-06,162.63084411621094
2017-11-07,161.45741271972656
2017-11-08,161.9989776611328
2017-11-09,161.50254821777344
2017-11-10,161.52511596679688
2017-11-13,160.8707275390625
2017-11-14,160.1260223388672
2017-11-15,159.74241638183594
2017-11-16,159.38136291503906
2017-11-17,160.50965881347656
2017-11-20,163.0595703125
2017-11-21,163.57858276367188
2017-11-22,161.47998046875
2017-11-23,160.37428283691406
2017-11-24,160.0357666015625
2017-11-27,160.2388458251953
2017-11-28,159.04287719726562
2017-11-29,162.96932983398438
2017-11-30,164.14273071289062
2017-12-01,160.8707275390625
2017-12-04,159.0880126953125
